East Franconian	Scots	probability
β	-	1.0
ˈɛː	ˈiː	1.0
ˈɛ_ɐ	ˈɔɪ̯	1.0
ˈɘ	-	1.0
ˈɒː	ˈe	1.0
ˈɒ_l	ˈɑː	1.0
ˈuː_d̥	ˈe_d	1.0
ˈoː_ŋ	ˈeː	1.0
ˈiː_ɐ	ˈiː	1.0
ˈiː_ŋ	ˈiː	1.0
ˈaː_s	ˈe_t	1.0
ˈa	ˈeː	1.0
ʃ_d̥	s_t	1.0
ɾ	ð	1.0
ɪ_ç	e	1.0
ɪ	ɪ	1.0
ɣ	ˈe	1.0
ɡ̊_s	k_s	1.0
ɡ̊_n	ʤ	1.0
ə	ˈaɪ̯	1.0
ɐ_n	r_n	1.0
z̥_n	t	1.0
v̥	p	1.0
n_d̥	n	1.0
n_a	n	1.0
l_d̥	l_d	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
i	i	1.0
h	h	1.0
eː	i	1.0
d̥_r	d_r	1.0
d̥_n	d	1.0
b̥͡v̥	pʰ	1.0
b̥	b	1.0
a	-	1.0
ˈɪ	ˈɪ	0.891
m	m	0.883
f	f	0.858
v	w	0.81
ˈaʊ̯	ˈu	0.766
ɡ̊	ɡ	0.742
ɣ̊	x	0.727
ˈeː	-	0.722
r	r	0.709
s	s	0.671
ˈʊ	ˈʌ	0.628
ŋ	ŋ	0.621
ˈaː	ˈe	0.604
ʃ	ʃ	0.601
ˈɔ	ˈo	0.6
ˈɔ_l	ˈuː	0.596
n	n	0.57
ç	ç	0.553
ˈaɪ̯	ˈəi̯	0.533
ʦ	t	0.53
x	k	0.527
d̥	d	0.524
ɐ	r	0.52
ʦ	tʰ	0.47
ˈɛ	ˈɛ	0.46
z̥	z	0.449
ç	k	0.447
ˈoː	-	0.428
ˈiː	ˈi	0.415
ˈɔ_l	ˈʌu̯	0.404
ʃ	s	0.399
n	-	0.39
z̥	s	0.388
ˈuː	ˈø	0.353
ɐ	ə_r	0.342
s	t	0.329
ˈɒ	ˈɑː	0.318
d̥	θ	0.317
x	ç	0.293
ˈɛ	ˈa	0.284
ˈeː	ˈɛ	0.278
ɣ̊	-	0.273
ˈaː	ˈi	0.264
ˈɛ	-	0.257
ˈɒ	ˈa	0.256
ˈuː	-	0.256
ˈiː	-	0.254
ŋ	k	0.249
ˈaʊ̯	ˈuː	0.234
ˈaɪ̯	-	0.231
ˈiː	ˈiː	0.216
ˈɔ	ˈɪ	0.2
ˈɔ	-	0.2
ˈʊ	ˈɪ	0.199
ˈuː	ˈɪ	0.196
x	x	0.18
ˈʊ	-	0.173
ˈoː	ˈi	0.167
z̥	t_ə	0.163
d̥	t	0.159
ˈuː	ˈi	0.156
ˈɒ	ˈɪ	0.153
r	r_ˈɛ	0.145
r	r_ˈi	0.145
ɡ̊	-	0.133
ˈaː	ˈɛ	0.132
ŋ	-	0.13
ˈoː	ˈø	0.128
ɡ̊	k	0.125
ˈoː	ˈeː	0.124
ˈaɪ̯	ˈɪ	0.121
v	-	0.118
m	v	0.117
ˈaɪ̯	ˈiː	0.116
ˈiː	ˈɪ	0.115
ˈɒ	ˈe	0.097
ˈɒ	-	0.093
ˈɒ	ˈeː	0.083
ˈoː	ˈɛ	0.078
ɐ	ˈeː_r	0.078
ˈoː	ˈa	0.075
v	ʍ	0.072
f	-	0.072
f	p	0.069
ɐ	ˈiː_r	0.059
ˈɪ	ˈaːɪ̯	0.055
ˈɪ	-	0.054
