Bavarian	Bavarian	probability
ˈou̯	ˈɛ	1.0
ˈiː	ˈɪ	1.0
ˈiɐ̯_ŋ	ˈaɪ̯	1.0
ˈeː_#>	ˈoʊ̯_#>	1.0
ˈai̯_#>	ˈi_#>	1.0
ˈa	-	1.0
ɡ̊_s	k_s	1.0
ɡ̊_l	ɫ	1.0
ɡ̊_a_#>	#>	1.0
ɡ̊_a	ʤ	1.0
ɡ̊_#>	#>	1.0
ɑ	ɪ	1.0
ɐ_ʦ	ɹ_ʔ	1.0
ɐ_#>	ɚ_#>	1.0
ŋ_a	ŋ	1.0
ŋ_#>	#>	1.0
ŋ	ŋ	1.0
ç	ʧ	1.0
s_n	ʔ	1.0
n_a	n	1.0
m_ˈo	m	1.0
i	-	1.0
h	h	1.0
f_#>	p_#>	1.0
d̥_n	d	1.0
b̥͡v̥	pʰ	1.0
b̥_#>	f_#>	1.0
b̥	b	1.0
<#_ˈɑ	<#_ˈeɪ̯	1.0
<#_ˈo	<#_ˈɑ	1.0
<#_ˈi	<#	1.0
<#_ˈe	<#	1.0
<#_r	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
<#_d̥	<#_θ	1.0
ʋ	w	0.913
l	l	0.913
<#_ɡ̊	<#_ɡ	0.846
r	ɹ	0.842
m	m	0.815
ə	-	0.8
j	ɫ	0.789
ˈau̯	ˈaʊ̯	0.778
kʰ	kʰ	0.75
f	f	0.742
ʦ	tʰ	0.727
ɡ̊	k	0.714
ɐ	ɹ	0.692
ˈɑ	-	0.667
ˈoː	-	0.667
ˈiɐ̯	ˈi	0.667
#>	f_#>	0.667
s	s	0.615
ʃ	s	0.607
ˈaː	ˈi	0.6
d̥	d	0.594
ˈe	ˈɛ	0.579
ˈi	ˈɪ	0.577
n	n	0.537
β	v	0.5
β	-	0.5
ˈɑː	ˈeɪ̯	0.5
ˈɑː	-	0.5
x	k	0.5
a	ɚ	0.486
ˈu	ˈʌ	0.478
ˈai̯	ˈaɪ̯	0.467
ˈoɐ̯	ˈoʊ̯	0.455
ˈɒː	-	0.4
ʃ	ʃ	0.393
ˈu	-	0.391
n	-	0.39
ˈoɐ̯	-	0.364
ˈeː	ˈɛ	0.357
ˈeː	ˈi	0.357
ˈɑ	ˈɑ	0.333
ˈoː	ˈʌ	0.333
ˈiɐ̯	-	0.333
x	ˈʌɪ̯	0.333
#>	ɚ_#>	0.333
ɐ	ˈɝ	0.308
ˈɒː	ˈæ	0.3
ˈɒː	ˈeɪ̯	0.3
a	-	0.297
ɡ̊	ʤ	0.286
s	ʔ	0.282
ˈuɐ̯	ˈʌ	0.273
ˈuɐ̯	ˈʊ	0.273
ˈuɐ̯	-	0.273
ʦ	ʔ	0.273
ˈai̯	ˈʌɪ̯	0.267
kʰ	ʧ	0.25
ˈo	ˈɔ	0.238
ˈi	ˈaɪ̯	0.231
ˈau̯	ˈaɪ̯	0.222
ˈe	-	0.211
ˈaː	ˈʌ	0.2
ˈaː	-	0.2
ə	ə_n	0.2
ˈi	-	0.192
ˈo	ˈoʊ̯	0.19
ˈo	-	0.19
m	v	0.185
ˈuɐ̯	ˈi	0.182
ˈoɐ̯	ˈoʊ̯_n	0.182
x	-	0.167
d̥	t	0.159
r	ɹ_ˈɛ	0.158
<#_ɡ̊	<#	0.154
ˈo	ˈʊ	0.143
ˈo	ˈɑ	0.143
ˈeː	ˈɪ	0.143
ˈeː	-	0.143
ˈai̯	ˈɪ	0.133
ˈai̯	ˈɛ	0.133
ˈu	ˈɪ	0.13
ˈe	ˈɪ	0.105
ˈe	ˈæ	0.105
j	ˈæ	0.105
j	-	0.105
d̥	θ	0.101
f	v	0.097
f	p	0.097
ˈo	ˈi	0.095
ʋ	-	0.087
l	ɫ	0.087
d̥	ð	0.087
a	ɹ	0.081
a	n	0.081
n	ˈɛə̯_n	0.073
f	f_ˈɑ	0.065
d̥	ʔ	0.058
a	ɡ_ɚ	0.054
s	ɾ	0.051
s	z	0.051
