Northern Low Saxon	Northern Low Saxon	probability
ˈɪ_ɡ	ˈe_k	1.0
ˈɛː	j_ˈuː	1.0
ˈɛɪ̯	-	1.0
ˈɔː	ˈu_r	1.0
ˈɔ	ˈu	1.0
ˈœ	-	1.0
ˈø	mː	1.0
ˈeː_n	ˈɑ_n	1.0
ˈeɪ̯	-	1.0
ˈaʊ̯_ɐ	ˈu_r	1.0
ɪ	ɑ	1.0
ɡ_l	ɣ_l	1.0
ə	-	1.0
x_d	x_t	1.0
v̥	β_ɑ̃	1.0
t	t	1.0
s_l	s_l	1.0
pʰ	p	1.0
p	p	1.0
k	k	1.0
j	ɣ	1.0
i	w_i	1.0
aɪ̯	e	1.0
<#_ʒ	<#_j	1.0
<#_ɡ	<#_ɣ	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#	<#_x	1.0
ˈa	ˈɑ	0.917
l	l	0.914
z	s	0.909
r	r	0.905
h	x	0.9
v	w	0.862
ˈuː	ˈuː	0.857
f	ɸ	0.844
n	n	0.808
ˈʊ	ˈu	0.8
ˈʏ	ˈu	0.75
ˈeː	ˈe	0.714
s	s	0.714
ˈøː	ˈu	0.667
ˈiː	ˈiː	0.667
ɐ_#>	r_#>	0.667
b	b	0.667
m	m	0.65
z̥	s	0.625
ˈɔʏ̯	ˈɔː	0.6
x	ɣ	0.6
ˈɪ	ˈi	0.577
ʃ	s_k	0.577
ŋ	ɡ	0.571
ˈɛ	ˈe	0.556
<#_d	<#_θ	0.517
ˈyː	ˈiu̯	0.5
ˈyː	-	0.5
<#_d	<#_d	0.483
ˈaʊ̯	ˈɑu̯	0.462
ˈɛ	ˈɑ	0.444
ˈaː	ˈɑ_r	0.429
ʃ	s	0.423
ɡ	k	0.412
ˈɔʏ̯	ˈɑu̯	0.4
x	x	0.4
ˈaɪ̯	ˈɑi̯	0.375
z̥	s_ɑ̃	0.375
#>	ɑ̃_#>	0.354
m	ɑ_n	0.35
ˈaʊ̯	ˈɔː	0.346
ˈøː	-	0.333
ˈoː	ˈɛː	0.333
ˈoː	ˈɑ	0.333
ɐ_#>	#>	0.333
ç	ɣ_ɑ	0.333
#>	ɑ_z_#>	0.303
ˈaɪ̯	ˈeu̯	0.292
ˈeː	ˈi	0.286
ˈaː	ˈɑ_l	0.286
ˈaː	r	0.286
s	x_s	0.286
ɐ	r	0.276
ˈiː	ˈi	0.267
#>	z_#>	0.251
ˈʏ	-	0.25
ç	ɣ	0.25
ç	x	0.25
ɡ	ɣ	0.235
d	t	0.228
ŋ	ɑ_n	0.214
d	ð	0.211
ˈaɪ̯	ˈe	0.208
ɐ	r_ɑ	0.207
ˈʊ	ˈu_ŋ	0.2
b	p	0.2
ɡ	k_s	0.176
ɡ	k_i	0.176
d	θ	0.175
ɐ	ɛː	0.172
ç	ɣ_j	0.167
d	d	0.158
f	β	0.156
ˈɪ	ˈi_ŋ	0.154
ˈuː	-	0.143
ŋ	ŋ	0.143
d	t_ɑ	0.14
ɐ	r_ɑ̃	0.138
ˈɪ	ˈɑi̯	0.115
ˈɪ	-	0.115
ˈaʊ̯	ˈɑ	0.115
h	x_ˈe	0.1
r	x_r	0.095
z	s_ˈɑi̯	0.091
l	lː	0.086
ˈoː	ˈɑː	0.083
ˈoː	ˈɑ_x	0.083
ˈoː	ˈe	0.083
ˈoː	-	0.083
ˈaɪ̯	ˈeu̯_ɣ	0.083
ˈa	ˈɑ_ŋ	0.083
ˈaʊ̯	ˈɑi̯	0.077
n	nː	0.077
ŋ	ɡʷ	0.071
ɐ	ɑ	0.069
ɐ	r_u	0.069
ɐ	e_r	0.069
v	xʷ	0.069
v	-	0.069
ˈiː	ˈeː	0.067
b	pː	0.067
b	p_ɑ	0.067
d	ð_i	0.053
n	n_d	0.051
