West Flemish	West Flemish	probability
ˈɛː_n	ˈɔe̯	1.0
ˈɔ_w	l	1.0
ˈɑ_n	ˈaː	1.0
ˈøː	-	1.0
ˈæ_ɾ	ˈʌ	1.0
ˈi	ˈəi̯	1.0
ʃ_h	ʃ	1.0
ɾ_ə	ʕ	1.0
ɪ	i	1.0
ɦ̥_#>	#>	1.0
ɦ_ə	ɡ	1.0
ɦ	ɡ	1.0
ə_ɾ	ʌ	1.0
ə_n	a	1.0
ŋ	ŋ	1.0
ç	ɪ	1.0
z̥	s	1.0
w	l	1.0
v̥	b	1.0
s_t	ʃ_d	1.0
m	m	1.0
l	l	1.0
k_ə_#>	x_#>	1.0
k_n	ɡ_a	1.0
k_#>	#>	1.0
j	-	1.0
iə̯	eə̯	1.0
h_t	x_d	1.0
d̥_#>	#>	1.0
d	d	1.0
b	b	1.0
<#_ˈɒː	<#_ˈa	1.0
<#_ɾ	<#_ʁ	1.0
<#_t	<#_ʦ	1.0
<#_n	<#_n	1.0
<#	<#_h	1.0
ə	-	0.923
d̥	d	0.909
ʋ	ʋ	0.905
v	f	0.862
z	s	0.85
ˈɑ	ˈa	0.833
ˈyː	ˈao̯	0.727
ˈɛ	-	0.714
s	ʃ	0.667
p	f	0.636
ˈu	ˈo	0.625
k	kʰ	0.625
t	s	0.583
ˈɛː	ˈɔe̯	0.571
ˈæ	ˈɛ	0.571
ˈuə̯	ˈuə̯	0.533
n	a	0.519
ˈɛː	-	0.429
ˈæ	-	0.429
ˈiə̯	-	0.429
n	n	0.385
ˈœ	ˈu	0.375
ˈœ	ˈo	0.375
ˈu	ˈa_l	0.375
ˈɪ	ˈe	0.364
ˈɪ	-	0.364
ˈoː	ˈoː	0.364
ˈeː	-	0.357
ɾ	ʁ	0.354
ˈɔ	ˈɔ	0.333
ˈɔ	ˈu	0.333
ˈɔ	ˈo	0.333
ɾ	ʌ	0.312
ˈɒː	ˈɔː	0.294
ˈɛ	ˈi	0.286
ˈiə̯	ˈiə̯	0.286
ˈeː	ˈɔe̯	0.286
ˈɪ	ˈɪ	0.273
ˈyː	-	0.273
ɾ	ʕ	0.271
ˈœ	ˈɛ	0.25
t	ʦ	0.25
k	ç	0.25
ˈɒː	ˈa	0.235
ˈeː	ˈɛ	0.214
s	s	0.2
ˈoː	ˈɔ	0.182
p	b̥͡f	0.182
p	-	0.182
ˈɒː	ˈaː	0.176
ˈɒː	-	0.176
ˈɑ	ˈaː	0.167
z	ʃ	0.15
ˈiə̯	ˈəi̯	0.143
ˈiə̯	ˈeː	0.143
ˈeː	ˈɛː	0.143
v	b	0.138
ˈoː	ˈeː	0.136
ˈoː	ˈao̯	0.136
ˈuə̯	ˈuː	0.133
ˈuə̯	ˈiə̯	0.133
ˈuə̯	-	0.133
s	ɡ_s	0.133
t	d	0.125
k	x	0.125
ˈɒː	ˈɛː	0.118
n	-	0.096
ʋ	-	0.095
ˈoː	ˈo	0.091
ˈoː	h_ˈao̯	0.091
d̥	t	0.091
ə	e	0.077
ˈuə̯	ˈɔə̯	0.067
ɾ	-	0.062
