Swabian	Swabian	probability
ˈʌ	ˈɪ_ʀ	1.0
ˈɪ	ˈɪ	1.0
ˈɛː	ˈɛ	1.0
ˈəi̯	ˈaɪ̯	1.0
ˈɔː	ˈɔ	1.0
ˈɔə̯	ˈʊ	1.0
ˈɔe̯	ˈɛɪ̯	1.0
ˈuː	ˈʊ	1.0
ˈuə̯	ˈʊ	1.0
ˈiː	ˈɪ	1.0
ˈiə̯	ˈɪ	1.0
ˈi	ˈɪ	1.0
ˈeə̯	ˈɛ	1.0
ˈao̯	ˈɔɪ̯	1.0
ˈae̯_n	ˈaɪ̯_n	1.0
ʦ	ʦ	1.0
ʣ	ʦ	1.0
ʕ	ʀ	1.0
ʋ	v	1.0
ʃ_d	s_t	1.0
ʃ	ʃ	1.0
ʁ	ʀ	1.0
ɪ	ɪ	1.0
ç	χ	1.0
x	χ	1.0
t	t	1.0
n_d	n	1.0
n	n	1.0
l	ɫ	1.0
kʰ	k	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
eə̯	-	1.0
e_#>	#>	1.0
#>	n_#>	1.0
b	b	0.926
ʌ	ə_ʀ	0.92
m	m	0.913
ˈa	ˈa	0.857
ŋ	ŋ_ɡ	0.8
a	n	0.786
ˈaː	ˈɔ	0.778
ˈoː	ˈɔɪ̯	0.75
ˈɛ	ˈɛ	0.714
ˈɔ	ˈɔ	0.714
ˈe	ˈɪ	0.714
ˈae̯	ˈaɪ̯	0.714
ˈu	ˈʊ	0.667
ˈeː	ˈɛ	0.667
d	t	0.662
ɡ	ɡ	0.659
ˈo	ˈʊ	0.625
s	z	0.609
s	s	0.391
ˈo	ˈɔ	0.375
ɡ	k	0.341
d	d	0.338
ˈu	ˈɪ	0.333
ˈeː	-	0.333
ˈɔ	ˈʊ	0.286
ˈe	ˈɛ	0.286
ˈae̯	ˈɛɪ̯	0.286
ˈoː	ˈɔ	0.25
ˈaː	ˈa_n	0.222
ŋ	ŋ	0.2
ˈɛ	ˈa	0.19
a	ə_n	0.19
ˈa	ˈɔ	0.143
ˈɛ	ˈɪ	0.095
m	n	0.087
ʌ	ʀ	0.08
b	p	0.074
