Yiddish	Yiddish	probability
χ_t	x	1.0
χ_n	k_ə	1.0
ˈʊ_k	ˈɔ	1.0
ˈɪ_ɫ	ˈɛː_l	1.0
ˈɛ_n	n	1.0
ˈɔɪ̯_ə	ˈuː	1.0
ˈaɪ̯_ʦ	i	1.0
ʦ	t	1.0
ʃ_t	s_t	1.0
ʀ_ʦ	ʀ_t	1.0
ɫ_b	v̥	1.0
ɪ_k	ə_ɣ̊	1.0
ɪ	ɪ	1.0
ɡ_ʀ	ɣ_ʀ	1.0
ɡ_ə	ə	1.0
ə_ʀ	ʀ	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
v_ˈɔ	β	1.0
v	β	1.0
t_ə	j_ə	1.0
s_t	s	1.0
p	p	1.0
n_ʧ	n_s	1.0
j	j	1.0
h	ɦ	1.0
f_n	p_ə	1.0
b_n	v_ə	1.0
a	-	1.0
<#_ʀ	<#_ʀ	1.0
#>	j_#>	1.0
ʀ	ʀ	0.929
m	m	0.926
ɫ	l	0.909
k	k	0.909
s	t	0.842
ə	ə	0.81
b	b	0.773
ɡ_#>	ɣ̊_#>	0.75
f	v	0.706
ˈɛɪ̯	ˈɛː	0.667
z	z	0.64
ɡ	ɣ	0.636
n	n	0.629
d	d	0.536
ˈʊ	ˈʊː	0.5
ɛ	ə	0.5
ɛ	-	0.5
χ	k	0.467
ˈɛ	ˈeː	0.464
ʃ	s	0.455
t	d̥	0.436
ˈa	ˈaː	0.394
t	d	0.385
ˈaɪ̯	ˈiː	0.368
ˈaɪ̯	-	0.368
z	z̥	0.36
ˈɔ	ˈɒː	0.323
d	d̥	0.321
ʃ	ʃ	0.318
n	ə	0.314
ˈɔɪ̯	ˈuː	0.308
ˈɪ	ˈeː	0.279
ˈa	ˈɑ	0.273
χ	x	0.267
ɡ_#>	#>	0.25
ˈɪ	ˈɪː	0.233
ˈɔɪ̯	ˈu	0.231
ʃ	z	0.227
f	p	0.206
ˈɛɪ̯	-	0.2
ˈʊ	-	0.192
ˈɔɪ̯	-	0.192
ə	-	0.19
ɡ	k	0.182
ˈɔ	ˈʊː	0.161
ˈɔ	ˈɔ	0.161
ˈaɪ̯	ˈœi̯	0.158
s	s	0.158
ˈʊ	ˈoː	0.154
ˈɔɪ̯	ˈɔː	0.154
ˈa	ˈɑː	0.152
ˈɛ	-	0.143
d	-	0.143
ˈɪ	ˈøː	0.14
b	v̥	0.136
χ	ə_k	0.133
χ	-	0.133
ˈɛɪ̯	ˈi	0.133
ˈɔ	ˈaː	0.129
ˈɔ	-	0.129
ˈʊ	ˈɔ	0.115
ˈɔɪ̯	ˈɔu̯	0.115
ˈɛ	ˈɪ	0.107
ˈaɪ̯	ˈɛːi̯	0.105
t	t	0.103
ˈɔ	ˈɔː	0.097
ɡ	ɡ	0.091
ɡ	-	0.091
k	-	0.091
b	v	0.091
f	ə_v̥	0.088
t	-	0.077
m	-	0.074
ˈɛ	ˈɛ	0.071
ˈɛ	ˈɑ	0.071
ˈɛ	ˈæ	0.071
ˈɛ	ˈi	0.071
ˈɪ	ˈɪ	0.07
ˈɪ	ˈɛ	0.07
ˈɪ	ˈi	0.07
ɫ	j	0.068
ˈa	ˈæː	0.061
ˈa	ˈæ	0.061
ˈa	-	0.061
n	-	0.057
