Yiddish	Old High German	probability
ˈɛɪ̯_n	n	1.0
ˈɔ_ʀ	ˈu_r	1.0
ˈaɪ̯_ə	ˈiu̯	1.0
ʀ_ɛ	r	1.0
ɪ_k	ɑ_ɡ	1.0
ɡ_ʀ	ɡ_r	1.0
ɛ	-	1.0
ŋ	ŋ	1.0
z_ˈɪ	s_ˈi	1.0
z_ˈɔɪ̯	s_ˈuː	1.0
z	s	1.0
t_ə	t_ɑ	1.0
s_t	s_t	1.0
k_s	x_s	1.0
j	j	1.0
h	h	1.0
f_ə	fː	1.0
f	f	1.0
b	b	1.0
a	-	1.0
v	w	0.983
ˈɛɪ̯	ˈei̯	0.963
t	t	0.96
ʀ	r	0.948
ɫ	l	0.945
n	n	0.902
m	m	0.876
d	d	0.844
ˈa	ˈɑ	0.815
ʦ	ʦ	0.789
n_d	n_t	0.748
ɡ	ɡ	0.685
ˈɪ	ˈi	0.637
χ	x	0.63
ˈaɪ̯	ˈiː	0.613
p	p͡f	0.611
ˈʊ	ˈu	0.559
ʃ	s_k	0.556
k	kʰ	0.529
s	s̻	0.52
ˈɛ	ˈɛ	0.513
ə	ɑ	0.504
s	s̻ː	0.48
ʃ	s	0.444
ˈɔɪ̯	ˈou̯	0.424
ˈɔ	ˈo	0.389
p	p	0.389
k	kː	0.354
ˈɔ	ˈɑ	0.346
ɡ	ɡ_ɑ	0.315
ˈɔɪ̯	ˈoː	0.289
ˈɔɪ̯	ˈuː	0.287
ˈʊ	ˈuo̯	0.285
ˈɔ	ˈɑː	0.265
ˈaɪ̯	ˈiu̯	0.253
n_d	n	0.252
ʦ	ʦː	0.211
ə	-	0.192
χ	xː_ɑ	0.19
χ	xː	0.181
ˈɪ	ˈio̯	0.166
ə	ɛ	0.142
ˈɛ	ˈe	0.136
ˈaɪ̯	-	0.134
k	k	0.117
ˈɪ	ˈu	0.115
ˈɛ	-	0.115
ˈa	-	0.107
ə	e	0.097
ˈʊ	ˈo	0.09
ˈɛ	ˈɛ_h	0.085
ˈɛ	ˈu	0.085
m	-	0.085
ˈɪ	ˈuo̯	0.082
d	d_ɑ	0.081
ˈa	ˈɛ	0.078
d	t	0.075
ˈʊ	-	0.067
ˈɛ	ˈɑ	0.066
ə	i	0.066
n	nː	0.066
ʀ	ɑ	0.052
