Brazilian Portuguese	Brazilian Portuguese	probability
ˈɔ_w	ˈu_l	1.0
ˈũ	ˈy	1.0
ˈo_w	ˈɔ	1.0
ˈo_h	ˈɔ_r	1.0
ˈi_h	e	1.0
ˈe_j	ˈe	1.0
ˈe_h	e	1.0
ˈa_h	ˈe	1.0
ʧ	t	1.0
ʎ_u_#>	j_#>	1.0
ʎ	j	1.0
ʃ_#>	#>	1.0
ɾ_u_#>	r_#>	1.0
ɾ_i	e_r	1.0
ɦ	r	1.0
ɐ̃	-	1.0
ɐ_ʃ	e	1.0
ɐ_#>	#>	1.0
ũ	a_m	1.0
p	p	1.0
õ	u	1.0
m_i_#>	m_#>	1.0
m	m	1.0
l_u	j	1.0
l	l	1.0
k	k	1.0
j_ʃ	z	1.0
j_t	t	1.0
i_#>	#>	1.0
h_#>	#>	1.0
f	f	1.0
e_ʃ	s	1.0
e_s	s	1.0
b_ɾ	v_r	1.0
a_ɾ	ˈa	1.0
<#_ˈo	<#_ˈø	1.0
<#_ʃ	<#_p_j	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_o	<#_u	1.0
<#_l	<#_l	1.0
<#_h	<#_r	1.0
<#_d	<#_d	1.0
ɐ	a	0.968
u_#>	#>	0.964
s	s	0.953
ɾ	r	0.889
n	n	0.84
v	v	0.838
t	t	0.826
ˈa	ˈa	0.818
a	a	0.789
ʒ	ʤ	0.75
w̃_#>	ŋ_#>	0.75
ˈĩ	ˈi	0.727
b	b	0.714
ˈɛ	ˈɛ	0.682
ˈɐ̃	ˈa	0.682
ˈi	ˈi	0.65
ˈõ	ˈu_ŋ	0.636
ʃ	s	0.632
h	r	0.632
ʤ	-	0.6
ẽ	-	0.6
#>	ŋ_#>	0.6
ˈu	ˈy	0.588
j	j	0.571
ɡ	ɡ	0.556
z	z	0.5
z	-	0.5
d	d	0.5
<#	<#_s	0.5
<#	<#_l	0.5
j̃	ɲ	0.471
u	-	0.467
ˈɔ	ˈu	0.444
e	-	0.438
w	w	0.421
w	l	0.421
ˈe	ˈɛ	0.419
ˈẽ	ˈɛ_ŋ	0.417
ʤ	d	0.4
o	u	0.4
o	-	0.4
ẽ	u	0.4
#>	n_a_#>	0.4
ˈo	ˈu	0.379
i	e	0.375
i	-	0.375
ˈõ	ˈɔ	0.364
ˈɔ	ˈɔ	0.333
ˈẽ	-	0.333
ˈɛ	ˈe	0.318
d	t	0.3
b	v	0.286
ɡ	-	0.278
ˈo	ˈø	0.276
ˈĩ	ˈi_ŋ	0.273
ˈẽ	ˈɛ	0.25
ʒ	z	0.25
w̃_#>	#>	0.25
i	i	0.25
e	e	0.25
j̃	ŋ	0.235
ˈɐ̃	ˈa_ŋ	0.227
ˈe	ˈi	0.226
ˈɔ	ˈø	0.222
ˈi	ˈe	0.2
u	l	0.2
u	j	0.2
o	ˈø	0.2
d	-	0.2
ˈe	ˈe	0.194
e	i	0.188
ˈu	ˈu	0.176
j̃	-	0.176
ˈo	ˈɔ	0.172
ɡ	k	0.167
v	b	0.162
n	ŋ	0.16
ʃ	z	0.158
w	-	0.158
h	ˈe	0.158
ˈi	-	0.15
j	ˈe	0.143
j	e	0.143
j	-	0.143
u	r	0.133
e	r	0.125
ˈu	ˈi	0.118
ˈu	-	0.118
j̃	n	0.118
ɾ	ə	0.111
ʃ	ʧ	0.105
ʃ	f_j	0.105
h	j	0.105
h	e	0.105
a	ˈa	0.105
a	-	0.105
ˈo	-	0.103
ˈe	-	0.097
ˈɐ̃	ŋ	0.091
t	ŋ_t	0.087
t	s	0.087
ˈo	ˈu_n	0.069
ˈe	j	0.065
ˈa	ˈe	0.061
ˈa	l	0.061
ˈa	-	0.061
