Asturian	Asturian	probability
θ_ˈe	s_ˈe	1.0
θ_#>	ʃ_#>	1.0
ˈo_n	ˈõ	1.0
ˈo_l	ˈɔ_w	1.0
ˈi_ɾ	ˈe_h	1.0
ˈe_ʝ	ʎ	1.0
ˈe_ɾ	h	1.0
ˈe_ŋ	j̃	1.0
ˈe_u	ɡ_u	1.0
ˈe_#>	ˈi_#>	1.0
ˈa_β	ˈa_v	1.0
ˈa_n	ˈɐ̃	1.0
ʎ	l	1.0
ʃ_u	ʃ_u	1.0
ʃ	ʒ	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_ˈa	ɾ_ˈɐ̃	1.0
ɾ_u	u	1.0
ɾ_a	ɾ_ɐ	1.0
ɾ_#>	h_#>	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ɟ͡ʝ	-	1.0
w_ˈa	w_ˈa	1.0
u_#>	#>	1.0
s_#>	ʃ_#>	1.0
r_ˈe	h_ˈe	1.0
r	h	1.0
p	p	1.0
n_u	w̃	1.0
n_a_#>	#>	1.0
m_ˈo	l	1.0
m_b	b	1.0
m	m	1.0
l_u	w	1.0
l_#>	w_#>	1.0
k	k	1.0
j_ˈe	ˈɛ	1.0
j_#>	j_#>	1.0
f_e	b_ˈɛ	1.0
f	f	1.0
e_n	ẽ	1.0
e_m	ũ	1.0
e_l	e	1.0
e_#>	i_#>	1.0
b_j	v	1.0
a_θ	a_s	1.0
a_ɾ	a_ɾ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_ʃ	1.0
<#_ɡ_w	<#_ˈo	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_h	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_e	<#_e	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
u	u	0.936
ð	d	0.842
a	ɐ	0.795
ˈa	ˈa	0.702
ˈe_n	ˈẽ	0.7
β	v	0.679
t	t	0.676
ɲ	j̃	0.667
s	s	0.628
ʝ	ʎ	0.625
i	i	0.625
l	-	0.611
ˈi	ˈi	0.607
ˈe	ˈe	0.604
d	ʤ	0.6
#>	ʤ_i_#>	0.6
j	-	0.571
θ	s	0.55
w_ˈe	ˈo	0.545
ɾ	ɾ	0.543
ˈu	ˈu	0.542
b	v	0.538
n	-	0.522
w	ˈo	0.5
e	e	0.48
ŋ	-	0.462
b	b	0.462
o	o	0.458
w_ˈe	ˈɔ	0.455
ʧ	t	0.429
d	d	0.4
#>	j̃_#>	0.4
ˈo	ˈo	0.385
ŋ	w̃	0.385
ˈu	ˈũ	0.375
i	-	0.375
ɲ	n	0.333
β	b	0.321
ˈi	ˈĩ	0.321
θ	z	0.3
ˈe_n	ˈe_j	0.3
o	-	0.292
ʧ	j_t	0.286
ʧ	-	0.286
w	ˈɔ	0.286
s	ʃ	0.279
l	w	0.278
t	ʧ	0.265
ˈa	ˈɐ̃	0.263
n	j̃	0.261
ʝ	-	0.25
o	u	0.25
ɾ	ɦ	0.217
n	n	0.217
w	w	0.214
e	-	0.2
a	a	0.167
e	ẽ	0.16
ð	-	0.158
ˈo	ˈɔ	0.154
ˈo	ˈõ	0.154
ŋ	j̃	0.154
θ	j_ʃ	0.15
j	ˈɛ	0.143
j	ˈẽ	0.143
j	j	0.143
ʝ	ʒ	0.125
l	i	0.111
ˈo	ˈo_w	0.103
ɾ	-	0.087
ˈu	-	0.083
ˈe	ˈɛ	0.083
ˈe	ˈẽ	0.083
ˈe	j	0.083
e	j̃	0.08
e	i	0.08
ˈo	ˈɐ̃	0.077
ˈo	ˈo_j	0.077
ˈi	ˈi_ʎ	0.071
ɾ	h	0.065
ˈe	ˈi	0.062
t	-	0.059
ˈo	w	0.051
