Swedish	Swedish	probability
ˈʏ	ˈɪ	1.0
ˈʉː_ɡ	ˈiː	1.0
ˈɵ_lː	ˈuː	1.0
ˈɛː_d	ð	1.0
ˈɛː_#>	ˈiː_#>	1.0
ˈɛː	-	1.0
ˈɛ_ŋ	ˈɛː	1.0
ˈœː	ˈiː	1.0
ˈæː	-	1.0
ˈyː	-	1.0
ˈuː_#>	ˈuː_#>	1.0
ˈoː_n	ˈɪ_n	1.0
ˈoː_#>	#>	1.0
ˈiː_#>	#>	1.0
ˈa_l	ˈɑː	1.0
ʊ	n	1.0
ʈː	r_t	1.0
ʈ	t	1.0
ʂ	ˈɪ_s	1.0
ɵ_ŋ	e	1.0
ɳː	r	1.0
ɳ	r_n	1.0
ɪ	ɪ	1.0
ɡː	-	1.0
ɡ_a	ˈiː	1.0
ɡ_#>	#>	1.0
ɖ	r_d	1.0
ɔ	i	1.0
ŋː	ŋ	1.0
ŋ	ŋ	1.0
v_a	v	1.0
tː	t	1.0
t	t	1.0
sː	s	1.0
s_ˈɛ	s	1.0
s_k	ʃ	1.0
s_a	z	1.0
s	s	1.0
pː	p	1.0
pʰ	pʰ	1.0
p	p	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	-	1.0
kʰ	kʰ	1.0
k_a_#>	#>	1.0
jː	ˈeː	1.0
j_ˈɑː	ˈaː	1.0
h	h	1.0
f	f	1.0
d_ɛ	ə	1.0
b	b	1.0
a	-	1.0
<#_ˈɛ	<#_ˈe	1.0
<#_ɡ	<#	1.0
<#_r	<#_r	1.0
l	l	0.927
n	n	0.907
d	d	0.902
v	w	0.864
k	k	0.857
ˈɪ	ˈɪ	0.8
v_#>	f_#>	0.75
r	r	0.714
ˈiː	ˈəi̯	0.692
<#_j	<#	0.667
<#	<#_w	0.667
ɛ	ə	0.652
ˈʊ	ˈʌ	0.6
ɧ	s	0.545
ɡ	ɡ	0.538
tʰ	tʰ	0.526
ɕ	θ	0.5
ɕ	-	0.5
kː	ŋ_k	0.5
kː	k	0.5
#>	θ_#>	0.5
#>	ˈuː_#>	0.5
ˈøː	ˈi	0.476
tʰ	θ	0.474
ˈɑː	ˈeː	0.462
ɧ	ʃ	0.455
ˈɛ	ˈɛ	0.438
ˈeː	ˈe	0.429
ˈʊ	-	0.4
ˈɑː	ˈe	0.385
ˈuː	ˈø	0.385
ˈoː	-	0.385
j	-	0.364
ɛ	-	0.348
ˈɵ	ˈu	0.333
ˈɔ	-	0.333
ˈa	ˈɑː	0.333
ˈa	ˈa	0.333
<#_j	<#_l	0.333
<#	<#_j	0.333
ˈoː	ˈeː	0.308
ɡ	-	0.308
ˈʉː	ˈu	0.3
ˈœ	ˈi	0.3
ˈœ	-	0.3
ˈøː	-	0.286
j	ɡ	0.273
ˈɵ	ˈʌ	0.267
ˈɵ	-	0.267
ˈʉː	ˈi	0.25
v_#>	#>	0.25
ˈuː	ˈɪ	0.231
ˈɔ	ˈʌ	0.222
ˈɔ	ˈɪ	0.222
ˈɔ	ˈo	0.222
ˈeː	ˈɪ	0.214
ˈeː	ˈiː	0.214
ˈʉː	-	0.2
ˈɪ	-	0.2
ˈœ	ˈo	0.2
ˈœ	ˈiː	0.2
ˈɛ	ˈi	0.188
j	ˈɪ	0.182
j	h	0.182
ˈa	ˈeː	0.167
ˈa	-	0.167
ˈɑː	ˈa	0.154
ˈuː	ˈɪ_ð	0.154
ˈuː	ˈo	0.154
ˈoː	ˈø	0.154
ˈoː	ˈi	0.154
ˈiː	ˈiː	0.154
ˈiː	-	0.154
ɡ	x	0.154
ˈʉː	ˈuː	0.15
ˈøː	ˈe	0.143
ˈeː	-	0.143
r	ə_r	0.143
k	-	0.143
v	-	0.136
ˈɵ	ˈɪ	0.133
ˈɛ	ˈɪ_ç	0.125
ˈɛ	ˈɪ	0.125
ˈɛ	ˈe	0.125
ˈʉː	ˈo	0.1
d	θ	0.098
ˈøː	ˈeː	0.095
n	-	0.093
ˈuː	ˈøː	0.077
l	-	0.073
r	ˈiː_r	0.071
