Doculect,Classification
Proto-Germanic,Germanic
Gothic,Germanic > Common Germanic > East Germanic
Old Norse,Germanic > Common Germanic > Northwest Germanic > North Germanic > West Scandinavian
Icelandic,Germanic > Common Germanic > Northwest Germanic > North Germanic > West Scandinavian > Modern West Scandinavian > Insular Nordic
Faroese,Germanic > Common Germanic > Northwest Germanic > North Germanic > West Scandinavian > Modern West Scandinavian > Insular Nordic
Nynorsk Norwegian,Germanic > Common Germanic > Northwest Germanic > North Germanic > West Scandinavian > Modern West Scandinavian > Norwegian
Bokmål Norwegian,Germanic > Common Germanic > Northwest Germanic > North Germanic > East Scandinavian > Southeast Scandinavian
Danish,Germanic > Common Germanic > Northwest Germanic > North Germanic > East Scandinavian > Southeast Scandinavian
Swedish,Germanic > Common Germanic > Northwest Germanic > North Germanic > East Scandinavian > Northeast Scandinavian
Old English,Germanic > Common Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Anglo-Frisian > Anglic > Anglo-Saxon
Scots,Germanic > Common Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Anglo-Frisian > Anglic > English > Scots
English,Germanic > Common Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Anglo-Frisian > Anglic > English > Modern English
American English,Germanic > Common Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Anglo-Frisian > Anglic > English > Modern English
West Frisian,Germanic > Common Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Anglo-Frisian > Frisian > West Frisian
Saterland Frisian,Germanic > Common Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Anglo-Frisian > Frisian > East Frisian
North Frisian,Germanic > Common Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Anglo-Frisian > Frisian > North Frisian
East Low German,Germanic > Common Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Low German > East Low German
Northern Low Saxon,Germanic > Common Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Low German > West Low German
Eastphalian,Germanic > Common Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Low German > West Low German
Westphalian,Germanic > Common Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Low German > West Low German
Dutch,Germanic > Common Germanic > Northwest Germanic > West Germanic > Low Franconian > West Low Franconian > Hollandic
Afrikaans,Germanic > Common Germanic > Northwest Germanic > West Germanic > Low Franconian > West Low Franconian > Hollandic > Afrikaans
West Flemish,Germanic > Common Germanic > Northwest Germanic > West Germanic > Low Franconian > West Low Franconian > Southwestern Dutch
Limburgish,Germanic > Common Germanic > Northwest Germanic > West Germanic > Low Franconian > South Low Franconian
Ripuarian,Germanic > Common Germanic > Northwest Germanic > West Germanic > High German > Central German > West Central German > Middle Franconian > Ripuarian
Luxembourgish,Germanic > Common Germanic > Northwest Germanic > West Germanic > High German > Central German > West Central German > Middle Franconian > Moselle Franconian
Pennsylvania German,Germanic > Common Germanic > Northwest Germanic > West Germanic > High German > Central German > West Central German > Rhine Franconian
Hessian,Germanic > Common Germanic > Northwest Germanic > West Germanic > High German > Central German > West Central German > Rhine Franconian
Yiddish,Germanic > Common Germanic > Northwest Germanic > West Germanic > High German > Central German > East Central German
German,Germanic > Common Germanic > Northwest Germanic > West Germanic > High German > Upper German > Upper Franconian
Bavarian,Germanic > Common Germanic > Northwest Germanic > West Germanic > High German > Upper German > Austro-Bavarian
Swabian,Germanic > Common Germanic > Northwest Germanic > West Germanic > High German > Upper German > Alemannic > North Alemannic
Alsatian,Germanic > Common Germanic > Northwest Germanic > West Germanic > High German > Upper German > Alemannic > South Alemannic
Swiss German,Germanic > Common Germanic > Northwest Germanic > West Germanic > High German > Upper German > Alemannic > South Alemannic
