Afrikaans	Afrikaans	probability
χ_#>	#>	1.0
ˈʊə̯_r	ˈuː	1.0
ˈɛː	-	1.0
ˈɔː	-	1.0
ˈɑː_r	ˈɑː	1.0
ˈœɪ̯	ˈʉː	1.0
ˈœu̯	-	1.0
ˈæː	-	1.0
ˈyː	ˈyː	1.0
ˈoː	ˈøː	1.0
ɫ_v̥	lː	1.0
ɫ_d̥	lː	1.0
ɫ_#>	l_#>	1.0
ə_ŋ	ɳ	1.0
ə_n	ə_n	1.0
ŋ_k	kː	1.0
w	ˈøː	1.0
v_ˈɔ	ˈʉ	1.0
s_ˈu	s_ˈøː	1.0
s_k	ʂ	1.0
r_ˈʊə̯	ɾ_ˈœ	1.0
r_t	ʈː	1.0
n_d̥	nː	1.0
n_d	nː	1.0
n_#>	#>	1.0
k_#>	#>	1.0
j_#>	#>	1.0
i	ə	1.0
d̥_#>	#>	1.0
d̥	lː	1.0
b	b	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
ŋ	ŋː	0.9
ɫ	l	0.875
ɦ	h	0.857
v̥	f	0.857
r	ɾ	0.83
ˈu	ˈuː	0.818
s	s	0.818
k	k	0.765
m	m	0.76
p	p	0.75
v	ʋ	0.731
ˈœ	ˈʏ	0.714
ˈæ	ˈɛ	0.714
ə	ə	0.611
ˈɛ	ˈɛ	0.6
n	n	0.593
t	t	0.576
ˈɑː	ˈoː	0.55
ˈə	ˈɪ	0.545
ˈa	ˈɑ	0.533
ˈʊə̯	ˈøː	0.5
ˈɪø̯	ˈœ	0.5
ˈɪø̯	-	0.5
ˈəɪ̯	ˈiː	0.5
ˈi	ˈyː	0.5
ə_r	ɾ_ə	0.5
ə_r	ɾ	0.5
v̥_#>	ʋ_#>	0.5
v̥_#>	#>	0.5
d	d	0.5
#>	ˈeː_#>	0.5
#>	k_#>	0.5
ˈɔ	ˈʉ	0.471
χ	ɡ	0.469
ˈɛ	-	0.4
d	tʰ	0.382
n	nː	0.333
ˈœ	-	0.286
ˈæ	-	0.286
v	-	0.269
ˈɪə̯	ˈæɪ̯	0.25
ˈɪə̯	-	0.25
ˈɑː	ˈɑː	0.25
t	tː	0.242
m	mː	0.24
ˈɔ	ˈɔ	0.235
ˈə	-	0.227
ə	-	0.222
ˈəɪ̯	ˈɛ	0.214
ˈɪə̯	ˈeː	0.2
ˈɑː	-	0.2
ˈu	ˈœ	0.182
t	-	0.182
ˈɔ	ˈœ	0.176
ˈʊə̯	ˈuː	0.167
ˈʊə̯	-	0.167
ˈa	ˈɛ	0.167
p	pʰ	0.167
χ	j	0.156
ˈɪə̯	ˈʉː	0.15
ˈɪə̯	ˈiː	0.15
ˈi	ˈeː	0.15
ˈi	-	0.15
ˈəɪ̯	ˈæɪ̯	0.143
ˈəɪ̯	ˈiː_ə	0.143
ɦ	j	0.143
v̥	ʋ	0.143
ˈə	ˈiː	0.136
ˈa	-	0.133
χ	ɡː	0.125
χ	-	0.125
ɫ	lː	0.125
ˈɔ	-	0.118
k	ç	0.118
k	kː	0.118
d	-	0.118
ˈʊə̯	ˈɔ	0.111
ə	i	0.111
ˈi	ˈɛ	0.1
ˈi	ˈiː	0.1
ˈa	ˈɑː	0.1
ŋ	ŋ	0.1
ˈə	ˈɔ	0.091
p	pː	0.083
r	ˈæː_ɾ	0.075
n	ˈoː	0.074
s	ʂ	0.073
s	-	0.073
ˈa	ˈɔ	0.067
χ	tː	0.062
χ	k_t	0.062
r	ɾ_ə	0.057
ˈʊə̯	ˈœʏ̯	0.056
ə	ɪ	0.056
