Brazilian Portuguese	Brazilian Portuguese	probability
ˈɛ_ʃ	ˈe	1.0
ˈɛ_h	ˈe_ʁ	1.0
ˈɔ_j	ˈo	1.0
ˈɐ̃_w̃	ˈɔ̃	1.0
ˈɐ̃_t	ˈɑ̃	1.0
ˈɐ̃_#>	ˈa_n_a_#>	1.0
ˈo_b_ɾ_i	ˈy	1.0
ˈe_ɾ	ˈi_ð	1.0
ˈe_k	ˈɛ_t	1.0
ˈa_j	ˈaː	1.0
ʧ_i_#>	#>	1.0
ʧ	t	1.0
ʎ	ʎ	1.0
ʃ_#>	#>	1.0
ɾ_ˈu	ʁ_w	1.0
ɾ_ɐ	ʁ_a	1.0
ɾ_u	ʁ	1.0
ɦ_v	ʁ_b	1.0
ɦ	ʁ	1.0
ɡ_ɾ	ʁ	1.0
ɡ_u	ˈa	1.0
ɐ̃	ɑ̃	1.0
ɐ_#>	#>	1.0
w̃_#>	#>	1.0
w_#>	#>	1.0
v_i	f	1.0
u_#>	#>	1.0
s_u	ʦ	1.0
k_ˈa	ʃ_j	1.0
k_e	y	1.0
k_a	ʃ_ə	1.0
j̃_u	ˈɛ̃	1.0
ĩ	-	1.0
i_#>	#>	1.0
h_ʧ	ʁ	1.0
h_#>	#>	1.0
f	f	1.0
e_ʃ	e	1.0
b_ˈe	v_ˈe	1.0
a_ʃ	ɑː	1.0
<#_ˈa	<#_ˈɑː	1.0
<#_ʒ	<#_ð	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_o	<#_o	1.0
<#_l	<#_l	1.0
<#_h	<#_ʁ	1.0
<#_b	<#_b	1.0
<#_a	<#_a	1.0
p	p	0.9
m	m	0.857
l	l	0.857
s	s	0.795
v	v	0.774
ẽ	-	0.75
n	n	0.7
h	ʁ	0.684
ˈu	ˈu	0.667
ʤ	-	0.667
t	t	0.652
ˈẽ	ˈɛ̃	0.636
ɾ	ʁ	0.621
ˈɐ̃	ˈɑ̃	0.6
ˈũ	w	0.6
ˈõ	ˈɔ̃	0.6
ˈe_j	ˈɛː	0.6
ˈe_h	ˈɛː_ð	0.6
ʒ	-	0.6
ɐ	a	0.576
a	a	0.571
k	k	0.559
ˈĩ	ˈĩ	0.545
ˈa	ˈa	0.545
w	-	0.529
z	z	0.5
z	-	0.5
o	o	0.5
d	d	0.5
d	-	0.5
ˈi	ˈi	0.476
ɡ	-	0.455
j	ˈe	0.438
j	-	0.438
j̃	-	0.429
a	-	0.429
ˈũ	j_ˈɔ̃	0.4
ˈõ	-	0.4
ˈe_j	j	0.4
ˈe_h	ʁ_ə	0.4
ʒ	ð	0.4
i	o	0.4
i	-	0.4
#>	ə_#>	0.389
ˈɛ	ˈɛ	0.375
ˈɔ	ˈoː	0.375
ɡ	ɡ	0.364
b	v	0.364
u	o	0.36
ʃ	ʃ	0.353
k	ʃ	0.353
e	-	0.353
t	-	0.348
ˈu	-	0.333
ˈi	-	0.333
ʤ	d	0.333
ˈo	w	0.324
ˈe	ˈɛː	0.32
ˈe	ˈi	0.32
ˈɛ	ˈe	0.312
ˈɔ	w	0.312
o	ɔ	0.3
n	-	0.3
ʃ	s	0.294
w	l	0.294
ɐ	ə	0.288
j̃	ɲ	0.286
j̃	n	0.286
ˈĩ	ˈe	0.273
b	-	0.273
ˈɐ̃	ˈa	0.267
ẽ	ɛ̃	0.25
e	ɛ	0.235
e	e	0.235
ɾ	ð	0.207
ˈo	ˈo	0.206
o	-	0.2
i	ə	0.2
ˈɛ	j_ˈe	0.188
ˈɔ	ˈu	0.188
ˈĩ	ˈɛ̃	0.182
ˈẽ	ˈɛ	0.182
ˈẽ	-	0.182
ɡ	k	0.182
b	ˈe_v	0.182
b	b	0.182
ˈo	ˈoː	0.176
w	w	0.176
e	ə	0.176
ɾ	-	0.172
#>	ˈɛ_#>	0.167
#>	ˈe_#>	0.167
#>	o_#>	0.167
v	-	0.161
u	ˈe	0.16
u	-	0.16
s	-	0.159
h	ˈe	0.158
h	ð	0.158
m	-	0.143
l	-	0.143
ˈɐ̃	-	0.133
ˈɛ	ˈɛː	0.125
ˈɔ	ˈø	0.125
j	ˈɛː	0.125
ˈa	ˈe	0.121
ˈa	-	0.121
ˈe	ˈɛ	0.12
u	ˈø	0.12
u	ə	0.12
ʃ	l	0.118
ʃ	f_l	0.118
ʃ	-	0.118
#>	ʁ_#>	0.111
p	-	0.1
ˈi	ˈɛː	0.095
ˈi	j	0.095
ˈa	ˈaː	0.091
ˈo	ˈɔ	0.088
ˈo	ˈø	0.088
k	-	0.088
ˈe	ˈe	0.08
ˈe	w	0.08
ˈe	j	0.08
u	ʁ_o	0.08
ɐ	i	0.068
ɐ	-	0.068
v	b	0.065
ˈa	ˈɛː	0.061
ˈa	ˈɑː	0.061
ˈo	ˈɔ_n	0.059
ˈo	w_ˈe	0.059
