Alsatian	Alsatian	probability
ˈɛ	ˈɛ	1.0
ˈɒː_l	ɫ	1.0
ˈø	ˈaʊ̯	1.0
ˈæ	-	1.0
ˈu_ʁ	ˈɝ	1.0
ˈei̯_#>	ˈi_#>	1.0
ˈaː_ʋ	ˈeɪ̯	1.0
ˈai̯	ˈi	1.0
ʦ_#>	ʔ_#>	1.0
ʋ	w	1.0
ʃ_w	s	1.0
ʃ_t	ʔ	1.0
ʁ_ˈi	ɹ_ˈɛ	1.0
ə_ʁ	ɚ	1.0
ŋ	ŋ	1.0
z̥_#>	s_#>	1.0
z̥	z	1.0
x_t	ʔ	1.0
x	-	1.0
t_ʁ	d_ɹ	1.0
s_ˈe	s_ˈɪ	1.0
s_ə	ʔ	1.0
p͡f	p	1.0
p	p	1.0
n_#>	#>	1.0
m	m	1.0
l_ˈiː	l	1.0
l_t	ɫ_d	1.0
l_b̥_#>	f_#>	1.0
h	h	1.0
f_ə	p	1.0
f_#>	#>	1.0
eː	i	1.0
e	v	1.0
d̥_ˈoː	d_ˈɛ	1.0
<#_ʁ	<#_ɹ	1.0
#>	θ_#>	1.0
ə	-	0.926
b̥	b	0.9
n	n	0.854
f	f	0.833
kʰ	kʰ	0.818
ɡ̊	ɡ	0.8
ˈəi̯	ˈoʊ̯	0.75
ˈɒː	-	0.75
ˈyː	ˈaʊ̯	0.75
ʦ	tʰ	0.75
ˈu	ˈʌ	0.684
ˈi	ˈɪ	0.625
ˈe	ˈɛ	0.625
d̥	d	0.607
j	ˈaɪ̯	0.6
i	i	0.6
l	ɫ	0.581
k	ʤ	0.571
s	s	0.556
t	d	0.52
ˈæː	ˈɛ	0.5
ˈæː	ˈi	0.5
ˈoː	ˈi	0.5
ʃ	s	0.429
k	k	0.429
ʁ	ɹ	0.424
l	l	0.419
ˈʊː	ˈi	0.417
j	j	0.4
i	-	0.4
ʃ	ʃ	0.381
ˈiː	ˈaɪ̯	0.375
ˈeː	ˈoʊ̯	0.375
ˈeː	ˈi	0.375
ˈe	-	0.375
s	ʔ	0.37
ˈo	ˈʊ	0.333
ˈo	ˈɔ	0.333
ˈo	-	0.333
ˈiː	ˈi	0.312
ʁ	ɚ	0.303
ˈoː	ˈɛ	0.3
d̥	θ	0.286
t	t	0.28
ˈʊː	ˈʊ	0.25
ˈəi̯	-	0.25
ˈɒː	ˈæ	0.25
ˈyː	ˈʌ	0.25
ˈi	ˈaɪ̯	0.25
ˈeː	ˈɛ	0.25
ʦ	t	0.25
ˈɒ	ˈæ	0.24
ˈɒ	ˈɑ	0.2
ˈoː	ˈʌ	0.2
ɡ̊	-	0.2
ʃ	k	0.19
ˈiː	ˈʌɪ̯	0.188
kʰ	ʧ	0.182
ˈʊː	ˈu	0.167
ˈʊː	-	0.167
f	p	0.167
ˈɒ	ˈɛə̯	0.16
ˈɒ	ˈeɪ̯	0.16
ˈɒ	-	0.16
ˈu	ˈɪ	0.158
ˈu	-	0.158
n	-	0.146
ˈiː	-	0.125
ˈi	-	0.125
ʁ	ˈɔ_ɹ	0.121
t	ð	0.12
d̥	ð	0.107
b̥	v	0.1
ʁ	-	0.091
ˈɒ	ˈoʊ̯	0.08
t	θ	0.08
ə	ɡ	0.074
s	ɾ	0.074
ʁ	ˈɝ	0.061
