West Flemish	American English	probability
b	b	1.0
d	d	0.453
d	θ	0.334
d	ð	0.15
d	-	0.053
f	f	0.871
f	-	0.071
h	-	0.954
h	f	0.051
j	ˈoʊ̯	0.53
j	j	0.298
k	k	0.315
k	kʰ	0.251
k	ʧ	0.251
k	-	0.149
k_ə	ʧ	1.0
l	l	0.752
l	ɫ	0.246
l_ə	ɫ	1.0
m	m	1.0
m_ə	m	0.49
n	n	0.66
n	-	0.289
n_t	θ	1.0
n_ə	n	1.0
p	p	0.891
p	pʰ	0.071
s	s	0.719
s	ʃ	0.17
s	z	0.1
t	t	0.441
t	d	0.304
t	tʰ	0.104
t	θ	0.059
t_n	t	1.0
t_ə	t	1.0
v	f	0.855
v	v	0.143
v_ə	v	1.0
w	ˈoʊ̯	0.517
w	ˈæ	0.208
w	ɫ	0.117
z	s	0.963
ç	-	0.24
ŋ	ŋ	1.0
ə	-	0.856
ə	i	0.073
ə	ɾ	0.054
ə_l	ɫ	1.0
ə_ɾ	ɚ	0.49
ɦ	-	0.499
ɦ	ɡ	0.42
ɪ	ˈɪ	0.24
ɾ	ɹ	0.594
ɾ	ɚ	0.251
ɾ	-	0.123
ɾ_ə	ɚ	0.49
ʃ	ʃ	1.0
ʋ	w	0.886
ʋ	ˈu	0.062
ʋ	ˈɔ	0.054
ˈeː	ˈɛ	0.499
ˈeː	ˈaɪ̯	0.119
ˈeː	ˈeɪ̯	0.119
ˈeː	ˈi	0.089
ˈeː	ˈɪ	0.089
ˈeː	ˈoʊ̯	0.066
ˈi	ˈaɪ̯	0.544
ˈi	ˈi	0.23
ˈi	ˈɪ	0.2
ˈiə̯	ˈi	0.568
ˈiə̯	ˈɛ	0.105
ˈiə̯	-	0.073
ˈiə̯	ˈɔ	0.073
ˈiə̯	ˈaɪ̯	0.06
ˈiə̯	ˈɪ	0.06
ˈiə̯_ɦ	ˈaɪ̯	0.49
ˈoː	ˈi	0.283
ˈoː	ˈɔ	0.194
ˈoː	ˈɛ	0.135
ˈoː	ˈaɪ̯	0.128
ˈoː	ˈeɪ̯	0.058
ˈoː	ˈoʊ̯	0.05
ˈoː	ˈɝ	0.05
ˈu	ˈʌ	0.299
ˈu	ˈaʊ̯	0.26
ˈu	ˈoʊ̯	0.145
ˈu	ɫ	0.111
ˈuə̯	ˈi	0.354
ˈuə̯	ˈʌ	0.226
ˈuə̯	ˈʊ	0.208
ˈuə̯	ˈu	0.102
ˈuə̯	ˈaʊ̯	0.089
ˈyː	ˈaʊ̯	0.862
ˈyː	ˈaɪ̯	0.117
ˈæ	ˈɑ	0.266
ˈæ	ˈɪ	0.197
ˈæ	-	0.13
ˈæ	ˈaɪ̯	0.13
ˈæ	ˈeɪ̯	0.13
ˈæ	ˈɝ	0.096
ˈøː	ˈʌ	0.425
ˈøː	ˈaʊ̯	0.239
ˈøː	ˈoʊ̯	0.135
ˈœ	ˈʊ	0.372
ˈœ	ˈaɪ̯	0.282
ˈœ	ˈɪ	0.282
ˈɑ	ˈæ	0.471
ˈɑ	ˈeɪ̯	0.141
ˈɑ	ˈɔ	0.091
ˈɑ	ˈaɪ̯	0.077
ˈɑ	ˈʌ	0.077
ˈɑ	ˈu	0.06
ˈɑ	ˈɑ	0.06
ˈɑ_n	ˈu	0.24
ˈɒː	ˈi	0.324
ˈɒː	ˈeɪ̯	0.306
ˈɒː	ˈɑ	0.227
ˈɒː	-	0.066
ˈɒː	ˈu	0.066
ˈɔ	ˈɑ	0.425
ˈɔ	ˈɔ	0.196
ˈɔ	ˈɛ	0.171
ˈɔ	-	0.171
ˈɛ	ˈɪ	0.394
ˈɛ	ˈaɪ̯	0.221
ˈɛ	ˈɛ	0.168
ˈɛ	ˈoʊ̯	0.082
ˈɛ	ˈeɪ̯	0.079
ˈɛː	ˈoʊ̯	0.527
ˈɛː	-	0.148
ˈɛː	ˈɝ	0.148
ˈɛː	ˈʌ	0.104
ˈɛː	ˈi	0.053
ˈɪ	ˈɪ	0.668
ˈɪ	ˈaɪ̯	0.195
ˈɪ	-	0.129
ˈʏ	ˈɪ	1.0
