Québécois French	Québécois French	probability
ʦ	-	1.0
ʁ_ɪ	r_ˈi	1.0
ɥ	o̯ˈa	1.0
ɛ_#>	ə_#>	1.0
ɔ	w_ˈo	1.0
ɑɔ̯	-	1.0
øʏ̯	ˈo_k	1.0
y	ˈu	1.0
t	t	1.0
p	p	1.0
o	ˈo_s	1.0
m	m	1.0
l_#>	#>	1.0
b	b	1.0
<#_t	<#_ʦ	1.0
<#_p	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
n	n	0.818
ʃ	k	0.8
ʁ	r	0.795
u	ˈu	0.75
ɡ	ɡ	0.714
w	-	0.714
k	k	0.714
<#	<#_j	0.714
l	l	0.667
ẽɪ̯̃	ˈi_n	0.667
d	d	0.667
v	v	0.615
æɛ̯	ˈa	0.611
s	s	0.556
#>	ə_#>	0.508
ɪ	ˈi	0.5
ɪ	ˈe	0.5
oʊ̯	ˈa_l	0.5
oʊ̯	l	0.5
ã	ˈi_n	0.444
ʒ	z	0.429
ɒ̃ʊ̯̃	-	0.429
ɛ	ˈa	0.417
f	f	0.417
j	-	0.4
i	i	0.4
a	ˈa	0.4
#>	i_#>	0.39
œ	i	0.357
œ	-	0.357
ɛ	e̯ˈa	0.333
s	ʦ	0.333
l	ʎ	0.333
f	-	0.333
ẽɪ̯̃	j_n	0.333
d	-	0.333
i	ˈi	0.3
i	-	0.3
ʒ	ʒ	0.286
ʒ	-	0.286
ɡ	-	0.286
ɒ̃ʊ̯̃	ˈu_ŋ	0.286
ɒ̃ʊ̯̃	ˈu	0.286
œ	ˈo	0.286
w	ˈu	0.286
k	-	0.286
<#	<#_t	0.286
ɛ	r	0.25
u	-	0.25
f	w	0.25
e	ˈa_t	0.25
e	ˈa_s	0.25
e	s	0.25
e	-	0.25
v	p	0.231
ã	ˈi_m	0.222
ã	n	0.222
ʃ	k_ˈɔ	0.2
j	ʎ_u	0.2
j	ʎ	0.2
j	k_ʎ	0.2
a	ˈe	0.2
a	ˈa_k	0.2
a	-	0.2
n	i_n	0.182
æɛ̯	ˈɔ	0.167
v	-	0.154
æɛ̯	e̯ˈa	0.111
æɛ̯	-	0.111
s	ʧ	0.111
ã	ɔ	0.111
ʁ	-	0.103
ʁ	u	0.051
ʁ	r_u	0.051
