Piedmontese	Piedmontese	probability
ˈɛ_ŋ	ˈɛ̃	1.0
ˈɛ_k	ˈɛ_ʧ	1.0
ˈɛ_j	ˈøː_ʀ	1.0
ˈə	ˈɛ	1.0
ˈø_v	ˈuː	1.0
ˈy_ɲ	ˈœ̃	1.0
ˈu_ŋ	ˈɔ̃	1.0
ˈu_z	w_ˈɛ	1.0
ˈi_ŋ	ˈẽ	1.0
ˈi_n	ˈẽ	1.0
ˈi_l	ˈɛ_j	1.0
ˈe_#>	ˈiː_#>	1.0
ˈa_ŋ	ˈɑ̃	1.0
ˈa_n	ˈɑ̃	1.0
ʧ	k_l	1.0
ʤ_ˈi	ɲː	1.0
ɲ	ɲ	1.0
ə	-	1.0
ŋ_a_#>	n_#>	1.0
y	-	1.0
w	w	1.0
v_r	f	1.0
u_ŋ	ɔ̃	1.0
t_#>	#>	1.0
s_t	s	1.0
s_k	ʃ	1.0
s_e	ʃ	1.0
s_#>	#>	1.0
r_s	ˈa_s	1.0
r_#>	#>	1.0
p_#>	#>	1.0
p	p	1.0
n_#>	#>	1.0
m_ˈa	m_w	1.0
l_#>	#>	1.0
k_ˈa	ʧ	1.0
k_a	ʧ	1.0
k_#>	#>	1.0
j_a	j	1.0
j_#>	#>	1.0
i_ŋ	ẽ	1.0
f	f	1.0
e_#>	#>	1.0
dː	j	1.0
b	b	1.0
a_ŋ	ɑ̃	1.0
a_n	ɛ̃	1.0
a_j	ɛː	1.0
<#_ˈø	<#_ˈuː	1.0
<#_u	<#_ɔ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
a_#>	#>	0.951
m	m	0.864
r	ʀ	0.86
t	t	0.833
s	s	0.744
k	k	0.724
v	v	0.676
ŋ	ˈɛ̃	0.636
l	l	0.632
ˈa_w	ˈoː	0.6
ʤ	ʤ	0.6
n	n	0.545
d	d	0.5
d	-	0.5
u	ɔ	0.455
n	-	0.455
i	-	0.444
#>	ˈa_#>	0.429
ˈø	-	0.417
ˈa_w	ˈɔː	0.4
ʤ	-	0.4
ɡ	ɡ	0.4
e	-	0.385
j	l	0.381
ˈe	ˈe	0.37
l	ˈa	0.368
ˈy	-	0.364
z	-	0.364
u	-	0.364
a	a	0.353
ˈi	ˈiː	0.35
ˈɛ	j	0.333
ˈø	ˈuː	0.333
ˈa	ˈa	0.333
i	i	0.333
ˈɔ	ˈɔ	0.32
ɡ	k	0.3
ɡ	-	0.3
#>	ʀ_#>	0.286
#>	j_#>	0.286
k	ʧ	0.276
ˈy	ˈy	0.273
z	ʒ	0.273
ˈø	ˈøː	0.25
ˈu	ˈɔ	0.25
ˈi	ˈɛ	0.25
ˈɔ	ˈoː	0.24
a	j	0.235
e	ˈi	0.231
e	ɛ	0.231
ˈe	w	0.222
ˈe	-	0.222
i	ɛ	0.222
ˈa	ˈɔː	0.212
ˈu	ˈøː	0.2
ˈu	ˈuː	0.2
ˈi	ˈi	0.2
j	j	0.19
j	-	0.19
ˈy	ˈɔ	0.182
ˈy	ˈu	0.182
ŋ	ˈɔ̃	0.182
ŋ	ˈẽ	0.182
z	ʤ	0.182
z	s	0.182
u	uː	0.182
s	ʃ	0.179
v	f	0.176
ˈɛ	ˈɛ	0.167
t	-	0.167
ˈɔ	w	0.16
e	ʀ	0.154
ˈa	-	0.152
ˈu	ˈu	0.15
v	-	0.147
j	ˈɛ	0.143
m	-	0.136
ˈɛ	ˈiː	0.125
ˈɛ	j_ˈɛ	0.125
ˈa	ˈɛ	0.121
ˈa	ˈe	0.121
ˈɔ	ɔ	0.12
a	ɛ	0.118
a	n	0.118
a	-	0.118
ˈe	ˈiː	0.111
ˈu	ˈɔ̃	0.1
ˈu	ɔ	0.1
ˈi	j	0.1
ˈi	-	0.1
j	ˈɛː	0.095
ˈɛ	ˈɛː	0.083
ˈɛ	w	0.083
ˈɛ	-	0.083
ˈɔ	w_ˈa	0.08
ˈɔ	-	0.08
s	-	0.077
ˈe	w_ˈɛ	0.074
ˈa	w	0.061
a	ɔː	0.059
