Québécois French	Québécois French	probability
ʦ	-	1.0
ʣ	z	1.0
ʏ	ˈu	1.0
ʊ	-	1.0
ʃ_#>	k_ə_#>	1.0
ʃ	k	1.0
ʁ_i	r_ˈi	1.0
ɲ	j	1.0
ɛ_#>	#>	1.0
œ̃ʏ̯̃	n_u	1.0
œ_n	e_n	1.0
z	-	1.0
y	ˈu	1.0
w_ɛ	ˈe	1.0
o	ˈo_s	1.0
n_#>	n_ə_#>	1.0
n	n	1.0
l_#>	r_#>	1.0
b	b	1.0
aœ̯	o̯ˈa	1.0
<#_ʁ	<#_r	1.0
<#_ɔ	<#_ˈo	1.0
<#_æɛ̯	<#_a	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#	1.0
p	p	0.913
t	t	0.889
m	m	0.857
ʁ	r	0.754
ɡ	ɡ	0.75
k	k	0.737
f	f	0.704
ɔ	u	0.667
ʁ_#>	e_#>	0.6
øʏ̯	ˈo_k	0.6
#>	e_#>	0.589
ɪ	ˈi	0.583
v	v	0.565
a	-	0.562
i	ˈi	0.529
ʒ	ʤ	0.5
ɥ	ˈo	0.5
ɥ	o̯ˈa	0.5
ɑɔ̯	ˈo	0.5
ɑɔ̯	o̯ˈa	0.5
d	ʒ	0.5
d	n_e	0.5
æɛ̯	ˈa	0.48
s	s	0.471
oʊ̯	ˈa_l	0.455
a	ˈa	0.438
ɒ̃ʊ̯̃	ˈu	0.429
l	l	0.421
ɪ	-	0.417
œ	ˈo	0.417
œ	-	0.417
ã	ˈɨ_n	0.417
j	j	0.412
ʁ_#>	#>	0.4
øʏ̯	-	0.4
u	ˈu	0.375
ẽɪ̯̃	ˈi_n	0.375
e	ˈa_r	0.375
w	ˈe	0.368
oʊ̯	ˈe_l	0.364
ɔ	ˈu	0.333
<#	<#_ˈa	0.333
<#	<#_t	0.333
<#	<#_a	0.333
ɛ	ˈe	0.32
u	u	0.312
ẽɪ̯̃	n	0.312
v	-	0.304
j	-	0.294
ʒ	-	0.286
ɒ̃ʊ̯̃	ˈu_n	0.286
ɒ̃ʊ̯̃	-	0.286
w	-	0.263
l	-	0.263
ɡ	ŋ	0.25
ã	n	0.25
ɛ	ˈa	0.24
s	ʧ	0.235
ʒ	ʒ	0.214
l	r	0.211
e	s	0.208
ɛ	-	0.2
u	ˈo_j	0.188
ẽɪ̯̃	ˈɨ	0.188
oʊ̯	-	0.182
#>	ə_#>	0.177
j	kʲ	0.176
i	ˈi_k	0.176
i	p_t	0.176
ʁ	e_r	0.169
œ	ə	0.167
e	ˈa	0.167
e	r	0.167
ã	ˈi	0.167
ã	ɨ_n	0.167
w	e_d	0.158
k	-	0.158
f	w	0.148
s	ʃ	0.147
m	m_ə	0.143
v	p	0.13
u	ˈo	0.125
ẽɪ̯̃	ˈɨ_n	0.125
æɛ̯	ˈɨ	0.12
j	ˈi	0.118
i	e	0.118
t	ʦ	0.111
w	ˈə	0.105
w	e̯ˈa	0.105
l	ɡ	0.105
k	ʧ	0.105
s	ʦ_ə	0.088
p	-	0.087
e	-	0.083
ɛ	ʤ_e	0.08
ɛ	r	0.08
ɛ	e	0.08
æɛ̯	ˈe	0.08
æɛ̯	ˈa_ʧ	0.08
æɛ̯	ə	0.08
æɛ̯	j_ˈe	0.08
æɛ̯	-	0.08
f	f_o̯ˈa	0.074
f	-	0.074
s	-	0.059
#>	t_#>	0.056
