Old High German	Northern Low Saxon	probability
ˈɛ_h	ˈaɪ̯	1.0
ˈɑː	ˈoː	1.0
ˈɑ_r	ˈaː	1.0
ˈɑ_h	ˈoː	1.0
ˈu_r	ˈɔː	1.0
ˈou̯	ˈaʊ̯	1.0
ˈiː_ʦ_ɛ_h	aɪ̯	1.0
ˈio̯	ˈaɪ̯	1.0
ˈie̯	ˈiː	1.0
ˈi_m	ˈiː	1.0
ˈeː	-	1.0
ʦː	-	1.0
ɡ_ɑ	ŋ	1.0
ɛ_r	ɐ	1.0
ə	-	1.0
ɑ_ɡ	ɪ_ç	1.0
ɑ_r	ɐ	1.0
ɑ_n	m	1.0
ɑ	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː_ɑ	ɡ	1.0
xː	ɡ	1.0
w_ˈi	v	1.0
v	v	1.0
tː	d	1.0
t_r	d_r	1.0
s̻ː	d	1.0
s_l	s_l	1.0
s_k	ʃ	1.0
rː	ˈɔʏ̯_ç	1.0
r_ʦ	d	1.0
r_o	ɐ	1.0
p	p	1.0
oː	-	1.0
ou̯	ˈoː	1.0
o	-	1.0
nː	n	1.0
n_t	n	1.0
mː	ˈø	1.0
m	m	1.0
lː	l	1.0
l_ɑ	l	1.0
l	l	1.0
kː_ɑ	ɡ	1.0
kʰ	kʰ	1.0
k	ɡ	1.0
j	ʒ	1.0
i	-	1.0
h	h	1.0
fː	p	1.0
f_ɑ	b	1.0
f	f	1.0
eː	-	1.0
e_n	n	1.0
e	-	1.0
d_ˈi	d_ˈɪ	1.0
ˈi	ˈɪ	0.929
u	-	0.872
ˈiː	ˈiː	0.863
ˈuː	ˈuː	0.833
s̻	d	0.83
d	d	0.823
w	v	0.822
t	d	0.812
n	n	0.804
ʦ	tʰ	0.783
b	b	0.757
r	ɐ	0.723
ˈe	-	0.72
ˈɑ	ˈa	0.687
ˈoː	ˈaʊ̯	0.676
kː	ɡ	0.635
ˈei̯	ˈaɪ̯	0.622
ˈuo̯	ˈaʊ̯	0.612
p͡f	pʰ	0.555
ˈɑ_l	ˈaː	0.506
ˈiu̯	ˈyː	0.5
ˈiu̯	-	0.5
ˈɑ_l	ˈaʊ̯_l	0.494
s	z	0.477
p͡f	b	0.445
ˈu	ˈʊ	0.438
x	ɡ	0.432
ˈuo̯	ˈɔʏ̯	0.388
kː	ç	0.365
ˈo	ˈaʊ̯	0.335
ˈɛ	-	0.331
ˈoː	ˈɔʏ̯	0.324
ɡ	ç	0.306
ˈo	ˈʊ	0.295
ˈei̯	ˈɪ	0.288
ˈe	ˈɛ	0.28
r	r	0.277
s	ʃ	0.263
ˈɛ	ˈeː	0.255
ɡ	ɡ	0.251
x	x	0.239
ˈu	ˈʏ	0.231
ˈɑ	ˈoː	0.219
ɡ	ŋ	0.219
ʦ	d	0.217
s	s	0.207
x	-	0.206
ˈɛ	ˈɛ	0.178
w	-	0.178
d	-	0.177
ˈo	ˈɔ	0.176
s̻	-	0.17
ˈuː	-	0.167
ɡ	x	0.163
ˈɛ	ˈoː	0.154
n	-	0.148
b	-	0.147
ˈu	ˈøː	0.144
t	t	0.142
ˈiː	ˈɪ	0.137
u	i	0.128
x	s	0.124
ˈo	-	0.115
ˈu	ˈɔ	0.093
ˈu	-	0.093
ˈei̯	ˈœː	0.09
ˈɛ	ˈʏ	0.082
ˈo	ˈoː	0.078
ˈi	ˈɛː	0.071
b	v	0.061
ɡ	j	0.06
ˈɑ	-	0.057
s	z̥	0.054
