Québécois French	Occitan	probability
<#	<#_ˈa	1.0
<#_a	<#_a	1.0
<#_ã	<#_ˈa_n	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#_e	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_oʊ̯	<#_ˈa	1.0
<#_p	<#_p	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_æɛ̯	<#_a	1.0
<#_œ	<#_ɥ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʁ	<#_r	1.0
<#_ʃ	<#_k	1.0
<#_ʒ	<#_ʤ	1.0
<#_ʣ	<#_d	1.0
<#_ʦ	<#_t	1.0
a_l	a_l	1.0
a_s	a_s	1.0
aœ̯_ʁ	ˈu_#>	1.0
b	β	1.0
d	d	1.0
e_#>	ˈa_#>	1.0
f_#>	w_#>	1.0
i_ʁ	ˈi_#>	1.0
j_#>	ʎ_ɔ_#>	1.0
j_ɛ	ˈɛ	1.0
k	k	1.0
l_#>	l_#>	1.0
m	m	1.0
n_#>	n_ɔ_#>	1.0
o	ˈɔ_s	1.0
p	p	1.0
s_#>	s_#>	1.0
u_ʁ	ˈu_r	1.0
v	β	1.0
w_ẽɪ̯̃	ˈy_ɲ	1.0
z	z	1.0
æɛ̯_z	a_z	1.0
œ_f	ˈɔ_w	1.0
œ_n	e_n	1.0
ɑɔ̯	w	1.0
ɑɔ̯_ʁ	ˈɔ_r	1.0
ɒ̃ʊ̯̃_#>	ˈu_#>	1.0
ɔ_l	u_l	1.0
ɛɪ̯	ˈɛ_s	1.0
ɲ	ɲ	1.0
ʁ_æɛ̯	ɾ_ˈa	1.0
ʃ	k	1.0
ʊ	ˈu	1.0
ʏ	ˈy	1.0
ʒ	ʤ	1.0
ʒ_#>	ʤ_e	1.0
i_#>	ʧ_#>	0.571
l	lː	0.071
w	ˈe	0.471
ɛ	ˈa	0.211
a	ˈa	0.722
s	-	0.222
t	t	0.632
y	ˈy_t	0.2
y	ˈi_w	0.2
æɛ̯	ˈa_j	0.172
i	ˈɛ_ʦ	0.143
i	j_ˈɛ_ʧ	0.143
oʊ̯	ˈa_w	0.333
ɒ̃ʊ̯̃	n	0.333
ɒ̃ʊ̯̃	ˈu_n	0.333
ɒ̃ʊ̯̃	ŋ	0.333
ɔ	u	0.333
ɛ	j	0.263
ɪ	j	0.143
ʁ	ɾ	0.643
ã	n	0.154
ã	a_n	0.154
ã	ˈa_ŋ	0.154
e	-	0.4
i	i	0.214
j	j_ˈɛ	0.214
w_ɛ	e	0.214
æɛ̯	ˈa	0.414
æɛ̯_ʁ	ˈɛ_r	0.714
ɛ_#>	t_#>	0.4
ɥ	ɥ_ˈɛ	0.714
ʁ_#>	ɾ_e_#>	0.714
<#_ɔ	<#	0.5
<#_ɔ	<#_ˈɔ	0.5
ẽɪ̯̃	n	0.105
ẽɪ̯̃	ˈa_ɲ	0.105
ẽɪ̯̃	ˈe_#>	0.105
i	ˈi	0.5
n	n	0.5
n	-	0.5
oʊ̯	ˈɛ_l	0.5
t	s	0.105
t	w_t	0.105
u	ˈu_s	0.125
w	ˈu	0.235
øʏ̯	w	0.5
øʏ̯	ɥ_ˈɔ_k	0.5
œ	a	0.25
œ	e	0.75
ɛ	-	0.105
ɛ	j_#>	0.105
ɡ	ɣ	0.5
ɡ	ɡ	0.5
#>	ɔ_#>	0.726
e	ˈa	0.6
w	-	0.176
w_ɛ	ˈe	0.786
y	ˈy	0.6
æɛ̯_ʁ	e_r	0.286
ɛ_#>	ʦ_#>	0.6
ɥ	ˈy	0.286
ʁ_#>	e_#>	0.286
#>	k_#>	0.107
#>	l_#>	0.167
j	ˈɛ	0.357
oʊ̯	ˈa_l	0.167
ɔ	ˈu	0.667
ɪ	ˈi	0.857
a	a	0.278
ã	ˈɛ_n	0.538
ẽɪ̯̃	ˈi_#>	0.158
ẽɪ̯̃	ˈi	0.158
ẽɪ̯̃	ˈa_#>	0.368
s	s	0.778
t	s_t	0.158
u	ˈu	0.438
u	u	0.438
w	ˈɛ	0.118
æɛ̯	ˈe	0.138
æɛ̯	-	0.138
ɛ	ˈe	0.158
ɛ	ˈɛ	0.158
ʁ	r	0.238
i_#>	ˈi	0.429
j	-	0.429
l	l	0.929
æɛ̯	ˈa_ʦ	0.069
æɛ̯	ˈe_j	0.069
ʁ	-	0.119
