Bokmål Norwegian	Bokmål Norwegian	probability
ˈʊ	-	1.0
ˈɪ	ˈi	1.0
ˈœʏ̯	ˈau̯	1.0
ˈæ	-	1.0
ˈeː_#>	ˈyː_#>	1.0
ʋ_#>	b̥_#>	1.0
ɾ_ˈœ	r	1.0
ɳ	r_n	1.0
ɡ	ɡ̊	1.0
ə_n	æ	1.0
ŋː	ŋ	1.0
ç	-	1.0
tʰ_ɾ	d̥_r	1.0
s_ˈøː	z̥	1.0
s_#>	z̥_#>	1.0
pʰ	p͡f	1.0
nː_#>	ŋ_#>	1.0
n_#>	#>	1.0
mː	m	1.0
m	m	1.0
l	l	1.0
kʰ	ɣ̊	1.0
k	χː	1.0
j_ˈæː	ˈæ	1.0
i	i	1.0
h	h	1.0
f	v̥	1.0
b	b̥	1.0
<#_ˈɛ	<#_ˈe	1.0
<#_ɾ	<#_r	1.0
<#_tʰ	<#_d̥	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_d	<#_tː	1.0
ɾ	r	0.824
ˈɑ	ˈɒ	0.818
n	n	0.786
ˈœ	-	0.778
tʰ	ʦ	0.778
lː	l	0.778
p	fː	0.75
ˈɔ	-	0.714
s_k	ʃː	0.714
j	ɡ̊	0.714
ʋ	ʋ	0.708
ə	ə	0.676
ˈæɪ̯	ˈæi̯	0.667
ˈoː	ˈɒː	0.615
ˈiː	ˈiː	0.615
ʂ	ʒ̊	0.6
ɡː	kː	0.6
d	tː	0.6
ˈʉ	ˈu	0.571
ˈuː	ˈuə̯	0.533
ˈʉː	ˈuː	0.529
ˈæː	ˈæ	0.5
ˈæː	-	0.5
ˈyː	ˈyː	0.5
ˈeː	ˈæi̯	0.5
ˈeː	ˈæ	0.5
kː	ŋ_kː	0.5
kː	kː	0.5
nː	n_d̥	0.471
t	tː	0.458
t	sː	0.458
tː	χː_tː	0.455
ˈɑː	ˈɒː	0.444
s	z̥	0.424
ˈɛ	ˈæ	0.421
ˈɛ	-	0.421
nː	n	0.412
#>	tː_#>	0.409
ʂ	z̥	0.4
ɡː	kː_ə	0.4
d	d̥	0.4
s	ʒ̊	0.394
ˈʏ	ˈy	0.375
ˈʏ	ˈu	0.375
ˈɑː	ˈɒ	0.333
ˈæɪ̯	-	0.333
<#	<#_ʋ	0.308
ˈɔ	ˈɒ	0.286
s_k	ʒ̊	0.286
j	ˈæ	0.286
ə	-	0.284
tː	ʦ	0.273
tː	sː	0.273
ˈøː	ˈoː	0.267
ˈuː	ˈo	0.267
ˈʏ	-	0.25
ˈyː	ˈiə̯	0.25
ˈyː	-	0.25
p	-	0.25
ˈʉː	-	0.235
ˈoː	-	0.231
ˈiː	-	0.231
<#	<#_ɡ̊	0.231
ˈɑː	ˈɒ_tː	0.222
ˈœ	ˈyə̯	0.222
tʰ	-	0.222
lː	l_d̥	0.222
ˈʉ	ˈo	0.214
ˈʉ	-	0.214
n	ə	0.214
ˈøː	ˈau̯	0.2
ˈuː	-	0.2
#>	ɡ̊_#>	0.182
#>	r_#>	0.182
ʋ	fː	0.167
ˈɛ	ˈæi̯	0.158
ˈoː	ˈoː	0.154
ˈiː	ˈæː	0.154
<#	<#_ʋ_ˈu	0.154
<#	<#_tː	0.154
<#	<#_j	0.154
#>	b̥_#>	0.136
ˈøː	ˈøː	0.133
ˈøː	ˈoː_d̥	0.133
ˈøː	ˈeː	0.133
ˈøː	-	0.133
ʋ	b̥	0.125
s	ʃː	0.121
ˈʉː	ˈyː	0.118
ˈʉː	ˈo	0.118
ɾ	ə_r	0.118
nː	-	0.118
ˈɑ	ˈæ	0.091
ˈɑ	-	0.091
#>	χː_#>	0.091
t	-	0.083
s	tː	0.061
ɾ	-	0.059
