Spanish	Spanish	probability
θ_a	s_ɐ	1.0
β_ˈe	b_ˈe	1.0
ˈu_n	ˈũ	1.0
ˈo_β	ˈo_b	1.0
ˈo_t	ˈɔ	1.0
ˈo_m	ˈõ	1.0
ˈi_ɾ	ˈe_h	1.0
ˈi_n	ˈĩ_j̃	1.0
ˈe_θ	j_ʃ	1.0
ˈe_k	ˈe_k	1.0
ˈe_#>	ˈi_#>	1.0
ˈa_n	ˈɐ̃	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_ˈa	ɾ_ˈɐ̃	1.0
ɾ_t	h_ʧ	1.0
ɾ_k	h_k	1.0
ɾ_e	i	1.0
ɾ_a	ɾ_ɐ	1.0
ɾ_#>	h_#>	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ŋ_ɡ	j̃	1.0
ŋ_k	k	1.0
ŋ	-	1.0
ð_a	d_ɐ	1.0
x_o	ʃ_u	1.0
x	ʎ	1.0
w_a	w_ɐ	1.0
s_#>	ʃ_#>	1.0
r	h	1.0
p	p	1.0
o_ɾ	o_ɦ	1.0
o_m	ũ	1.0
o_#>	#>	1.0
n_o	w̃	1.0
n_a	ɐ	1.0
n_#>	w̃_#>	1.0
m_ˈo	ˈɛ_l	1.0
l_ˈe	l_ˈe	1.0
l_ˈa	ˈa	1.0
l_o	w	1.0
l_#>	w_#>	1.0
k_ɾ	k_ɾ	1.0
k	k	1.0
j_#>	j_#>	1.0
f	f	1.0
e_θ	i_z	1.0
e_ˈe	ˈe	1.0
e_ɾ	b	1.0
e_n	ẽ	1.0
b_ɾ	m	1.0
b_w	b	1.0
b_j	v	1.0
a_ð	a_d	1.0
<#_θ	<#_s	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_x	<#_ʒ	1.0
<#_t	<#_t	1.0
<#_r	<#_h	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_e	<#_e	1.0
<#_a	<#_a	1.0
m	m	0.944
<#	<#_f	0.867
ʝ	l	0.846
ɾ_o	ɾ_u	0.846
o	u	0.842
j_ˈe	ˈɛ	0.812
d	d	0.789
ˈi	ˈi	0.767
ð	d	0.765
ˈa	ˈa	0.758
β	v	0.75
j	-	0.75
a	ɐ	0.75
#>	i_#>	0.75
t	t	0.733
<#_ɟ͡ʝ	<#_ʃ	0.7
ˈe_n	ˈẽ	0.667
ɲ	j̃	0.667
s	s	0.646
ˈe	ˈe	0.641
ˈu	ˈu	0.625
w_ˈe	ˈo	0.625
u	u	0.6
i	i	0.6
l	l	0.595
e	i	0.587
ɾ	ɾ	0.529
b	v	0.515
ʧ	j_t	0.444
ˈo	ˈo	0.405
u	-	0.4
i	e	0.4
w_ˈe	ˈɔ	0.375
w	ˈõ	0.375
w	w	0.375
b	b	0.364
ˈe_n	ˈõ	0.333
ʧ	t	0.333
ɲ	n	0.333
n	j̃	0.3
n	-	0.3
<#_ɟ͡ʝ	<#	0.3
e	e	0.283
ɾ	ɦ	0.265
θ	s	0.25
θ	j_ʃ	0.25
β	b	0.25
ˈu	ˈũ	0.25
w	-	0.25
s	ʃ	0.25
n	n	0.25
j	j	0.25
#>	j̃_#>	0.25
ˈo	ˈɔ	0.243
l	-	0.243
ˈa	ˈɐ̃	0.242
ð	ʤ	0.235
ʧ	j_ʧ	0.222
d	ʤ	0.211
θ	z	0.2
t	ʧ	0.2
a	a	0.2
j_ˈe	ˈẽ	0.188
l	w	0.162
ˈe	ˈẽ	0.154
ʝ	ʒ	0.154
ɾ_o	j	0.154
θ	ʒ	0.15
θ	ʃ	0.15
n	j	0.15
ɾ	h	0.147
ˈi	ˈĩ	0.133
<#	<#_ʒ	0.133
ˈu	-	0.125
b	-	0.121
ˈi	ˈɛ	0.1
o	o	0.095
ˈo	ˈɐ̃	0.081
ˈo	ˈõ	0.081
ˈo	ˈo_j	0.081
ˈe	ˈi	0.077
ˈe	-	0.077
t	w_t	0.067
e	ẽ	0.065
e	-	0.065
o	-	0.063
s	-	0.062
ɾ	j_ɾ	0.059
m	-	0.056
ˈo	ˈo_w	0.054
ˈo	w	0.054
ˈe	ˈɛ	0.051
