Proto-Germanic	Proto-Germanic	probability
θ_ɑ̃	d	1.0
θ_i	d	1.0
β_ɑ̃_#>	f_#>	1.0
ˈɑː	ˈi	1.0
ˈɑu̯_ɣ	ˈaɪ̯	1.0
ˈɑi̯_w	ˈoʊ̯	1.0
ˈɑ_ɣ	ˈeɪ̯	1.0
ˈɑ_r	ˈɑ_ɹ	1.0
ˈɑ_n	ˈu	1.0
ˈɑ_l	ˈæ	1.0
ˈu_ŋ	ˈʌ	1.0
ˈu_r	ˈɝ	1.0
ˈĩː	ˈʌɪ̯	1.0
ˈiː_z	ˈi	1.0
ˈiu̯	-	1.0
ˈi_ŋ	ˈɪ	1.0
ˈi_n	n	1.0
ˈi_j	ˈi	1.0
ˈeː	ˈi	1.0
ˈeu̯_ɣ	ˈaɪ̯	1.0
ˈe_ɣ	ˈeɪ̯	1.0
ˈe_w	ˈi	1.0
ɣ_ɑ_z_#>	#>	1.0
ɣ_j	ʤ	1.0
ɡʷ	ŋ	1.0
ɛː	ɚ	1.0
ɔ̃ː	-	1.0
ɔːː	-	1.0
ɔːu̯	-	1.0
ɔː	-	1.0
ɑ̃	-	1.0
ɑː	-	1.0
ɑi̯	ˈɛ_n	1.0
ɑ_ɣ	i	1.0
ɑ_z_#>	#>	1.0
ɑ_n_ɑ̃_#>	#>	1.0
ɑ_l	ɫ	1.0
ɑ	-	1.0
ŋ	ŋ	1.0
ð_ɛː	ð	1.0
ð	d	1.0
z	-	1.0
x_s	k_s	1.0
u	-	1.0
tː	ʔ	1.0
t_u	t	1.0
t_s	ʔ	1.0
sː	ɹ_s	1.0
s_ɔːː	ɚ	1.0
s_w	s	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_ɔː	ɚ	1.0
r_ɑ̃	ɚ	1.0
r_u	ɚ	1.0
r_n	ɹ_n	1.0
r_i	ɚ	1.0
r_#>	#>	1.0
pː	-	1.0
nː	n	1.0
n_ɑ̃_#>	#>	1.0
mː	m	1.0
lː	-	1.0
l_ɔː	ɫ	1.0
l_i	ɫ	1.0
kː	ʧ	1.0
kʷ	k	1.0
k_ˈu	kʰ	1.0
k_s	k	1.0
k_i	k	1.0
jː	ɡ	1.0
iː	-	1.0
i	-	1.0
e	ɚ	1.0
d	d	1.0
b	b	1.0
<#_ˈu	<#_ˈʌ	1.0
<#_ɣ	<#_ɡ	1.0
<#_x	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
<#_d	<#_d	1.0
m	m	0.929
ɸ	f	0.897
s	s	0.885
n	n	0.872
j	-	0.864
w	w	0.824
p	p	0.786
θ	θ	0.75
ɡ	ŋ	0.75
x	h	0.742
ˈɑi̯	ˈoʊ̯	0.733
r	ɹ	0.696
ˈuː	ˈaʊ̯	0.643
β	v	0.636
l	ɫ	0.625
ˈi	ˈɪ	0.591
t	ʔ	0.59
ˈɑu̯	ˈi	0.571
xʷ	w	0.571
ˈiː	ˈaɪ̯	0.556
ˈeu̯	ˈi	0.556
ˈɛː	ˈi	0.5
ˈɑ_x	ˈʌɪ̯	0.5
ˈɑ_x	ˈeɪ̯	0.5
ˈiː	ˈʌɪ̯	0.444
ˈɑu̯	ˈɛ	0.429
xʷ	-	0.429
l	l	0.375
β	f	0.364
ˈɔː	ˈi	0.333
ɣ	oʊ̯	0.333
ɣ	j	0.333
ɣ	-	0.333
t	t	0.333
k	k	0.333
ˈi	-	0.318
ˈɛː	ˈɛ	0.3
ˈe	ˈɛ	0.296
ˈɑi̯	-	0.267
ˈu	ˈʌ	0.25
ɡ	ɡ	0.25
k	ʧ	0.25
k	kʰ	0.25
ˈɔː	ˈu	0.222
ˈeu̯	ˈɪ	0.222
ˈeu̯	-	0.222
ˈuː	ˈʌ	0.214
p	pʰ	0.214
ˈɑ	ˈɛ	0.209
ˈɑ	ˈæ	0.209
ˈɛː	-	0.2
r	ɚ	0.196
ˈu	ˈɔ	0.194
ˈe	ˈɪ	0.185
ˈe	-	0.185
w	-	0.176
ˈɔː	ˈʌ	0.167
ˈɔː	ˈʊ	0.167
ˈu	ˈɪ	0.167
ˈɑ	ˈeɪ̯	0.163
x	-	0.161
θ	ð	0.143
ˈuː	ˈaɪ̯	0.143
ˈɑ	ˈɑ	0.14
ˈu	ˈɑ	0.139
j	j	0.136
n	-	0.128
ˈɔː	-	0.111
ˈe	ˈɔ	0.111
ˈe	ˈi	0.111
ˈe	ˈaɪ̯	0.111
θ	d	0.107
ɸ	v	0.103
x	ˈʌɪ̯	0.097
ˈɑ	ˈɛə̯	0.093
ˈi	ˈi	0.091
ˈu	ˈoʊ̯	0.083
ˈu	ˈaʊ̯	0.083
ˈu	-	0.083
k	ʃ	0.083
k	-	0.083
t	ɾ	0.077
s	-	0.077
m	-	0.071
ˈɑ	ˈoʊ̯	0.07
ˈɑ	-	0.07
r	-	0.065
