Afrikaans	Yiddish	probability
ˈɪə̯_t	ˈɛ_s	1.0
ˈɔ_ɫ	ˈɔ_ɫ	1.0
ˈɑː_r	ˈɛ_ʀ	1.0
ˈœu̯	ˈa_ɫ	1.0
ˈyː	ˈaɪ̯_ə	1.0
ˈoː	-	1.0
ˈi_n	ˈɛ_n	1.0
ɫ	ɫ	1.0
ɦ	h	1.0
ə_χ	ɪ_k	1.0
w	ˈɛɪ̯	1.0
v̥	f	1.0
s_t	ʃ_t	1.0
s_k	ʃ	1.0
r_t	ʀ_ʦ	1.0
m	m	1.0
i	-	1.0
b	b	1.0
v	v	0.92
n	n	0.907
r	ʀ	0.881
ˈə	ˈɪ	0.825
ˈɔ	ˈʊ	0.795
ˈœɪ̯	ˈɔɪ̯	0.786
ˈa	ˈa	0.751
ˈi	ˈɪ	0.746
ˈu	ˈʊ	0.733
ə	ə	0.723
χ	ɡ	0.635
ˈəɪ̯	ˈaɪ̯	0.633
k	k	0.631
ˈɑː	ˈɔ	0.63
ŋ	ŋ_ɡ	0.63
d̥	t	0.61
d	t	0.582
ˈœ	ˈɪ	0.58
ˈɛ	ˈɛ	0.564
p	f	0.555
ˈʊə̯	ˈɔɪ̯	0.549
s	z	0.539
ˈæ	ˈɪ	0.538
ˈɪø̯	ˈʊ	0.5
ˈɪø̯	ˈɔ	0.5
ˈæː	ˈa	0.5
ˈæː	ʀ	0.5
j	j	0.5
j	-	0.5
ˈæ	ˈɛ	0.462
ˈɪə̯	ˈɛɪ̯	0.45
ˈɛ	ˈɪ	0.436
t	s	0.427
ˈœ	-	0.42
d	d	0.418
t	ʦ	0.392
d̥	d	0.39
ˈɪə̯	ˈɛ	0.371
k	χ	0.369
s	ʃ	0.298
p	p	0.278
ˈɑː	ˈa	0.276
ˈu	ˈɪ	0.267
ˈi	-	0.254
ˈəɪ̯	ˈɛɪ̯	0.25
ˈœɪ̯	ˈaɪ̯	0.214
ŋ	-	0.208
ˈʊə̯	ˈɔ	0.205
ˈɔ	ˈɔ	0.205
t	t	0.18
ə	-	0.175
p	f_n	0.168
ŋ	ŋ	0.162
ˈa	ˈɔ	0.148
χ	χ_t	0.132
ˈʊə̯	ˈɛ	0.131
ˈə	ˈa	0.119
ˈəɪ̯	ˈɪ_n	0.117
ˈʊə̯	-	0.116
ə	n	0.102
ˈa	ˈɛ	0.1
χ	χ	0.099
ˈɑː	ˈɛ	0.094
ˈɪə̯	ˈɛ_b	0.092
ˈɪə̯	ˈaɪ̯	0.087
v	-	0.08
χ	k	0.068
χ	-	0.066
r	ʀ_ɛ	0.06
ˈə	ˈaɪ̯	0.056
n	-	0.053
