Franco-Provençal	Franco-Provençal	probability
ˈɛ_t	ˈɛ_ʧ	1.0
ˈɔ̃	ˈɔ̃	1.0
ˈoː_#>	ˈoː_#>	1.0
ˈi_l	ˈɛ_j	1.0
ˈe_n	ˈɛ_n	1.0
ˈa_#>	#>	1.0
ʦ	s	1.0
ʎ_ə	j	1.0
ʎ_#>	#>	1.0
ʃ_#>	#>	1.0
ʁ_s	ˈa_s	1.0
ɲ	ɲ	1.0
ɡ_a	w	1.0
ɛ̃	ɛ̃	1.0
ɛ	ɛ	1.0
ə_v	f	1.0
ə_#>	#>	1.0
ɔ̃	ɔ̃	1.0
ɔ	ɔ	1.0
ɑ̃	ɑ̃	1.0
ɑː	ɛ_s	1.0
ð_o_#>	ʧ_#>	1.0
y	ʀ_uː	1.0
v_ʁ	f	1.0
u	-	1.0
t_ˈe	t_j	1.0
t_ʁ	t	1.0
t_a	ˈɛ_s	1.0
s_ə	ʃ	1.0
s_#>	#>	1.0
s	s	1.0
p	p	1.0
o_ð	ɔ_ʀ	1.0
m	m	1.0
l_a	j	1.0
l	l	1.0
k	k	1.0
j_ˈɔ̃	ˈɔ̃	1.0
j_ˈø	ˈiː	1.0
j_ˈe	ˈiː	1.0
ĩ	ẽ	1.0
i	-	1.0
f_#>	#>	1.0
f	f	1.0
e_k	ʃ	1.0
d_ʁ	t	1.0
d	d	1.0
b	b	1.0
a_ð	a_ʀ	1.0
a_#>	#>	1.0
<#_ʁ	<#_ʀ	1.0
<#_ð	<#_ʤ	1.0
<#_t	<#_t	1.0
<#	<#_a	1.0
v	v	0.885
ʃ	ʧ	0.864
t	t	0.833
ˈɑ̃	ˈɑ̃	0.8
ɡ	ɡ	0.8
n	n	0.783
ˈĩ	ˈẽ	0.778
ʁ_#>	ʀ_#>	0.778
ð	ʀ	0.769
ʁ	ʀ	0.724
ˈɛ̃	ˈɛ̃	0.714
ʒ	ʤ	0.714
o	-	0.706
ˈɛ	ˈɛ	0.7
ˈo	ˈɔ	0.7
l_#>	ˈa_#>	0.692
ˈaː	ˈe	0.625
ˈɑː	-	0.6
ˈø	ˈøː	0.571
z	ʒ	0.571
ˈɔ	ˈuː	0.5
ʎ	l	0.5
ʎ	j	0.5
ˈe	j	0.481
ˈi	ˈi	0.471
e	s	0.444
ˈø	w	0.429
ə	-	0.429
z	-	0.429
w_ˈe	ˈuː	0.429
#>	ˈe_#>	0.429
ˈu	-	0.417
ˈɑː	ˈɔː	0.4
ˈaː	ˈɛ	0.375
a	a	0.375
ˈa	ˈe	0.36
ˈi	ˈiː	0.353
w	w	0.35
ˈɛː	-	0.333
j	j	0.333
j	-	0.333
ˈa	ˈa	0.32
l_#>	#>	0.308
ˈɛ	-	0.3
ˈo	ˈuː	0.3
o	ɔ	0.294
ˈɛː	w_ˈɛ	0.286
ʒ	-	0.286
ə	ʃ	0.286
ə	i	0.286
w_ˈe	ˈɔ	0.286
w_ˈe	ˈoː	0.286
#>	ˈi_#>	0.286
#>	ʀ_#>	0.286
ʁ	-	0.276
ˈoː	ˈuː	0.267
ˈɔ	ˈɔ	0.25
ˈɔ	-	0.25
ˈu	ˈoː	0.25
w	-	0.25
a	w	0.25
a	n	0.25
ð	-	0.231
ˈĩ	-	0.222
ʁ_#>	#>	0.222
e	ɛ	0.222
e	-	0.222
ˈɑ̃	w_ˈɛ̃	0.2
ˈoː	ˈɔː	0.2
ˈoː	ˈɔ	0.2
ˈoː	w_ˈa	0.2
ɡ	k	0.2
w	ˈu	0.2
j	ˈi	0.2
ˈe	ˈɛ	0.185
ˈe	-	0.185
ˈi	ˈeː	0.176
ˈu	ˈɔ	0.167
ˈu	ˈy	0.167
t	-	0.167
ˈa	ˈɛ	0.16
ˈa	-	0.16
w	ˈɔː	0.15
ˈɛ̃	ɲ	0.143
ˈɛ̃	-	0.143
ˈɛː	ˈɛ	0.143
ˈɛː	w_ˈɛː	0.143
ʃ	ʃ	0.136
ˈoː	ˈoː	0.133
j	ˈiː	0.133
n	ˈɛ̃	0.13
a	ɛ	0.125
v	-	0.115
e	ɛː	0.111
ˈɛː	ˈøː	0.095
n	-	0.087
ˈe	ˈɔː	0.074
ˈe	ˈiː	0.074
