Scots	Scots	probability
ˈʌu̯	ˈo_l	1.0
ˈʌ_n	n	1.0
ˈɪ_n	ˈɑ_n	1.0
ˈɛː	ˈeː	1.0
ˈøː	ˈo_ŋ	1.0
ˈuː_#>	#>	1.0
ˈoː	-	1.0
ˈiː_#>	#>	1.0
ˈeː_r	ˈaː	1.0
ˈaːɪ̯	ˈə_n	1.0
ˈaː	ˈə_ɕ	1.0
ˈaɪ̯	ˈɑɪ̯	1.0
ʤ	k	1.0
ʍ	v	1.0
ʃ_#>	ʃ_#>	1.0
ʃ	ʃ	1.0
ɪ	ə_ɕ	1.0
ɛ	n	1.0
ə_r	ɐ	1.0
ə	ə	1.0
ŋ	ŋ	1.0
ð	d	1.0
ç	ɕ	1.0
x	ˈuə̯_ɕ	1.0
v	v	1.0
tʰ	ʦ	1.0
s_#>	z̥_#>	1.0
r_n_#>	ʀ_#>	1.0
r_#>	#>	1.0
pʰ	pʰ	1.0
n_#>	#>	1.0
l_d	l	1.0
l	l	1.0
kʰ	kʰ	1.0
j	-	1.0
h	h	1.0
f_#>	v̥_#>	1.0
f	f	1.0
e	ə_ɕ	1.0
b	b	1.0
<#_ˈe	<#_ˈaː	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#	<#_ˈaː	1.0
#>	f_#>	1.0
m	m	0.909
n	n	0.897
ɡ	ɡ	0.857
w	v	0.696
θ	d	0.684
ˈu	-	0.636
ˈəi̯	ˈæːɪ̯	0.615
ˈe	ˈeː	0.611
ˈuː	ˈɑʊ̯	0.6
p	f	0.545
ˈʌ	ˈo	0.5
z	z̥	0.5
z	-	0.5
s	ʃ	0.5
s	z	0.5
i	ə_ɕ	0.5
i	-	0.5
r	ʀ	0.487
ˈø	-	0.444
t	t	0.442
k	ɕ	0.429
ˈeː	-	0.417
d	d̥	0.409
ˈuː	ˈo_l	0.4
t	s	0.395
ˈi	ˈɜɪ̯	0.381
ˈo	ˈo	0.375
ˈo	ˈaː	0.375
ˈɛ	-	0.368
ˈu	ˈæːʊ̯	0.364
d	d	0.364
r	ɐ	0.359
ˈa	ˈaː	0.357
k	k	0.357
ˈø	ˈu	0.333
ˈɪ	-	0.324
θ	d̥	0.316
w	w	0.304
ˈʌ	-	0.3
ˈɑː	ˈɑ_l	0.286
ˈa	ˈɑ	0.286
p	f_ə	0.273
ˈo	-	0.25
ˈiː	ˈɜɪ̯	0.25
ˈeː	ˈoː_ə	0.25
ˈɪ	ˈə	0.243
ˈəi̯	-	0.231
ˈø	ˈʊ	0.222
ˈɑː	ˈɑ	0.214
ˈɑː	ˈaː	0.214
ˈa	-	0.214
k	χ	0.214
ˈɛ	ˈɛ	0.211
ˈɛ	ˈaː	0.211
ˈʌ	ˈɔ	0.2
ˈiː	ˈɜɪ̯_ə	0.2
ˈiː	-	0.2
p	p	0.182
ˈeː	ˈiː	0.167
ˈeː	ˈaː	0.167
ˈe	-	0.167
t	ʦ	0.163
ˈəi̯	ˈɑɪ̯	0.154
ˈiː	ˈɑɪ̯	0.15
ˈɑː	ˈɜɪ̯	0.143
ˈɑː	-	0.143
ˈi	ˈoː	0.143
ˈi	ˈi	0.143
ˈi	ˈaː	0.143
ˈa	ˈiə̯	0.143
ɡ	k	0.143
ˈɪ	ˈe	0.135
ˈe	ˈəʊ̯	0.111
ˈe	ˈaː	0.111
ˈɪ	ˈiː	0.108
ˈɛ	ˈə	0.105
ˈɛ	ˈæ	0.105
r	ˈiː_ɐ	0.103
n	ˈe_ŋ	0.103
ˈiː	ˈæːɪ̯	0.1
ˈiː	ˈi	0.1
ˈi	ˈə	0.095
ˈi	ˈo	0.095
m	m_ˈəʊ̯	0.091
d	t	0.091
ˈɪ	ˈɑ	0.081
ˈɪ	ˈu	0.054
ˈɪ	ˈi	0.054
r	-	0.051
