Aragonese	Occitan	probability
<#	<#_e	1.0
<#_d	<#_d	1.0
<#_e	<#_e	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_o	<#_u	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_w	<#_ɥ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʧ	<#_ʤ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈu	<#_ˈy	1.0
<#_θ	<#_s	1.0
a_#>	ɔ_#>	1.0
b	-	1.0
e_n	e_n	1.0
e_ʝ	ˈe_j	1.0
j_#>	j_#>	1.0
j_ˈe	ˈɛ	1.0
k	k	1.0
k_o_#>	k_#>	1.0
l_#>	l_#>	1.0
l_o	l_#>	1.0
l_ˈa	l_ˈa	1.0
m_b	m	1.0
n	n	1.0
n_o_#>	#>	1.0
n_t_o	n_#>	1.0
n_ʧ	n_ʤ	1.0
p_o	s	1.0
r	r	1.0
s_#>	s_#>	1.0
s_a	z_ɔ	1.0
s_k	s_k	1.0
s_o_#>	s_#>	1.0
s_p	s_p	1.0
s_t	s_t	1.0
t_#>	t_#>	1.0
t_o	n_#>	1.0
t_o_#>	ʧ_#>	1.0
t_ɾ_o	t_ɾ	1.0
t_ˈa	t_ˈa	1.0
u	u	1.0
w_#>	w_#>	1.0
w_ˈe_n	ˈu_n	1.0
ð_o	t	1.0
ŋ	ŋ	1.0
ɲ	ɲ	1.0
ɲ_o_#>	ɲ_#>	1.0
ɾ_k	r_k	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ʃ	s	1.0
ʎ_o_#>	l_#>	1.0
ˈe_j	j_ˈɛ	1.0
ˈe_j_#>	ʧ	1.0
ˈe_ɣ	ˈɔ_k	1.0
ˈe_ɾ	ɾ_e	1.0
ˈe_ɾ_#>	e_#>	1.0
ˈi	ˈi	1.0
ˈu_ɾ_o	ˈy	1.0
θ_#>	ʦ_#>	1.0
e	-	0.211
i	e	0.571
j	-	0.471
m	-	0.111
o	e	0.111
o_#>	i_#>	0.571
w_ˈe	ˈɔ	0.81
ˈe	ˈe	0.561
ˈo	ˈɔ	0.121
j	j	0.412
m	m_b	0.222
n_#>	n_#>	0.2
ɾ_#>	e_#>	0.162
ʎ	ʎ	0.692
ˈa	ˈa	0.932
ˈo	ˈa_w	0.212
ˈu	ˈy	0.542
<#_a	<#	0.3
a	-	0.13
e_#>	e_#>	0.353
o	k_#>	0.083
o	w	0.083
ɣ	-	0.273
ʝ	ʤ	0.333
ʝ	ð	0.333
ʝ	-	0.333
ˈa_n	ˈa	0.333
ˈe	ˈɛ	0.293
ˈu	ɥ	0.083
θ	z	0.333
o	-	0.444
p	β	0.4
<#_b	<#_b	0.355
<#_b	<#_v	0.645
l	n	0.105
t	-	0.25
t	t	0.75
w	-	0.5
w	ɥ	0.5
ð	z	0.125
ð	ʤ	0.125
ð	t	0.125
ð	-	0.125
ð	ð	0.5
ɾ	-	0.185
ˈu	ˈu	0.375
β	v	0.115
β	-	0.115
β	w	0.115
p	p	0.6
s	ɾ	0.286
s	z	0.286
ɡ	<#	0.286
ɡ	-	0.286
<#_a	<#_a	0.7
a	a	0.87
e_#>	#>	0.647
l	l	0.737
m	m	0.667
ɣ	ɣ	0.727
ɾ	ɾ	0.537
ˈa_n	ˈa_n	0.667
ˈo	ˈu	0.667
β	w_ɾ	0.077
β	β	0.577
θ	s	0.667
j	j_ɾ	0.118
l	-	0.158
n_#>	#>	0.8
o	u	0.278
ɾ	r	0.278
ɾ_#>	#>	0.838
ʎ	l	0.308
ˈe	j_ˈɛ	0.098
e	e	0.789
i	i	0.429
o_#>	l_#>	0.429
s	s	0.429
w_ˈe	ˈu	0.19
ɡ	ɡ	0.429
