Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʉː_ɡ	ˈaɪ̯	1.0
ˈʉ_ɡ	ˈaʊ̯	1.0
ˈœʏ̯	ˈi	1.0
ˈæː	ˈɛ	1.0
ˈæʉ̯_ɡ	ˈaɪ̯	1.0
ˈæʉ̯_#>	ˈɛ_d_#>	1.0
ˈæʉ̯	ˈi	1.0
ˈæ	ˈæ	1.0
ˈeː_#>	ˈi_#>	1.0
ʰpː	p	1.0
ʰkː	ŋ_k	1.0
ʋ_e	v	1.0
ʋ_#>	f_#>	1.0
ɾ_ɑ	ɚ	1.0
ɾ_#>	#>	1.0
ɲ	ŋ	1.0
ɪ	ɪ	1.0
ɡː	ʤ	1.0
ɡ_ɾ	ɡ_ɹ	1.0
ɡ_#>	#>	1.0
ɛ	ɚ	1.0
ə_ɾ	ɚ	1.0
ə_#>	#>	1.0
ə	ə	1.0
ɑ	-	1.0
ŋː	ŋ	1.0
ŋ	n	1.0
v	w	1.0
tː	ʔ	1.0
sː	-	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
mː	m	1.0
m	m	1.0
kʰ_ʋ	w	1.0
kʰ_n	n	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
e_#>	#>	1.0
e	-	1.0
d	d	1.0
b	b	1.0
<#_ˈɑ	<#_ˈɑ	1.0
<#_ɾ	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
#>	θ_#>	1.0
n	n	0.862
ʋ	w	0.8
k	k	0.769
ˈæɪ̯	ˈoʊ̯	0.727
t	ʔ	0.679
ˈœ	-	0.667
ˈøː	ˈi	0.667
ɡ	ɡ	0.625
ˈʊ	ˈɔ	0.6
ˈʉː	ˈaʊ̯	0.6
ʂ	ʃ	0.6
ɾ	ɹ	0.586
ʰtː	ʔ	0.571
lː	ɫ_d	0.571
ˈɪ	ˈɪ	0.538
ˈɛ	ˈɛ	0.533
tʰ	tʰ	0.526
ˈʏ	ˈɪ	0.5
ˈɑː	ˈeɪ̯	0.5
ˈyː	ˈi	0.5
ˈyː	ˈaɪ̯	0.5
l	l	0.5
j	-	0.5
<#	<#_w	0.5
<#	<#_j	0.5
tʰ	θ	0.474
l	ɫ	0.447
ˈʉ	ˈʌ	0.429
ç	ʧ	0.429
nː	n_d	0.429
nː	n	0.429
lː	ɫ	0.429
ˈʊ	-	0.4
ʂ	s	0.4
ˈuː	ˈu	0.375
ˈeː	ˈɪ	0.375
ˈeː	ˈi	0.375
ɡ	-	0.375
ˈoː	ˈi	0.368
ˈʏ	-	0.333
ˈœ	ˈɛ	0.333
ˈøː	ˈɛ	0.333
ˈiː	ˈɪ	0.333
t	t	0.321
ˈɪ	ˈaɪ̯	0.308
ˈɔ	ˈʌ	0.308
ˈɔ	-	0.308
j	ɡ	0.3
ʰtː	ˈʌɪ̯_ʔ	0.286
ç	θ	0.286
ç	k	0.286
ɾ	ɚ	0.276
ˈæɪ̯	-	0.273
ˈoː	ˈoʊ̯	0.263
ˈɑː	ˈæ	0.25
ˈɑː	-	0.25
ˈeː	-	0.25
ˈɑ	ˈɛə̯	0.238
ˈɑ	ˈɑ	0.238
ˈɔ	ˈɔ	0.231
k	-	0.231
ˈɛ	-	0.2
ˈiː	ˈʌɪ̯	0.2
ˈiː	ˈaɪ̯	0.2
ʋ	v	0.2
j	h	0.2
ˈuː	ˈʊ	0.188
ˈuː	-	0.188
ˈʏ	w_ˈɪ	0.167
ˈoː	ˈu	0.158
ˈɪ	-	0.154
ˈɔ	w	0.154
ˈʉ	ˈɪ	0.143
ˈʉ	ˈaʊ̯	0.143
ˈʉ	w_ˈʊ	0.143
ˈʉ	-	0.143
ˈɑ	ˈæ	0.143
ˈɑ	ˈeɪ̯	0.143
ˈɑ	-	0.143
ʰtː	ɾ	0.143
nː	θ	0.143
n	-	0.138
ˈʉː	ˈɑ	0.133
ˈʉː	ˈi	0.133
ˈʉː	-	0.133
ˈɛ	ˈʌɪ̯	0.133
ˈɛ	ˈɪ	0.133
ˈiː	ˈi	0.133
ˈiː	ˈaɪ̯_d	0.133
ˈuː	ˈʌ_ð	0.125
ˈuː	w	0.125
ˈoː	ˈʌ	0.105
ˈoː	ˈɛ	0.105
ˈɑ	ˈɔ	0.095
ɾ	ˈɝ	0.086
l	-	0.053
ɾ	ð_ɚ	0.052
