Slovenian	Ukrainian	probability
ʧ	ʧ	1.0
ʒ	ʒ	1.0
ʃ	ʧ	1.0
ɛ́	ˈɛ	1.0
ə́	ˈɛ	1.0
ə_r	r_e	1.0
ɔ́ː	ˈɔ	1.0
ɔ́	ˈi	1.0
ɔ̀ː	ɔ	1.0
ɔ_#>	ɔ_#>	1.0
ɔ	ˈɔ	1.0
x	x	1.0
t_#>	d_#>	1.0
s_#>	s_#>	1.0
p_#>	b_#>	1.0
óː_#>	ɔ_#>	1.0
o	ˈɔ	1.0
m_#>	m_#>	1.0
k_#>	j_#>	1.0
íː	ˈɪ	1.0
ìː	ˈɪ	1.0
i_#>	e_#>	1.0
e	ˈɛ	1.0
d	d	1.0
áː	ɔ	1.0
a_#>	ɐ_#>	1.0
a	ˈɑ	1.0
<#_t	<#_t	1.0
<#_n	<#_nʲ	1.0
<#_l	<#_lʲ	1.0
<#_k	<#_k	1.0
<#	<#_w	1.0
#>	j_#>	0.85
r	r	0.833
p	p	0.833
m	m	0.833
ɡ	ɦ	0.8
z	z	0.727
s	s	0.714
éː	ˈi	0.714
t	t	0.679
n	n	0.667
i	ˈɪ	0.667
k	k	0.643
óː	ˈi	0.636
èː	ˈi	0.625
ʦ	ʦ	0.6
ə	-	0.6
j	-	0.6
b	b	0.6
ɛ	ɛ	0.571
<#_ʋ	<#_ʋ	0.571
l	ɫ	0.545
ɛ̀ː	ɛ	0.5
ɛ̀ː	ɐ	0.5
ʋ	ʋʲ	0.438
ʋ	ʋ	0.438
ɛ	ˈi	0.429
<#_ʋ	<#_w	0.429
ʦ	ʦʲ	0.4
j	j	0.4
b	bʲ	0.4
èː	i	0.375
w	ɫ_e	0.333
n	nʲ	0.333
i	ɪ	0.333
àː	ˈɔ	0.333
àː	ˈɑ	0.333
àː	ɐ	0.333
t	tʲ	0.321
s	sʲ	0.286
z	zʲ	0.273
l	ɔ_ɫ	0.227
l	lʲ	0.227
w	ʍ	0.222
w	ɫ	0.222
w	lʲ	0.222
k	-	0.214
ɡ	ɦ_ˈɔ	0.2
ə	ˈɔ	0.2
ə	k_ˈɪ	0.2
óː	ˈɔ	0.182
óː	ˈu	0.182
r	rʲ	0.167
p	pʲ	0.167
m	mʲ	0.167
#>	ɦ_#>	0.15
k	kʲ	0.143
éː	j_ˈɑ	0.143
éː	i	0.143
ʋ	w	0.125
