Aragonese	Aragonese	probability
θ_#>	ʃ_#>	1.0
β_ˈe	b_ˈe	1.0
ˈo_n	ˈõ	1.0
ˈi_ɾ	ˈe_h	1.0
ˈi_n	ˈĩ_j̃	1.0
ˈi_a	ˈi_ɐ	1.0
ˈe_ʎ	ʎ	1.0
ˈe_w	v_i	1.0
ˈe_n	ʧ	1.0
ˈe_#>	ˈi_#>	1.0
ˈa_t	j	1.0
ˈa_n	ˈɐ̃	1.0
ʝ_ˈe	ˈe	1.0
ɾ_β	ɦ_v	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_o	ɾ_u	1.0
ɾ_n	ɦ_n	1.0
ɾ_k	h_k	1.0
ɾ_a	ɾ_ɐ	1.0
ɾ_#>	h_#>	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ŋ_ɡ	j̃	1.0
ŋ	-	1.0
z	-	1.0
w_ˈa	w_ˈa	1.0
u_s	ˈɔ	1.0
t_e	ʧ_i	1.0
t_#>	#>	1.0
s_#>	ʃ_#>	1.0
r	h	1.0
p_l	ʃ	1.0
o_n	õ	1.0
o_#>	#>	1.0
n_t	t	1.0
n_o	w̃	1.0
n_a_#>	#>	1.0
n_a	ɐ	1.0
n_#>	w̃_#>	1.0
m_e	ũ	1.0
m	m	1.0
l_ˈa	ˈa	1.0
l_o	w	1.0
l_#>	w_#>	1.0
k_l	ʃ	1.0
k	k	1.0
j_#>	j_#>	1.0
f_l	ʃ	1.0
f	f	1.0
e_θ	i_z	1.0
e_n	ẽ	1.0
e_#>	i_#>	1.0
b_e	v	1.0
a_ɾ	a_ɾ	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_r	<#_h	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
<#_d	<#_d	1.0
#>	i_#>	1.0
p	p	0.892
t	t	0.839
o	u	0.837
ʧ	ʒ	0.833
ð	d	0.824
ˈi	ˈi	0.792
ɲ	j̃	0.778
j_ˈe	ˈɛ	0.778
a	ɐ	0.765
<#_a	<#_a	0.727
ˈe_j	ˈe_j	0.714
m_b	m	0.714
θ	s	0.7
ˈa	ˈa	0.695
ʃ	ʃ	0.667
u	-	0.667
β	v	0.65
s	s	0.643
b	v	0.607
ʝ	-	0.6
d	ʤ	0.6
ʎ	ʎ	0.565
ɾ	ɾ	0.526
j	-	0.524
e	e	0.524
w_ˈe	ˈo	0.522
ˈe	ˈe	0.5
n	-	0.5
ˈu	ˈu	0.467
l	-	0.458
i	e	0.455
ʎ	l	0.435
ʝ	j_v	0.4
d	d	0.4
b	b	0.393
β	b	0.35
ʃ	s	0.333
u	o	0.333
ˈa	ˈɐ̃	0.305
ˈu	ˈũ	0.3
l	l	0.292
ˈe_j	j	0.286
s	ʃ	0.286
m_b	b	0.286
ˈo	ˈɔ	0.281
ˈo	ˈo	0.281
w	-	0.273
i	i	0.273
i	-	0.273
<#_a	<#	0.273
w_ˈe	ˈɔ	0.261
l	w	0.25
e	-	0.238
ɲ	n	0.222
j_ˈe	ˈẽ	0.222
w_ˈe	ˈõ	0.217
ɾ	-	0.211
ˈi	ˈĩ	0.208
θ	j_ʃ	0.2
a	a	0.185
w	ˈɔ	0.182
w	ˈo	0.182
w	w	0.182
w	v_i	0.182
ð	-	0.176
ˈu	ˈo	0.167
ʧ	-	0.167
n	n	0.167
n	j̃	0.167
n	j	0.167
ɾ	ɦ	0.158
j	j̃	0.143
j	j	0.143
e	i	0.143
p	b	0.108
ɾ	h	0.105
o	o	0.105
θ	z	0.1
t	ʤ	0.097
ˈe	ˈɛ	0.095
ˈe	ˈẽ	0.095
ˈe	j	0.095
ˈe	-	0.095
j	ˈɛ	0.095
j	ˈẽ	0.095
e	ẽ	0.095
ˈo	ˈɐ̃	0.094
ˈo	ˈo_w	0.094
ˈe	ˈe_j	0.071
s	z	0.071
ˈu	-	0.067
t	-	0.065
ˈo	ˈu	0.062
ˈo	ˈo_j	0.062
ˈo	ˈo_d	0.062
ˈo	w	0.062
o	-	0.058
