Northern Low Saxon	Northern Low Saxon	probability
ˈɛː	-	1.0
ˈɛɪ̯	ˈɛ	1.0
ˈɔː	ʀ_ə	1.0
ˈœː	ˈɛ	1.0
ˈø	-	1.0
ˈyː	ˈaɪ̯	1.0
ˈaʊ̯_ɐ	ˈɔ_ʀ	1.0
ˈaɪ̯_n	ˈɛ_n	1.0
ʒ	j	1.0
ɪ	ɪ	1.0
ɡ_#>	k_#>	1.0
ə	ə	1.0
z̥_#>	z_#>	1.0
z	z	1.0
v̥	b	1.0
tʰ	ʦ	1.0
r	ʀ	1.0
p	-	1.0
n_d	n_t	1.0
l_ˈaʊ̯	ɫ_ˈʊ	1.0
l_ˈaɪ̯	ɫ_ˈɪ	1.0
l_d	ɫ_d	1.0
l	ɫ	1.0
kʰ	k	1.0
i	ɪ	1.0
h	h	1.0
b_m	f_n	1.0
aɪ̯	ˈaɪ̯_ʦ	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#	<#_ˈɪ	1.0
f	f	0.933
v	v	0.931
ʃ	ʃ	0.917
ˈa	ˈa	0.87
ˈuː	ˈɔɪ̯	0.846
ˈiː	ˈaɪ̯	0.833
n	n	0.833
ˈɪ	ˈɪ	0.769
m	m	0.769
ˈɛ	ˈɛ	0.75
t	t	0.727
ˈʊ	ˈʊ	0.714
b	b	0.682
ˈøː	-	0.667
ɐ	ə_ʀ	0.667
x	χ	0.667
ˈoː	ˈɔ	0.611
ˈaɪ̯	ˈɛɪ̯	0.562
ˈʏ	-	0.556
ˈeː	ˈɛ	0.556
ˈaʊ̯	ˈɔɪ̯	0.545
ɡ	ɡ	0.536
ˈœ	ˈɛ	0.5
ˈœ	ʀ	0.5
ŋ	ŋ	0.5
d	t	0.472
ˈʏ	ˈɪ	0.444
ˈɔ	ˈɔ	0.444
#>	t_#>	0.438
ˈaː	ˈa_ʀ	0.429
ˈɔʏ̯	ˈɪ	0.4
ɡ	χ	0.393
ç	ɡ	0.364
ç	k	0.364
s	ʃ	0.364
ŋ	ɡ_n	0.357
ˈɔ	ˈʊ	0.333
ˈøː	ˈʊ	0.333
ɐ	ʀ	0.333
x	ɡ	0.333
ˈaʊ̯	ˈʊ	0.318
ˈaɪ̯	ˈɪ	0.312
#>	ɡ_#>	0.312
ˈʊ	ˈɔ	0.286
ˈaː	ˈa	0.286
ˈaː	ʀ	0.286
ç	χ	0.273
t	-	0.273
s	s	0.273
d	d	0.264
ˈɛ	ˈɔ	0.25
b	f	0.227
ˈɔ	-	0.222
ˈeː	ˈɔ	0.222
ˈeː	-	0.222
ˈɔʏ̯	ˈʊ	0.2
ˈɔʏ̯	ˈɛ	0.2
ˈɔʏ̯	-	0.2
d	s	0.194
s	k_s	0.182
s	d	0.182
ˈoː	ˈa	0.167
ˈiː	-	0.167
ˈɪ	-	0.154
ˈuː	ˈʊ	0.154
m	b_n	0.154
ŋ	ŋ_ɡ	0.143
ˈaʊ̯	ˈa	0.136
ˈa	ˈɔ	0.13
ˈaɪ̯	ˈaɪ̯	0.125
#>	ʀ_#>	0.125
#>	z_#>	0.125
ˈoː	ˈɔɪ̯	0.111
ˈoː	-	0.111
b	p	0.091
ʃ	ʧ	0.083
ˈɪ	ˈɛɪ̯	0.077
m	ɛ_m	0.077
ɡ	k	0.071
v	b	0.069
n	n_d	0.067
f	ɫ_b	0.067
