Old English	Yiddish	probability
a	-	1.0
b	b	0.979
bː	b	1.0
d	t	0.828
d	d	0.128
e	ə	0.463
e	-	0.309
e	ˈɔɪ̯	0.227
eo̯	-	1.0
f	f	0.898
f	b	0.102
h	h	0.947
h	k	0.053
i	ɪ	0.604
i	-	0.396
iː	ə	1.0
iːy̯	-	1.0
j	ɡ	0.525
j	k	0.218
j	-	0.144
j	j	0.113
k	k	0.722
k	χ	0.217
kː	k	1.0
l	l	0.918
l	ʎ	0.062
lː	l	1.0
l̥	l	1.0
m	m	0.879
m	ə_m	0.061
m	ɛ_m	0.061
mː	m	1.0
n	n	0.952
nː	n	1.0
o	ə	0.725
o	-	0.126
o	ˈaɪ̯	0.119
p	f	1.0
pː	f	0.623
pː	p	0.377
r	ʀ	0.965
rː	ʀ	1.0
r̥	ʀ	1.0
s	z	0.62
s	ʃ	0.228
s	s	0.134
t	s	0.457
t	ʦ	0.27
t	t	0.262
tː	ʦ	1.0
v	b	0.743
v	p	0.114
v	f	0.082
v	v	0.06
w	v	0.778
w	-	0.184
x	χ	1.0
z	z	0.87
z	ʀ	0.13
ç	χ	0.888
ç	-	0.112
ð	d	1.0
ŋ	ŋ	0.813
ŋ	-	0.187
ɑ	-	0.697
ɑ	ə	0.273
ɡ	ɡ	1.0
ɣ	ɡ	0.796
ɣ	-	0.204
ɫ	l	0.924
ɫ	-	0.076
ʃ	ʃ	1.0
ʃː	ʃ	0.588
ʃː	ʧ	0.412
ʍ	v	1.0
ʤ	k	1.0
ʤː	ɡ	1.0
ʧ	χ	0.541
ʧ	k	0.459
ʧː	k	1.0
ˈe	ˈɛ	0.758
ˈe	-	0.205
ˈeo̯	ˈɛ	0.472
ˈeo̯	ˈa	0.432
ˈeo̯	ˈɪ	0.095
ˈeː	ˈɪ	0.701
ˈeː	ˈa	0.135
ˈeː	ˈʊ	0.082
ˈeː	ˈɔɪ̯	0.082
ˈeːo̯	ˈɪ	0.49
ˈeːo̯	ˈaɪ̯	0.274
ˈeːo̯	ˈɛ	0.127
ˈeːo̯	ˈʊ	0.061
ˈi	ˈɪ	0.803
ˈi	ˈɛ	0.091
ˈiy̯	ˈa	0.523
ˈiy̯	ˈɛ	0.346
ˈiy̯	ˈɪ	0.131
ˈiː	ˈaɪ̯	0.865
ˈiː	ˈɪ	0.135
ˈiːy̯	ˈɛ	0.533
ˈiːy̯	ˈaɪ̯	0.253
ˈiːy̯	ˈɛɪ̯	0.152
ˈiːy̯	ˈɔɪ̯	0.062
ˈo	ˈɔ	0.588
ˈo	ˈʊ	0.207
ˈo	ˈa	0.125
ˈoː	ˈʊ	0.689
ˈoː	ˈɔ	0.183
ˈoː	ˈa	0.128
ˈu	ˈʊ	0.766
ˈu	ˈɔ	0.095
ˈu	ˈɛ	0.08
ˈu	ˈɔɪ̯	0.059
ˈuː	ˈɔɪ̯	0.764
ˈuː	ˈʊ	0.236
ˈy	ˈɪ	0.411
ˈy	ˈɔ	0.355
ˈy	ˈɛ	0.234
ˈyː	ˈaɪ̯	0.335
ˈyː	ˈʊ	0.268
ˈyː	ˈɔɪ̯	0.199
ˈyː	ˈɪ	0.199
ˈæ	ˈɔ	0.596
ˈæ	ˈa	0.354
ˈæɑ̯	ˈa	0.902
ˈæɑ̯	ˈɔ	0.098
ˈæː	ˈɔ	0.761
ˈæː	ˈɛɪ̯	0.204
ˈæːɑ̯	ˈɔɪ̯	0.611
ˈæːɑ̯	ˈɔ	0.303
ˈæːɑ̯	ˈɛ	0.086
ˈɑ	ˈa	0.755
ˈɑ	ˈɔ	0.245
ˈɑː	ˈɛɪ̯	1.0
ˈɛ	ˈɛ	1.0
θ	d	0.762
θ	t	0.173
