Ladin	Brazilian Portuguese	probability
ŋ	-	1.0
ʥ	-	1.0
ʧ	s	1.0
e	ˈe_h	0.061
e	ɾ_i	0.101
f	f	0.861
j	ʎ	0.241
k	k_u	0.11
n	-	0.371
p	p_i	0.071
ʦ	ʧ	0.1
ˈo	ˈõ	0.21
ˈɔ	ˈɔ	0.241
ˈɛ	u	0.181
b	v	0.192
d	-	0.242
e	i	0.122
k	k	0.702
l	l	0.412
t	d	0.052
ɲ	j̃_u	0.32
ʒ	z	0.22
ʒ	ʒ	0.742
ˈɛ	ˈɐ̃	0.062
d	d	0.743
e	u	0.133
e	-	0.133
i	-	0.793
o	u	0.323
r	ɾ	0.403
w	ˈo_ɡ	0.203
ɲ	j̃	0.643
ˈe	ˈẽ	0.143
m	m	0.834
n	n	0.244
s	s	0.54
t	d_u	0.054
v	b	0.204
ʃ	ʃ	0.744
ʨ	s	0.234
ˈe	ˈi	0.084
ˈe	ˈe	0.334
ˈi	ˈĩ	0.534
ˈo	ˈɐ̃	0.304
ˈɔ	ˈo_j	0.084
a	-	0.055
e	a	0.085
e	ɐ	0.095
j	-	0.185
j	ˈe	0.325
l	l_u	0.135
t	ʧ_i	0.215
w	ˈo	0.175
ɡ	-	0.065
ɡ	ɡ	0.935
ʃ	j_ʃ	0.085
ʃ	-	0.145
ˈe	-	0.155
ˈu	u	0.075
ˈu	ˈu	0.755
l	-	0.246
r	h	0.226
w	j	0.116
ʨ	k	0.766
ˈe	ˈɛ	0.066
ˈo	ˈu	0.076
ˈɔ	ˈõ	0.346
a	a	0.17
i	ĩ	0.207
j	u	0.197
n	w̃	0.137
p	p	0.867
t	t	0.387
v	v	0.727
w	w	0.407
ˈa	ˈɐ̃	0.607
ˈu	ˈũ	0.17
ˈɛ	ˈẽ	0.087
b	b	0.808
k	ɡ_u	0.128
m	-	0.068
m	m_i	0.098
o	o	0.598
r	ɦ	0.18
s	ʃ	0.438
w	-	0.098
ˈi	ˈi	0.438
ˈɛ	j	0.08
ˈɛ	ˈa	0.188
ˈɛ	ˈɛ	0.308
a	ɐ	0.639
e	e	0.19
f	v	0.139
l	w	0.189
n	j̃	0.169
o	-	0.079
r	ɾ_u	0.069
r	-	0.109
t	t_u	0.259
v	p	0.069
ʦ	s_u	0.9
ˈa	ˈa	0.339
ˈe	ˈa_h	0.19
ˈo	ˈo	0.169
ˈo	ˈɔ	0.199
ˈɔ	ˈo	0.329
