West Flemish	West Flemish	probability
ˈɛː	ˈeː	1.0
ˈɒː	ˈaː	1.0
ˈɑ	ˈɑ	1.0
ˈæ	ˈɛ	1.0
ˈuə̯	ˈu	1.0
ˈoː	ˈoː	1.0
ˈi	ˈɛi̯	1.0
ˈeː	ˈeː	1.0
ʃ	s	1.0
ɾ_t	ɾ_t	1.0
ɪ	ɪ	1.0
ɦ̥	χ	1.0
ɦ_ɾ	χ_ɾ	1.0
ə_ɾ	ə_ɾ	1.0
ə_l	ə_ɫ	1.0
ə_#>	#>	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
ç	χ	1.0
z̥	z̥	1.0
z	z	1.0
v̥	v̥	1.0
v_ə	v̥	1.0
v	v	1.0
t	t	1.0
p	p	1.0
m	m	1.0
l	ɫ	1.0
k	k	1.0
iə̯	i	1.0
h	χ	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
<#_ˈɛː	<#_ˈɛi̯	1.0
<#_ˈɒː	<#_ɦ_ˈaː	1.0
<#_n	<#_n	1.0
<#	<#_ɦ	1.0
s	s	0.92
ʋ	ʋ	0.88
ˈɔ	ˈɔ	0.846
ˈyː	ˈœy̯	0.818
ɾ	ɾ	0.803
ˈɪ	ˈɪ	0.8
ˈøː	ˈoː	0.8
w	ɫ	0.8
ˈiə̯	ˈi	0.773
ə	ə	0.75
ɦ	χ	0.727
ˈɛ	ˈɪ	0.667
n	n	0.658
ˈu	ˈɑu̯	0.545
j	j	0.5
j	-	0.5
ˈu	ˈɔ	0.455
ˈœ	ˈʏ	0.444
n	ə_n	0.342
ˈɛ	ˈɛ	0.333
ˈœ	ˈɔ	0.333
ɦ	χ_ə	0.273
ə	-	0.25
ˈœ	-	0.222
ˈɪ	-	0.2
ˈøː	ˈøː	0.2
w	ɫ_ə	0.2
ˈyː	-	0.182
ɾ	ə_ɾ	0.164
ˈɔ	-	0.154
ˈiə̯	-	0.136
ʋ	-	0.12
ˈiə̯	ˈyː	0.091
s	-	0.08
