Brazilian Portuguese	Brazilian Portuguese	probability
ˈo_h	ˈo_ɾ	1.0
ˈo_d	ˈu_tː	1.0
ˈĩ_j̃	ˈi_n	1.0
ˈa_ʤ	ˈa	1.0
ˈa_d	ˈa_t	1.0
ʧ	t	1.0
ʎ_ɐ	ə	1.0
ʃ_u	sː_ə	1.0
ʃ_#>	#>	1.0
ɾ_u	ɾ_ə	1.0
ɦ_n	ɾ_n	1.0
ɦ_d	ɲ	1.0
ɦ	ɾ	1.0
ɐ̃	a	1.0
z	-	1.0
w_ɾ	ɾ	1.0
v_i	v_ə	1.0
ũ	v_e	1.0
p	p	1.0
m_ɐ	m_ə	1.0
k_ɐ	kː_ə	1.0
j_ʧ	tː	1.0
j_z	z	1.0
j_t	tː	1.0
i_#>	#>	1.0
ẽ_j̃	ə	1.0
e_ʃ	ʃ	1.0
d	t	1.0
a_ɾ	r	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʒ	<#_j	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_h	<#_r	1.0
<#_d	<#_d	1.0
k	k	0.974
ɐ	ə	0.948
f	f	0.947
u	ə	0.921
#>	ə_#>	0.906
ˈa	ˈa	0.897
ˈu	ˈu	0.889
v	v	0.852
ˈi	ˈi	0.824
l	lː	0.8
a	a	0.778
ˈõ	ˈɔ	0.75
i	ə	0.742
m	m	0.727
j̃	ɲː	0.727
t	t	0.714
ˈɐ̃	ˈa	0.682
ˈe_j	j_ˈɛ	0.667
ˈe_h	ə	0.667
w̃	n_ə	0.667
n	nː	0.667
ˈũ	ˈu	0.6
j_ʃ	ʃ_ə	0.571
<#	<#_w	0.571
ʒ	ʤ	0.545
ʎ	ʎː	0.545
ˈɛ	ˈɛ	0.529
ˈɔ	ˈɔ	0.5
ʤ	d	0.5
ʤ	-	0.5
ɾ	ɾ	0.5
e	-	0.5
s	s	0.487
w	w	0.471
h	ɾ	0.457
ʎ	kː_j	0.455
o	-	0.455
ˈe	ˈi	0.452
<#	<#_a	0.429
w	l	0.412
ˈũ	ˈo	0.4
ˈẽ	ˈɛ_n	0.364
o	u	0.364
ˈɛ	j_ˈɛ	0.353
ˈo	ˈɔ	0.353
ʃ	k_j	0.353
h	-	0.343
ˈĩ	ˈi_ŋ	0.333
ˈĩ	ˈi_n	0.333
ˈĩ	ˈi	0.333
ˈe_j	ˈe	0.333
ˈe_h	ˈɛ	0.333
ɡ	ɡ	0.333
ɡ	k	0.333
w̃	ə	0.333
n	n_w	0.333
b	p	0.316
e	i	0.312
s	ʃ	0.308
j	ə	0.3
j	n	0.3
ˈo	ˈu	0.294
ɾ	r	0.292
ˈe	ˈe	0.29
t	tː	0.286
j_ʃ	ə	0.286
ˈẽ	ˈi	0.273
ʒ	-	0.273
m	mː	0.273
j̃	n	0.273
ˈɔ	ˈo	0.25
ˈõ	ˈo_n	0.25
ʃ	s	0.235
a	ˈa	0.222
b	v	0.211
b	b	0.211
ɾ	-	0.208
l	l	0.2
j	j	0.2
j	-	0.2
e	e	0.188
ˈɐ̃	ˈa_n	0.182
ˈẽ	n	0.182
ˈẽ	-	0.182
ʒ	j	0.182
o	o	0.182
ˈo	w_ˈɔ	0.176
ˈi	-	0.176
ʃ	ʃ	0.176
ɡ	ˈɔ_k	0.167
ɡ	-	0.167
b	-	0.158
j_ʃ	ʧ	0.143
ˈɐ̃	n	0.136
ˈe	-	0.129
i	i	0.129
ˈɔ	ˈu_j	0.125
ˈɔ	ˈu	0.125
ˈɛ	-	0.118
ˈo	w	0.118
ʃ	ʃː	0.118
ʃ	ə	0.118
w	ə	0.118
ˈu	-	0.111
b	b_w	0.105
ˈa	l_ˈa	0.103
#>	l_ə_#>	0.094
h	ə_ɾ	0.086
s	ʦː	0.077
s	ʃː	0.077
v	v_ə	0.074
v	-	0.074
ˈe	ˈɛ	0.065
ˈe	j_ˈɛ	0.065
i	e	0.065
i	-	0.065
ˈo	ˈo	0.059
h	rː	0.057
h	r	0.057
f	fː	0.053
ɐ	n_ə	0.052
s	ʦ	0.051
