Franco-Provençal	Franco-Provençal	probability
ˈɛ_t	ˈe_k	1.0
ˈɑː	ˈa	1.0
ˈy	ˈo_b	1.0
ˈĩ	ˈĩ	1.0
ˈi_ð	ˈe_ɾ	1.0
ˈe_ʁ	ˈɛ_h	1.0
ˈaː	ˈa	1.0
ˈa_n_a_#>	ˈɐ̃_#>	1.0
ʦ	s_u	1.0
ʎ	ʎ	1.0
ʃ_ə	k_a	1.0
ʃ_j	k	1.0
ʃ_#>	ʃ_#>	1.0
ʁ_ə	h	1.0
ʁ_w	ɾ_ˈu	1.0
ʁ_o	ɾ_i	1.0
ʁ_a	ɾ_ɐ	1.0
ʁ_#>	#>	1.0
ɲ	j̃	1.0
ɡ	ɡ	1.0
ɛ̃	ẽ	1.0
ɛ	e	1.0
ə_#>	#>	1.0
ɔ̃	õ	1.0
ɑ̃	ɐ̃	1.0
ɑː	a_ʃ	1.0
y	k_e	1.0
w_ˈe	ˈo	1.0
v_ˈe	b_ˈe	1.0
u	-	1.0
t_#>	ʧ_i_#>	1.0
s_ə	ʃ_ɐ	1.0
p	p	1.0
n_a	ɐ	1.0
m	m	1.0
j_ˈe	ˈɛ	1.0
i	ɐ	1.0
f_l	ʃ	1.0
<#_ˈɑː	<#_ˈa	1.0
<#_ʒ	<#	1.0
<#_ʁ	<#_h	1.0
<#_ɡ	<#_ɡ	1.0
<#_ð	<#_ʒ	1.0
<#_t	<#_t	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
<#_a	<#_a	1.0
<#	<#_ˈo	1.0
k	k	0.905
f	f	0.905
s	s	0.897
t	t	0.882
v	v	0.828
ˈɑ̃	ˈɐ̃	0.818
ʃ	k	0.812
ˈo	ˈo	0.778
ˈɔ	ˈo	0.714
j	-	0.714
a	ɐ	0.714
ə	ɐ	0.667
z	z	0.667
b	v	0.667
ˈɛ̃	ˈẽ	0.583
o	u	0.55
#>	u_#>	0.539
ˈɔ̃	ˈõ	0.5
ˈi	ˈi	0.5
ɔ	o	0.5
ɔ	-	0.5
n	-	0.5
ˈu	ˈu	0.462
ˈø	u	0.444
ˈa	ˈa	0.444
l	l	0.429
ˈɛː	ˈe	0.407
w	ˈo	0.407
ˈi	ˈe	0.4
e	e_ʃ	0.4
ˈɛ	ˈɛ	0.375
ˈoː	ˈɔ	0.353
ð	ɾ	0.353
ð	h	0.353
ˈø	ˈo	0.333
ʁ	ɾ	0.333
z	-	0.333
d	ʤ	0.333
d	d	0.333
d	-	0.333
b	b	0.333
l	-	0.321
ˈɛ	-	0.312
ˈɔ	-	0.286
ʁ	h	0.271
ˈa	ˈa_h	0.259
ˈɛ̃	j̃_u	0.25
ˈɔ̃	ˈɐ̃_w̃	0.25
ˈɔ̃	ˈũ	0.25
ˈe	ˈa	0.25
o	o	0.25
n	n	0.25
n	j̃	0.25
ˈoː	ˈo	0.235
ˈu	-	0.231
ˈø	ˈɔ	0.222
ˈo	ˈɔ_j	0.222
ʁ	ɦ	0.208
e	e_s	0.2
e	e	0.2
e	-	0.2
ˈe	j	0.194
j	ˈe	0.19
a	a	0.19
ˈɛ	ˈe	0.188
ʃ	-	0.188
ˈɛː	-	0.185
w	ˈɔ	0.185
w	-	0.185
ˈɑ̃	ˈɐ̃_t	0.182
l	w	0.179
ˈoː	ˈa_w	0.176
ð	-	0.176
#>	i_#>	0.176
v	b	0.172
ˈɛ̃	ˈĩ	0.167
ˈu	ˈɔ_l	0.154
ˈu	ˈɔ	0.154
ˈa	ˈɐ̃	0.148
ə	e	0.143
ˈe	ˈɛ	0.139
ˈɛ	ˈẽ	0.125
ʁ	-	0.125
ˈoː	w	0.118
ˈoː	-	0.118
ð	ʒ	0.118
t	-	0.118
ˈɛː	ˈe_j	0.111
ˈe	u	0.111
w	ˈũ	0.111
w	w	0.111
ˈi	-	0.1
o	ẽ_j̃	0.1
o	-	0.1
ə	i	0.095
ə	-	0.095
k	ɡ	0.095
j	ˈi	0.095
f	v_i	0.095
#>	ʃ_#>	0.088
ˈe	ˈĩ	0.083
ˈe	ˈi	0.083
ˈe	ˈe	0.083
#>	h_#>	0.078
ˈɛː	ˈɛ	0.074
ˈɛː	ˈi	0.074
ˈɛː	ˈa	0.074
ˈɛː	j	0.074
ˈa	ɡ_u	0.074
ˈa	-	0.074
l	ʃ	0.071
ʁ	h_ʧ	0.062
ˈe	ˈɛ_ʃ	0.056
s	ʃ	0.051
s	-	0.051
