Lengadocian	Lengadocian	probability
ˈɛ_ʧ	j_u	1.0
ˈɛ_n	ˈẽ	1.0
ˈɛ_l	ʎ_u	1.0
ˈɔ_k	ɡ	1.0
ˈu_#>	ˈɐ̃_w̃_#>	1.0
ˈi_ɔ	ˈi_ɐ	1.0
ˈi_n	ˈĩ_j̃	1.0
ˈe_l	ˈe_l	1.0
ˈe_j	ˈe	1.0
ˈa_j	a	1.0
ˈa_#>	ˈa_h_#>	1.0
ʧ	t_u	1.0
ʎ	ʎ	1.0
ʀ_t	h_ʧ	1.0
ʀ_s	s	1.0
ʀ_#>	ɾ_u_#>	1.0
ɾ_ˈa	ɾ_ˈɐ̃	1.0
ɲ_#>	j̃_u_#>	1.0
ɲ	j̃	1.0
ɣ	ɡ	1.0
ɔ	ɐ	1.0
ŋ_k	k_u	1.0
ŋ	-	1.0
ð	d	1.0
w_#>	v_i_#>	1.0
t_#>	d_u_#>	1.0
p_l	ʃ	1.0
nː	m_e	1.0
n_ɔ_#>	#>	1.0
mː	m	1.0
m_#>	m_i_#>	1.0
l_ˈu	ˈo_h	1.0
k_u	k	1.0
k_l	ʃ	1.0
j_ˈɛ	ˈe	1.0
j_ˈe	ˈe	1.0
j_#>	j_#>	1.0
i_#>	u_#>	1.0
i	-	1.0
e_m	ũ	1.0
e_#>	#>	1.0
d_ɾ	h	1.0
d	ʤ	1.0
<#_ʀ	<#_h	1.0
<#_ɡ	<#_ɡ	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_e	<#_e	1.0
<#_d	<#_d	1.0
<#_a	<#	1.0
p	p	0.939
m	m	0.935
f	f	0.913
k	k	0.865
a	a	0.84
ɾ	ɾ	0.816
ʤ	ʒ	0.778
l_#>	w_#>	0.778
ɥ	ˈo	0.75
u	o	0.75
ˈe	ˈe	0.724
<#_ˈa	<#_ˈa	0.714
t	t	0.704
ʦ	j_ʃ	0.667
n	n	0.655
l	l	0.647
z	z	0.625
s	s	0.608
ˈi	ˈi	0.606
ˈu_n	ˈo	0.6
ɾ_e	ˈe_h	0.6
ˈy	ˈu	0.579
ˈɛ	ˈɛ	0.568
n_#>	t_u_#>	0.556
ˈa	ˈa	0.545
b	v	0.541
β	v	0.5
β	b	0.5
ˈɔ	ˈɔ	0.478
ʀ	h	0.474
#>	u_#>	0.467
n_#>	ʧ_i_#>	0.444
ˈy	ˈũ	0.421
w	w	0.409
b	b	0.405
ˈu_n	ˈõ	0.4
ɾ_e	h	0.4
ˈɔ	ˈo	0.391
ˈu	ˈo	0.387
z	-	0.375
j	-	0.375
ʀ	ɦ	0.368
ˈa	ˈɐ̃	0.345
s	ʃ	0.338
ʦ	s_u	0.333
e	e	0.317
j	ˈe	0.312
j	j	0.312
<#_ˈa	<#_ˈo	0.286
n	-	0.276
e	i	0.268
ˈu	ˈɔ	0.258
ɥ	-	0.25
u	-	0.25
ʤ	-	0.222
l_#>	#>	0.222
ˈu	ˈõ	0.194
ɾ	-	0.184
#>	i_#>	0.183
ˈe	-	0.172
e	u	0.171
ˈɛ	ˈẽ	0.162
ˈu	ˈu	0.161
a	-	0.16
ʀ	ɦ_n	0.158
ˈi	ˈĩ	0.152
t	ʤ_i	0.148
l	-	0.137
w	v	0.136
w	j	0.136
w	-	0.136
#>	w̃_#>	0.133
ˈɔ	ˈõ	0.13
#>	h_#>	0.117
ˈɛ	j	0.108
ˈɛ	-	0.108
ˈe	ˈẽ	0.103
w	v_u	0.091
w	u	0.091
f	-	0.087
l	ʎ_u	0.078
k	ɡ_u	0.077
t	ʧ	0.074
t	d	0.074
ˈa	ˈo	0.073
e	ˈe_h	0.073
e	ˈe	0.073
n	j̃	0.069
#>	ɾ_u_#>	0.067
m	-	0.065
ˈi	ˈĩ_j̃	0.061
ˈi	ˈe_h	0.061
ˈi	j̃	0.061
ˈi	-	0.061
p	-	0.061
l	u	0.059
k	ɡ	0.058
ˈɛ	ˈe	0.054
s	j_ʃ	0.054
b	-	0.054
