Yiddish	American English	probability
b	b	0.78
b	v	0.133
b	f	0.081
b_n	v	1.0
d	d	0.359
d	θ	0.331
d	ð	0.212
d	-	0.085
f	f	0.714
f	p	0.169
f	v	0.069
f_n	p	0.49
h	h	1.0
j	j	1.0
k	k	0.394
k	kʰ	0.183
k	-	0.125
k	ʤ	0.108
k	ʧ	0.108
k	h	0.059
l	l	0.488
l	ɫ	0.456
m	m	0.957
n	n	0.579
n	-	0.38
p	-	0.392
p	d	0.221
p	p	0.221
s	t	0.533
s	s	0.316
s	ɾ	0.134
s_n	t	1.0
t	d	0.729
t	t	0.161
t	ð	0.057
v	w	0.931
v	-	0.056
z	s	0.802
z	z	0.152
ŋ	ŋ	0.895
ŋ	-	0.095
ə	ɚ	0.582
ə	-	0.379
ɛ	-	0.715
ɛ	ɪ	0.28
ɡ	-	0.472
ɡ	ɡ	0.407
ɡ	ŋ	0.061
ɡ	j	0.05
ɡ_l	ɫ	0.118
ɪ	-	1.0
ɪ_k	i	1.0
ʀ	ɹ	0.563
ʀ	-	0.363
ʀ	ɚ	0.07
ʁ	-	0.323
ʁ	ɹ	0.323
ʃ	s	0.563
ʃ	ʃ	0.432
ʃ_v	s	1.0
ʎ	ɫ	1.0
ʦ	tʰ	0.566
ʦ	t	0.427
ʧ	ʃ	0.49
ˈa	ˈæ	0.289
ˈa	ˈeɪ̯	0.222
ˈa	ˈɑ	0.189
ˈa	ˈɔ	0.079
ˈa	ˈoʊ̯	0.063
ˈaɪ̯	ˈaɪ̯	0.692
ˈaɪ̯	ˈi	0.134
ˈaɪ̯	ˈu	0.077
ˈaɪ̯	ˈɪ	0.062
ˈi	ˈoʊ̯	0.49
ˈɔ	ˈɑ	0.188
ˈɔ	ˈi	0.157
ˈɔ	ˈɛ	0.137
ˈɔ	ˈoʊ̯	0.112
ˈɔ	ˈʌ	0.088
ˈɔ	ˈʊ	0.078
ˈɔ	ˈæ	0.059
ˈɔ	ˈeɪ̯	0.051
ˈɔ	ˈu	0.051
ˈɔ_ɡ	ˈeɪ̯	1.0
ˈɔ_ʀ	ˈɝ	1.0
ˈɔɪ̯	ˈaʊ̯	0.282
ˈɔɪ̯	ˈi	0.255
ˈɔɪ̯	ˈɛ	0.241
ˈɔɪ̯	ˈaɪ̯	0.141
ˈɔɪ̯	ˈeɪ̯	0.052
ˈɛ	ˈɛ	0.377
ˈɛ	ˈi	0.196
ˈɛ	ˈɪ	0.179
ˈɛ	ˈaɪ̯	0.053
ˈɛ	ˈɑ	0.053
ˈɛ	ˈɝ	0.053
ˈɛ_ɡ	ˈeɪ̯	1.0
ˈɛɪ̯	ˈoʊ̯	0.48
ˈɛɪ̯	ˈi	0.136
ˈɛɪ̯	ˈu	0.136
ˈɛɪ̯	ˈɑ	0.096
ˈɛɪ̯	ˈɛ	0.071
ˈɛɪ̯	ˈʌ	0.053
ˈɪ	ˈɪ	0.434
ˈɪ	ˈi	0.285
ˈɪ	ˈaɪ̯	0.187
ˈɪ	ˈɛ	0.057
ˈɪ_χ	ˈaɪ̯	0.118
ˈʊ	ˈʌ	0.414
ˈʊ	ˈʊ	0.196
ˈʊ	ˈu	0.104
ˈʊ	ˈaʊ̯	0.097
ˈʊ	ˈɑ	0.052
χ	-	0.388
χ	k	0.388
χ	ʧ	0.11
χ	f	0.077
χ_t	t	1.0
