Yiddish	Bokmål Norwegian	probability
χ_t	tː	1.0
ˈʊ_t	ˈuː	1.0
ˈɛ_ɡ	ˈæɪ̯	1.0
ˈɔɪ̯_t	ˈøː	1.0
ˈaɪ̯_ə	ˈyː	1.0
ˈaɪ̯_t	ˈiː	1.0
ʧ	s_k	1.0
ʀ_ˈaɪ̯	ɾ_ˈɛ	1.0
ʀ_ʦ	ʈː	1.0
ʀ_ɛ	ɾ	1.0
ɫ_d	lː	1.0
ɫ_b	lː	1.0
ɪ	ɪ	1.0
ɡ_ə	ə	1.0
ə_m	m	1.0
ŋ_ɡ	ŋː	1.0
ŋ_k	kː	1.0
ŋ	ŋː	1.0
z_ˈɔɪ̯	s_ˈʉː	1.0
z	s	1.0
v_ˈɔ	ˈʉ	1.0
s_t	s_t	1.0
s_n	t_ə	1.0
p	p	1.0
n_t	nː	1.0
n_d	nː	1.0
j	-	1.0
f_n	p_ə	1.0
b_ə	ʋ_ə	1.0
a	ə	1.0
ə	ə	0.958
v	ʋ	0.898
ʀ	ɾ	0.828
d	-	0.808
ɫ	l	0.804
h	h	0.801
f	f	0.719
m	m	0.716
ˈa	ˈɑ	0.705
ə_ʀ	ɾ	0.701
ˈaɪ̯	ˈiː	0.659
χ	k	0.635
ɡ_n	ə	0.624
b	b	0.624
ʦ	tʰ	0.517
ʃ	s	0.515
ʦ	tː	0.483
ɡ	ɡ	0.472
ˈɔɪ̯	ˈʉː	0.46
k	kʰ	0.448
ˈʊ	ˈʉ	0.443
n	n	0.43
k	-	0.429
t	-	0.425
s	t	0.388
ˈɪ	ˈɪ	0.376
ɡ_n	ɡ_ə	0.376
s	-	0.37
ˈɛ	ˈɛ	0.351
ˈɛɪ̯	ˈæɪ̯	0.347
ʃ	ʂ	0.302
ə_ʀ	ɾ_ə	0.299
t	t	0.291
ˈɔ	ˈoː	0.287
ˈɛ	-	0.268
χ	-	0.257
ˈɛɪ̯	ˈɛ	0.254
ˈɛɪ̯	-	0.254
n	nː	0.242
s	tː	0.241
ɡ	-	0.227
ˈɔɪ̯	ˈœ	0.215
ˈʊ	ˈuː	0.211
ɡ	ə	0.209
ˈʊ	ˈɔ	0.208
h	j	0.199
ɫ	lː	0.196
b	-	0.196
n	ə	0.192
d	d	0.192
m	mː	0.191
ˈɔ	ˈɑ	0.189
ˈɛ	j	0.188
ʃ	s_k	0.183
ˈaɪ̯	ˈyː	0.182
b	ʋ	0.18
ˈɔɪ̯	ˈøː	0.177
ˈaɪ̯	-	0.159
ˈɛɪ̯	ˈeː	0.145
f	p	0.144
ˈɪ	ˈiː	0.143
ˈɔ	ˈuː	0.142
n	-	0.135
ˈɛ	ˈeː	0.126
t	d	0.125
k	ç	0.123
ˈɪ	ˈyː	0.113
ˈɪ	ˈœ	0.112
ˈɪ	-	0.109
ˈɔ	ˈɑː	0.109
ˈɔ	-	0.109
χ	j	0.108
ˈa	ˈɔ	0.108
ʀ	ɳ	0.104
f	ʋ	0.103
v	-	0.102
ˈɪ	ˈʏ	0.098
t	s	0.093
m	-	0.093
ˈɔɪ̯	ˈɔ	0.092
ˈɔ	ˈʊ	0.092
ɡ	j	0.092
ˈʊ	ˈœ	0.082
ˈɔ	ˈœ	0.072
ʀ	ə	0.069
ˈɛ	ˈæː	0.067
t	tʰ	0.066
ˈa	ˈɑː	0.065
ˈa	ˈoː	0.063
ˈa	ˈɛ	0.059
ˈʊ	-	0.055
ˈɔɪ̯	ˈœʏ̯	0.055
