Brazilian Portuguese	Brazilian Portuguese	probability
ˈũ	ˈu	1.0
ˈo_h	ˈɔ_l	1.0
ˈo_d	ˈu_tː	1.0
ˈĩ_j̃	ˈi_n	1.0
ˈe_w	ˈe_u	1.0
ˈe_j	ˈɛ	1.0
ˈe_h_#>	ˈi_#>	1.0
ˈa_h_#>	ˈa_#>	1.0
ʤ_i	i	1.0
ʤ	d	1.0
ʃ_t	s_t	1.0
ɾ_u	u	1.0
ɾ_i	r_u	1.0
ɦ_n	rː	1.0
ɡ_u	k_u	1.0
ɐ_#>	#>	1.0
v_u	u	1.0
v_o	b_u	1.0
v_i	i	1.0
ũ	-	1.0
u_#>	#>	1.0
p_ˈe	p_ˈɛ	1.0
p	p	1.0
õ	-	1.0
o	u	1.0
m_i	m_u	1.0
j_ʧ	tː	1.0
j_ʃ	ʧ_i	1.0
j_ɐ	n_a	1.0
j_t	tː	1.0
ĩ	-	1.0
h_ʧ	l_t	1.0
e_ʃ	s	1.0
d_ɐ	t_a	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_o	<#_a	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#	1.0
<#	<#_a	1.0
u	u	0.958
f	f	0.952
k	k	0.929
ˈa	ˈa	0.92
l	ɖː	0.875
ɐ	a	0.868
a	a	0.857
ɾ	r	0.853
m	m	0.846
ˈu	ˈu	0.833
<#_h	<#_r	0.778
v	v	0.773
ˈɔ	ˈɔ	0.765
ˈi	ˈi	0.75
ʃ_#>	#>	0.75
ɦ	l	0.75
i	i	0.75
t	t	0.737
ˈẽ	ˈɛ	0.727
ˈĩ	ˈi	0.714
ɡ	ɡ	0.684
ʧ	n_t	0.667
ɐ̃	-	0.667
z	-	0.667
h_#>	#>	0.667
d	t	0.667
b	b	0.652
e	i	0.647
j̃	ɲː	0.636
ˈo	ˈɔ	0.63
ʒ	ɟ	0.625
j	j	0.615
ˈɐ̃	ˈa	0.609
ʎ	cː	0.556
w̃	n_u	0.5
n	n	0.5
n	-	0.5
s	s	0.474
h	r_i	0.455
#>	u_#>	0.4
ˈɛ	ˈɛ	0.381
ˈɛ	ˈe	0.381
ʒ	-	0.375
e	-	0.353
ˈe	ˈe	0.345
ʧ	t	0.333
ɐ̃	ɔ	0.333
z	z	0.333
h_#>	ˈe_#>	0.333
d	d	0.333
#>	a_#>	0.333
w̃	i	0.3
ˈĩ	ˈi_n	0.286
w	l	0.278
ˈe	ˈɛ	0.276
ˈẽ	ˈɛ_n	0.273
#>	i_#>	0.267
t	tː	0.263
ˈo	ˈu	0.259
ˈõ	ˈɔ_n	0.25
ˈõ	ˈɔ	0.25
ʃ_#>	i_#>	0.25
ɦ	-	0.25
ˈe	ˈi	0.241
s	ʧ	0.237
j	-	0.231
ʎ	ɖː	0.222
ʎ	-	0.222
w	i	0.222
w	-	0.222
<#_h	<#	0.222
ɡ	k	0.211
w̃	n_i	0.2
j̃	u	0.182
j̃	-	0.182
h	r	0.182
h	l	0.182
h	-	0.182
i	u	0.179
ˈɐ̃	ˈa_n	0.174
b	p	0.174
ˈu	-	0.167
ˈõ	ˈu_n	0.167
ˈõ	ˈu	0.167
ˈõ	ˈo	0.167
ʃ	ʃː	0.167
ʃ	s	0.167
ʃ	p_j	0.167
ʃ	f_j	0.167
ʃ	c	0.167
ʃ	-	0.167
w	ˈa	0.167
m	mː	0.154
j	ɟː	0.154
ˈi	-	0.15
ɾ	-	0.147
ˈɛ	-	0.143
a	ˈa	0.143
v	b	0.136
ˈɐ̃	n	0.13
l	l	0.125
ˈɔ	ˈɔ_d	0.118
ˈɔ	-	0.118
ˈo	ˈo	0.111
w	l_u	0.111
ɡ	ŋ_ɡ	0.105
s	sː	0.105
ˈi	ˈi_ɖː	0.1
ˈɛ	ˈi	0.095
v	-	0.091
ˈɐ̃	ˈa_ŋ	0.087
b	pː	0.087
b	p_a	0.087
ˈa	l	0.08
s	ʦ	0.079
ɐ	u	0.075
k	-	0.071
i	-	0.071
ˈe	ˈa	0.069
ˈe	i_d	0.069
ɐ	n_a	0.057
s	ʦː	0.053
s	-	0.053
