Scots	Yiddish	probability
b	b	1.0
d	t	0.754
d	d	0.199
d	n	0.041
e	n	0.488
e	-	0.336
f	f	0.921
f	b	0.073
h	h	1.0
i	ɪ	0.521
j	j	0.26
j	ɡ	0.182
j	ˈaɪ̯	0.182
j	-	0.125
k	k	0.674
k	χ	0.322
kʰ	k	0.725
kʰ	f	0.268
l	l	0.863
l	ɡ_l	0.063
l	ʎ	0.038
l	l_ɡ	0.038
m	m	0.949
m	m_ɛ	0.057
n	n	0.922
n	-	0.058
p	f	0.686
p	f_n	0.25
p	p	0.063
pʰ	f	1.0
r	ʀ	0.928
r	ʀ_ɛ	0.04
s	z	0.462
s	ʃ	0.303
s	s	0.115
s	d_z	0.061
t	t	0.439
t	s	0.393
t	ʦ	0.164
tʰ	ʦ	0.894
tʰ	t	0.093
v	b	0.701
v	f	0.217
w	v	0.883
w	-	0.06
w	ʀ	0.058
x	χ	1.0
z	z	0.629
z	n	0.361
ð	d	0.482
ð	t	0.44
ŋ	ŋ	0.905
ŋ	ɡ	0.087
ə	ə	0.658
ə	-	0.292
ə	ˈɛ	0.055
əi̯	-	0.341
əi̯	ɪ	0.31
əi̯	ə	0.144
ɡ	ɡ	0.792
ɡ	k	0.183
ɡ	-	0.046
ɪ	-	0.574
ɪ	ə	0.299
ɫ	l	1.0
ɹ	ˈaɪ̯	1.0
ʃ	ʃ	1.0
ʍ	v	1.0
ʧ	χ	0.574
ʧ	k	0.299
ˈa	ˈɛ	1.0
ˈaːɪ̯	ˈɔɪ̯	0.395
ˈaːɪ̯	ˈɪ	0.107
ˈe	ˈɛɪ̯	0.3
ˈe	ˈɔ	0.283
ˈe	ˈa	0.175
ˈe	ˈɔɪ̯	0.091
ˈe	ˈɛ	0.07
ˈei̯	ˈɔɪ̯	0.473
ˈei̯	ˈɛ	0.202
ˈei̯	ˈɔ	0.069
ˈei̯	ˈa	0.069
ˈei̯	ˈɪ	0.069
ˈeː	ˈɔ_ɡ	0.822
ˈeː	ˈɔ	0.125
ˈi	ˈɪ	0.683
ˈi	ˈɔɪ̯	0.235
ˈiː	ˈɪ	0.457
ˈiː	ˈɔ	0.14
ˈiː	ˈɔɪ̯	0.106
ˈiː	ˈɛ	0.093
ˈiː	ˈaɪ̯	0.08
ˈø	ˈʊ	0.707
ˈø	ˈa	0.162
ˈø	ˈɔ	0.12
ˈɑ	ˈa	0.627
ˈɑ	ˈɔ	0.132
ˈɑ	ˈɛ	0.132
ˈɑ	ˈɛɪ̯	0.102
ˈɑː	ˈa	0.655
ˈɑː	ˈɛɪ̯	0.186
ˈɑː	ˈa_l	0.124
ˈɔ	ˈɔ	0.724
ˈɔ	ˈʊ	0.268
ˈəi̯	ˈaɪ̯	0.817
ˈəi̯	ˈɪ	0.133
ˈəi̯	ˈɛ	0.06
ˈɛ	ˈɛ	0.394
ˈɛ	ˈa	0.241
ˈɛ	ˈɔ	0.172
ˈɛ	ˈɪ	0.111
ˈɛ	ˈaɪ̯	0.056
ˈɪ	ˈɪ	0.54
ˈɪ	ˈɛ	0.133
ˈɪ	ˈʊ	0.091
ˈɪ	ˈa	0.091
ˈɪ	ˈɔ	0.072
ˈʉ	ˈɔɪ̯	0.539
ˈʉ	ˈʊ	0.383
ˈʉ	-	0.076
ˈʌ	ˈʊ	0.631
ˈʌ	ˈɔ	0.137
ˈʌ	ˈa	0.082
ˈʌʉ̯	ˈɔ_l	0.488
ˈʌʉ̯	ˈɪ	0.28
ˈʌʉ̯	ˈi	0.182
θ	d	0.534
θ	-	0.234
θ	t	0.203
