Scots	Yiddish	probability
b	b	1.0
d	t	0.747
d	d	0.2
e	ɪ	1.0
f	f	0.913
f	l_b	0.068
h	h	0.95
i	ɪ	0.879
i	-	0.121
j	ˈaɪ̯	0.275
j	j	0.231
j	ˈɛ	0.207
j	ɡ	0.178
j	-	0.109
k	χ	0.544
k	k	0.415
kʰ	k	0.891
kʰ	-	0.109
l	l	0.96
m	m	0.958
n	n	0.948
p	f	0.935
p	p	0.065
pʰ	f	1.0
r	ʀ	0.957
s	z	0.525
s	ʃ	0.283
s	s	0.119
t	s	0.541
t	t	0.282
t	ʦ	0.177
tʰ	ʦ	0.523
tʰ	t	0.297
tʰ	b	0.18
v	b	0.711
v	f	0.289
w	v	0.857
w	-	0.084
w	ʀ	0.059
x	χ	1.0
z	z	0.782
z	n	0.218
ç	χ	1.0
ð	d	0.687
ð	t	0.313
ŋ	ŋ	0.86
ŋ	ɪ	0.14
ə	ə	0.724
ə	-	0.266
ɛ	ə	1.0
ɡ	ɡ	0.856
ɡ	k	0.072
ɡ	-	0.072
ɪ	ə	1.0
ʃ	ʃ	1.0
ʍ	v	1.0
ʤ	k	1.0
ʧ	k	0.792
ʧ	χ	0.208
ˈa	ˈa	0.798
ˈa	ˈɛ	0.157
ˈaɪ̯	ˈaɪ̯	0.37
ˈaɪ̯	ˈʊ	0.315
ˈaɪ̯	ˈɪ	0.314
ˈaː	ˈɪ	1.0
ˈaːɪ̯	ˈɪ	1.0
ˈe	ˈɛɪ̯	0.553
ˈe	ˈa	0.166
ˈe	ˈɔ	0.14
ˈe	ˈɔɪ̯	0.094
ˈeː	ˈɔ	0.546
ˈeː	ˈa	0.252
ˈeː	ˈɛɪ̯	0.052
ˈi	ˈɔɪ̯	0.265
ˈi	ˈɪ	0.241
ˈi	ˈɛ	0.144
ˈi	ˈɔ	0.142
ˈi	ˈʊ	0.078
ˈi	ˈɛɪ̯	0.07
ˈi	ˈaɪ̯	0.06
ˈiː	ˈɪ	0.273
ˈiː	ˈɛ	0.256
ˈiː	ˈɔɪ̯	0.246
ˈiː	ˈaɪ̯	0.149
ˈiː	ˈɔ	0.076
ˈo	ˈɔ	0.726
ˈo	ˈa	0.239
ˈoː	ˈʊ	0.664
ˈoː	ˈɔ	0.336
ˈu	ˈɔɪ̯	0.629
ˈu	ˈɪ	0.163
ˈu	ˈʊ	0.163
ˈuː	ˈʊ	0.432
ˈuː	ˈɔɪ̯	0.281
ˈuː	-	0.271
ˈø	ˈʊ	0.752
ˈø	ˈa	0.086
ˈø	ˈɪ	0.083
ˈø	ˈɔ	0.065
ˈøː	ˈʊ	1.0
ˈɑː	ˈa	0.927
ˈɑː	ˈɛɪ̯	0.073
ˈəi̯	ˈaɪ̯	0.9
ˈəi̯	ˈɔɪ̯	0.063
ˈɛ	ˈɛ	0.464
ˈɛ	ˈa	0.179
ˈɛ	ˈɛɪ̯	0.173
ˈɛ	ˈɪ	0.066
ˈɛ	ˈɔ	0.066
ˈɛ	ˈɔɪ̯	0.053
ˈɛː	ˈɛ	1.0
ˈɪ	ˈɪ	0.538
ˈɪ	ˈʊ	0.141
ˈɪ	ˈɔ	0.104
ˈɪ	ˈa	0.067
ˈɪ	-	0.058
ˈɪ	ˈɛ	0.054
ˈʌ	ˈʊ	0.685
ˈʌ	ˈɛ	0.113
ˈʌ	ˈɔ	0.107
ˈʌ	ˈɔɪ̯	0.064
ˈʌu̯	ˈɪ	0.66
ˈʌu̯	ˈɔ	0.34
θ	d	0.622
θ	t	0.29
θ	-	0.065
