West Flemish	North Frisian	probability
ˈɪ_ŋ	ˈai̯_ŋ	1.0
ˈɛː_n_#>	ˈiː_nʲ_#>	1.0
ˈɛː	ˈiː	1.0
ˈɛ	ˈa	1.0
ˈɔ_ɾ	ˈɔ_r	1.0
ˈɔ	ˈɔː	1.0
ˈɒː_t	ˈɒː_d	1.0
ˈɑ_s	ˈɒː_s	1.0
ˈɑ_n	ˈœ_nʲ	1.0
ˈøː	ˈaː	1.0
ˈæ_ɾ	r	1.0
ˈu_ŋ	ˈʊ_ŋ	1.0
ˈu_d̥_#>	ˈœ_lʲ_#>	1.0
ˈoː_ɾ	ˈɔ_r	1.0
ˈoː_v	ˈɔu̯	1.0
ˈoː_d̥	ˈyː_dʲ	1.0
ˈiə̯_#>	ˈiː_#>	1.0
ˈi	ˈi	1.0
ˈeː_v	v_ə	1.0
ʃ_h	ʃ	1.0
ɾ_#>	r_#>	1.0
ɦ̥_#>	j_#>	1.0
ɦ̥	-	1.0
ə_ɾ	ə_r	1.0
ə_#>	#>	1.0
ə	ə	1.0
ŋ_#>	ŋ_#>	1.0
v_ə_#>	v_#>	1.0
v	v_ə	1.0
t_#>	t_#>	1.0
s_t	s_t	1.0
p_#>	p_#>	1.0
p	p	1.0
n_ə_#>	n_#>	1.0
n_d	n_ə	1.0
n	n	1.0
m_ə	m_ə	1.0
m_#>	m_#>	1.0
l_#>	l_#>	1.0
l	l	1.0
k_#>	k_#>	1.0
k	k	1.0
h	x	1.0
d	d	1.0
<#_ˈɛː	<#	1.0
<#_ˈɔ	<#	1.0
<#_ˈɑ	<#	1.0
<#_ɾ	<#_r	1.0
<#_ɦ	<#_ɡ	1.0
<#_z	<#_s	1.0
<#_v	<#_f	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#	1.0
<#_b	<#_b	1.0
<#	<#_h	1.0
ɾ	r	0.893
<#_ʋ	<#_v	0.857
ˈiə̯	ˈiː	0.846
ʋ	v	0.75
t	t	0.706
ˈœ	ˈʊ	0.667
ˈyː	ˈyː	0.625
ˈoː	ˈuː	0.615
s_#>	s_#>	0.615
ˈɪ	ˈi	0.6
v̥_#>	f_#>	0.571
<#_d	<#_d	0.545
ˈuə̯	ˈœ	0.5
ɦ	j	0.5
ŋ	ŋ_ə	0.5
ŋ	ŋ	0.5
w	l	0.5
n_#>	ə_#>	0.5
d̥_#>	d_#>	0.474
ˈɒː	ˈɛː	0.429
ˈæ	ˈa	0.429
ˈeː	ˈiː	0.429
v̥_#>	v_#>	0.429
d̥_#>	#>	0.421
ˈɪ	ˈeː	0.4
ˈɑ	ˈɒ	0.4
s_#>	ʃ_#>	0.385
ˈyː	ˈøː	0.375
<#_d	<#_t	0.364
n_#>	n_#>	0.341
ˈœ	ˈʏ	0.333
ˈuə̯	ˈɛ	0.3
w	l_ə	0.3
t	tʲ	0.294
ˈɒː	ˈɛi̯	0.286
ˈɒː	ˈeː	0.286
ˈæ	ˈʊ	0.286
ˈæ	-	0.286
ˈeː	ˈɛː_d	0.286
ˈeː	ˈi	0.286
ʋ	ˈɔu̯	0.25
ɦ	w	0.25
ɦ	-	0.25
ˈoː	ˈiː	0.231
ˈɑ	ˈuː	0.2
ˈuə̯	ˈɛi̯	0.2
w	ˈeː_l	0.2
n_#>	#>	0.159
ˈoː	ˈøː	0.154
ˈiə̯	l_i	0.154
<#_ʋ	<#	0.143
ˈɑ	ˈʊ	0.133
ˈɑ	ˈɛi̯	0.133
ˈɑ	ˈɒː	0.133
ɾ	ˈa_r	0.107
d̥_#>	s_#>	0.105
<#_d	<#	0.091
