Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʊ	-	1.0
ˈɪ	ˈɪ	1.0
ˈɔ_ɾ	ˈuːə̯	1.0
ˈɑː_ɾ	ˈɒː	1.0
ˈœ	-	1.0
ˈæʉ̯	ˈaʊ̯	1.0
ˈæɪ̯	ˈeː	1.0
ˈæ	ˈɪɛ̯	1.0
ˈeː_#>	ˈaɪ̯_#>	1.0
ʰtː	t	1.0
ʰpː	p	1.0
ʰkː	ŋ_k	1.0
ʋ_ɑ	v_n	1.0
ʋ_#>	ʋ_#>	1.0
ʉ	ˈɔ_p	1.0
ʂ	ʃ	1.0
ɾ_ˈœʏ̯	r	1.0
ɾ_ɑ	ɐ	1.0
ɾ_e	ɐ	1.0
ɲ	ŋ	1.0
ɪ	-	1.0
ɡː	-	1.0
ɡ_ˈʉː	x	1.0
ɡ_ɑ	ɣ	1.0
ɡ_#>	x_#>	1.0
ɛ	-	1.0
ə_#>	#>	1.0
ə	-	1.0
ɑ_#>	#>	1.0
ŋː	ŋ	1.0
ŋ	n	1.0
v	v	1.0
t	t	1.0
sː	s	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
p	p	1.0
nː_ɑ	n_n	1.0
nː	n	1.0
n_d	n	1.0
n_#>	#>	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_#>	l_#>	1.0
kʰ_ʋ	v	1.0
kʰ	k	1.0
h	h	1.0
f	f	1.0
d_#>	d̥_#>	1.0
d	d	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
ɑ	n	0.913
n	n	0.905
l	l	0.895
k	k	0.846
tʰ	d	0.833
ʋ	v	0.778
ˈuː	ˈoː	0.727
ç	k	0.714
ˈɑ	ˈa	0.708
ˈoː	ˈɔː	0.667
ˈeː	-	0.667
ˈʉ	ˈʊ	0.625
ˈøː	ˈøː	0.625
ˈiː	ˈiː	0.625
ˈɔ	-	0.556
<#	<#_v	0.556
#>	d̥_#>	0.548
ˈʏ	-	0.545
ˈɛ	ˈɛ	0.538
ˈʉː	ˈuː	0.5
ˈyː	ˈaɪ̯	0.5
ɡ	x	0.5
s	s	0.5
e	-	0.5
ɾ	ɐ	0.471
e	ə	0.458
ˈʏ	ˈʏ	0.455
ˈɑː	ˈaː	0.375
ˈɑː	ˈa	0.375
ˈøː	-	0.375
s	ʃ	0.353
ˈʉː	ˈaɪ̯	0.333
ˈeː	ˈɪɛ̯	0.333
ɡ	ɡ	0.333
j	-	0.333
ɾ	r	0.314
ˈʉ	-	0.312
ˈɛ	-	0.308
ç	d	0.286
ˈuː	-	0.273
ˈoː	-	0.267
ˈɑː	-	0.25
ˈyː	ˈyː	0.25
ˈyː	ˈiː	0.25
ˈiː	ˈɪ	0.25
ˈɔ	ˈuːə̯	0.222
ˈɔ	x	0.222
j	ˈɪɛ̯	0.222
j	x	0.222
j	l	0.222
<#	<#_j	0.222
<#	<#_d	0.222
ˈʉː	ˈʊ	0.167
ɡ	-	0.167
tʰ	t_ʋ	0.167
ˈɛ	ˈa	0.154
k	k_ə	0.154
s	z	0.147
#>	ə_#>	0.143
ˈɑ	ˈaː	0.125
ˈiː	-	0.125
#>	n_#>	0.119
ʋ	ʋ	0.111
ʋ	-	0.111
l	ˈɪɛ̯_l	0.105
n	-	0.095
ɑ	-	0.087
ˈɑ	ˈɔ	0.083
ˈɑ	-	0.083
ˈoː	ˈyːœ̯	0.067
ˈʉ	ˈyə̯	0.062
ɾ	ˈɪɛ̯	0.059
ɾ	d_ɐ	0.059
ɾ	-	0.059
