Proto-Slavic	Old Prussian	probability
̌	-	1.0
̂	-	1.0
ˀ	-	1.0
ʧ	-	1.0
ʎ	eː	1.0
ɨ_ˀ	u	1.0
ɡ	ɡ	1.0
x	s	1.0
v_ẽ	w	1.0
v	v	1.0
u	u	1.0
t_i	t	1.0
t	t	1.0
s_t	s_t	1.0
s	s	1.0
r	r	1.0
p	p	1.0
õː	a_ŋ	1.0
o_̂	a	1.0
n	n	1.0
m	m	1.0
l	l	1.0
j_ĭ	n	1.0
ĭ_̌	i	1.0
i_̌	oːu̯	1.0
ẽː	e_n	1.0
ẽ	-	1.0
e_̂	a	1.0
e_d	ai̯	1.0
e	e	1.0
d	d	1.0
b	b	1.0
aː	a	1.0
a_̌	a	1.0
a_ˀ	o	1.0
a	o	1.0
z	z	0.841
k	k	0.8
uː	au̯	0.731
ĭ	i	0.673
ɛː	-	0.628
o	-	0.479
i	-	0.467
ɛː	iː	0.372
ŭ	a	0.329
o	a	0.32
i	o_n	0.272
uː	aːu̯	0.269
i	i	0.261
ŭ	i_s	0.209
o	o	0.201
k	-	0.2
ĭ	-	0.184
z	-	0.159
ŭ	-	0.123
ŭ	u	0.107
ĭ	s	0.095
ŭ	s	0.063
ŭ	n	0.063
ŭ	a_s	0.063
