Québécois French	Québécois French	probability
ʦ	t	1.0
ʣ	d	1.0
ʒ_œ_n	ɲː	1.0
ʒ_#>	ʧ_#>	1.0
ʏ	-	1.0
ʊ	-	1.0
ʁ_w	ʀ_w	1.0
ɲ	ɲ	1.0
ɪ_l	ˈɛ_j	1.0
ɥ_i	ˈy	1.0
ɥ_ẽɪ̯̃	ˈœ̃	1.0
ɥ	-	1.0
ɛɪ̯	j_ˈɛ	1.0
ɛ_ʁ	ʀ	1.0
ɛ_l	ˈɛ_l	1.0
ɛ_#>	#>	1.0
ɒ̃ʊ̯̃_#>	#>	1.0
ɑɔ̯_ʁ	w_ˈa	1.0
ɑ	-	1.0
œ_f	ˈuː	1.0
w_ẽɪ̯̃	ˈɔ̃	1.0
v_ʁ_#>	f_#>	1.0
u_ʁ	ˈuː	1.0
t_ʁ	ʃ	1.0
p	p	1.0
n	n	1.0
m	m	1.0
k	k	1.0
j_øʏ̯	ˈiː	1.0
j_ẽɪ̯̃	ˈẽ	1.0
j_e	ˈiː	1.0
f	f	1.0
d_ʁ	t	1.0
d	d	1.0
b	b	1.0
aœ̯	ˈøː	1.0
<#_ʁ	<#_ʀ	1.0
<#	<#_k	1.0
ɒ̃ʊ̯̃	ˈɔ̃	0.917
ʃ	ʧ	0.909
v	v	0.9
l	l	0.881
ʒ	ʤ	0.875
s	s	0.8
t	t	0.792
ʁ	ʀ	0.774
j	j	0.769
ɪ	ˈɛ	0.75
ɡ	ɡ	0.667
<#_e	<#_s	0.667
ɑɔ̯	w_ˈa	0.6
z	ʒ	0.6
y	-	0.6
e	ˈe	0.571
øʏ̯_#>	#>	0.556
oʊ̯	j_ˈa	0.538
œ	-	0.529
ɛ	ˈɛ	0.516
æɛ̯_ʁ	ˈe	0.5
æɛ̯_ʁ	ʀ	0.5
o	ˈɔ	0.5
o	-	0.5
w	w	0.462
øʏ̯_#>	ˈøː_#>	0.444
a	a	0.435
u	ˈɔ	0.421
ã	ˈɛ̃	0.421
i	ˈi	0.417
#>	j_#>	0.417
ɔ	ˈɔ	0.4
ɔ	ɔ	0.4
ɑɔ̯	-	0.4
z	s	0.4
y	ˈøː	0.4
ã	ˈɑ̃	0.368
ẽɪ̯̃	ˈẽ	0.353
ɡ	-	0.333
<#_e	<#	0.333
u	ɔ	0.316
oʊ̯	-	0.308
ẽɪ̯̃	ˈɛ̃	0.294
w	-	0.269
a	ˈa	0.261
ɪ	ˈiː	0.25
i	ˈiː	0.25
#>	ʃ_#>	0.25
e	ˈiː	0.238
j	ˈiː	0.231
ʁ	-	0.226
ã	-	0.211
i	-	0.208
æɛ̯	ˈɛ	0.207
ɔ	ˈuː	0.2
s	ʃ	0.2
œ	ˈuː	0.176
œ	ɛ	0.176
ẽɪ̯̃	ɲ	0.176
æɛ̯	ˈɔː	0.172
#>	ˈɛ_#>	0.167
#>	t_#>	0.167
ɛ	-	0.161
u	ˈoː	0.158
oʊ̯	ˈɔː	0.154
æɛ̯	j	0.138
a	ˈɛ	0.13
ɛ	j	0.129
ʒ	-	0.125
t	s	0.125
i	ˈeː	0.125
œ	a	0.118
ẽɪ̯̃	w_ˈɛ̃	0.118
w	ˈɔː	0.115
u	ˈuː	0.105
æɛ̯	ˈɛ̃ː	0.103
æɛ̯	ɛ	0.103
æɛ̯	w	0.103
v	f	0.1
ɛ	ˈɛː	0.097
ɛ	ˈiː	0.097
e	ˈɛː_j	0.095
e	-	0.095
ʃ	ʃ	0.091
a	ˈɔː	0.087
a	ɛ	0.087
ɒ̃ʊ̯̃	ɔ̃	0.083
t	s_t	0.083
w	ˈøː	0.077
w	ˈu	0.077
l	-	0.071
æɛ̯	w_ˈɛ̃	0.069
æɛ̯	-	0.069
ẽɪ̯̃	ẽ	0.059
