Northern Low Saxon	Northern Low Saxon	probability
ˈʏ_n	n	1.0
ˈɛː	ˈøː	1.0
ˈɛɪ̯	-	1.0
ˈɛ	-	1.0
ˈɔː	ˈœː_ʀ	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈøː	-	1.0
ˈø	-	1.0
ˈyː	-	1.0
ˈaɪ̯_#>	ˈi_#>	1.0
ʒ	j	1.0
ɪ	ɪ	1.0
ɡ_r	ɣ_ʀ	1.0
ɡ_n	k_ə	1.0
ə	-	1.0
ɐ_n	ʀ_ə	1.0
ç_#>	ŋ_#>	1.0
z̥	z̥	1.0
z	z	1.0
x	x	1.0
v̥	v̥	1.0
v	β	1.0
tʰ	t	1.0
s	s	1.0
r	ʀ	1.0
pʰ	p	1.0
p	p	1.0
n_n	n_d	1.0
kʰ	k	1.0
k	k	1.0
j	ɣ	1.0
i	ə_x	1.0
h	ɦ	1.0
d_ˈa	d_ˈaː	1.0
d_r	d_ʀ	1.0
d_#>	#>	1.0
b_m	p_ə	1.0
aɪ̯	i	1.0
l	l	0.938
ç	x	0.818
m	m	0.806
f	v	0.781
b	b	0.769
t	t	0.75
n	n	0.721
ˈiː	ˈiː	0.714
ˈʏ	ˈœ	0.667
ˈɔ	ˈɔ	0.667
ˈuː	ˈuː	0.625
d_n	t_ə	0.625
ˈaɪ̯	ˈeː	0.55
ˈɔʏ̯	ˈøː	0.545
ˈeː	ˈeː	0.545
ŋ	ŋ	0.538
ɐ	ʀ	0.531
ˈeɪ̯	ˈeː	0.5
ˈeɪ̯	-	0.5
ˈa	ˈɑ	0.5
ʃ	s	0.5
ɡ	ɣ	0.5
ˈoː	ˈɒː	0.458
ˈaː	ˈæː_ʀ	0.429
ɐ	ə_ʀ	0.406
ˈʊ	ˈʊː	0.4
ˈɪ	ˈɪː	0.393
ɡ	k	0.375
d_n	j_ə	0.375
d	d̥	0.353
ˈaɪ̯	ˈɛː	0.35
ˈʏ	ˈʏː	0.333
ˈɔ	-	0.333
ˈaʊ̯	ˈʊː	0.31
ʃ	ʃ	0.308
ŋ	ŋ_k	0.308
ˈiː	-	0.286
ˈaː	ˈaː	0.286
ˈaː	ʀ	0.286
d	d	0.279
ˈɔʏ̯	-	0.273
ˈeː	-	0.273
ˈa	ˈaː	0.273
ˈuː	ˈɔu̯	0.25
ˈoː	ˈaː	0.25
t	-	0.25
d	t	0.25
b	p	0.231
ˈa	ˈɑː	0.227
f	v̥	0.219
ˈaʊ̯	ˈu	0.207
ˈʊ	ˈɔː	0.2
ˈʊ	ˈɔ	0.2
ʃ	z	0.192
ˈɔʏ̯	ˈyː	0.182
ˈeː	ˈɛː	0.182
ç	k	0.182
ˈɪ	ˈɪ	0.179
ˈaʊ̯	-	0.172
ŋ	ɣ_ə	0.154
ˈɪ	ˈɛː	0.143
ˈaʊ̯	ˈɔː	0.138
ˈʊ	-	0.133
m	v_ə	0.129
ˈuː	-	0.125
ˈoː	-	0.125
ɡ	ə_k	0.125
ˈɪ	ˈɛ	0.107
ˈɪ	ˈeː	0.107
ˈaʊ̯	ˈoː	0.103
ˈaɪ̯	ˈɛːi̯	0.1
n	ə	0.098
ˈoː	ˈʊː	0.083
ˈoː	ˈoː	0.083
ˈɪ	-	0.071
ˈaʊ̯	j	0.069
ˈʊ	ˈʊ	0.067
n	n_d	0.066
m	ə_v̥	0.065
ɐ	ˈeː_ʀ	0.062
d	j	0.059
