Yiddish	Bokmål Norwegian	probability
#>	#>	1.0
<#	<#	1.0
<#_v	<#	1.0
<#_ɡ	<#	0.112
b	b	0.679
b	-	0.316
d	-	0.344
d	tʰ	0.344
d	d	0.209
d	nː	0.08
d_#>	#>	1.0
f	f	0.605
f	p	0.224
f	ʋ	0.13
f_#>	#>	1.0
h	h	0.952
j	ˈoː	0.66
j	ˈʊ	0.153
k	kʰ	0.375
k	k	0.182
k	ɡː	0.182
k	-	0.081
k	ç	0.071
k	ŋ	0.071
l	l	0.77
l	lː	0.165
m	m	0.658
m	mː	0.172
m	-	0.159
n	n	0.441
n	nː	0.256
n	ə	0.232
n_#>	#>	1.0
n_d	nː	0.232
p	p	0.574
p	-	0.153
s	t	0.472
s	s	0.31
s	-	0.082
s	d	0.082
s	nː	0.051
t	d	0.496
t	t	0.283
t	-	0.127
t	tʰ	0.078
t_#>	#>	1.0
v	ʋ	0.932
v	-	0.066
z	s	0.711
z	s_ə	0.116
z	sː	0.066
z	ʂ	0.058
ŋ	ŋː	0.623
ŋ	-	0.349
ŋ_k	kː	0.482
ŋ_ɡ	ŋː	1.0
ə	ə	0.519
ə	-	0.34
ə	ɾ_ə	0.081
ɛ	n	0.5
ɛ	ʋ	0.5
ɡ	ɡ	0.578
ɡ	-	0.252
ɡ	j	0.15
ɡ_#>	#>	1.0
ɡ_l	l	0.482
ɪ	i	0.293
ɪ	ɪ	0.293
ʀ	ɾ	0.87
ʀ	ɳ	0.074
ʀ	-	0.052
ʀ_#>	#>	1.0
ʀ_ɛ	ɾ	1.0
ʁ	ɾ	0.419
ʃ	s	0.711
ʃ	s_k	0.227
ʃ	ʃ	0.056
ʎ	l	0.482
ʦ	tʰ	0.648
ʦ	t	0.116
ʦ	ʈ	0.08
ʦ	tː	0.077
ʦ_v	tʰ	1.0
ʧ	s_k	1.0
ˈa	ˈɑ	0.625
ˈa	ˈɑː	0.158
ˈaɪ̯	ˈiː	0.622
ˈaɪ̯	ˈɛ	0.137
ˈaɪ̯	ˈyː	0.09
ˈaɪ̯	ˈeː	0.069
ˈaɪ̯_ə	ˈyː	1.0
ˈi	ˈoː	0.232
ˈɔ	ˈɑ	0.191
ˈɔ	ˈoː	0.175
ˈɔ	ˈɑː	0.158
ˈɔ	ˈʉ	0.091
ˈɔ	ˈuː	0.086
ˈɔ	ˈʊ	0.07
ˈɔ_ʀ	ɾ	1.0
ˈɔɪ̯	ˈøː	0.378
ˈɔɪ̯	ˈʉː	0.288
ˈɔɪ̯	ˈœ	0.101
ˈɔɪ̯	ˈœʏ̯	0.058
ˈɔɪ̯	ˈɔ	0.058
ˈɔɪ̯	ˈʉ	0.058
ˈɛ	ˈɛ	0.327
ˈɛ	ˈeː	0.167
ˈɛ	j	0.11
ˈɛ	ˈæː	0.081
ˈɛ_ɡ	ˈæɪ̯	1.0
ˈɛɪ̯	ˈɛ	0.303
ˈɛɪ̯	ˈeː	0.224
ˈɛɪ̯	ˈæɪ̯	0.17
ˈɛɪ̯	ˈøː	0.148
ˈɛɪ̯	ˈuː	0.105
ˈɪ	ˈɪ	0.27
ˈɪ	ˈiː	0.174
ˈɪ	ˈyː	0.123
ˈɪ	ˈʏ	0.107
ˈɪ	ˈœ	0.099
ˈɪ	ˈʉː	0.068
ˈɪ	ˈɛ	0.059
ˈʊ	ˈuː	0.33
ˈʊ	ˈʉ	0.212
ˈʊ	ˈʉː	0.153
ˈʊ	ˈʏ	0.076
ˈʊ	ˈœ	0.067
ˈʊ	ˈɔ	0.063
ˈʊ_t	ˈuː	1.0
χ	k	0.641
χ	-	0.129
χ	j	0.129
χ	s	0.089
χ_#>	#>	1.0
χ_t	tː	1.0
