Polish	Proto-Slavic	probability
ʦ	ʦ	1.0
ʥ	d	1.0
ʑ	z	1.0
ʐ̊	ʒ_ĭ	1.0
ʐ_ɛ	r_ɛː	1.0
ʈ͡ʂ	ʧ	1.0
ɡ̊	ɡ_ŭ	1.0
ɡ	ɡ	1.0
ɛ_ŋ	õː	1.0
ɛ_w̃	ẽ	1.0
ɛ_m	m_ĭ	1.0
ɕ	s	1.0
ɔ_w̃	õː	1.0
ɔ_m	õː	1.0
z̥	z_ŭ	1.0
z	z	1.0
x	x	1.0
w̃	-	1.0
w_ɔ	o_l	1.0
w_a	l_a	1.0
v_j	v	1.0
v	v	1.0
t_a	t_a	1.0
t	t	1.0
s	s	1.0
p	p	1.0
m	m	1.0
k	k	1.0
j_ɛ	ĭ	1.0
j_u	e	1.0
f	v	1.0
d̥	d_ŭ	1.0
d	d	1.0
b̥	b	1.0
b	b	1.0
w	l	0.898
l	l	0.894
n	n	0.878
r	r	0.862
a	a	0.716
ɨ	ŭ	0.705
j	-	0.7
ʂ	-	0.676
ʨ	t_i	0.535
ɲ	-	0.525
ɲ	n	0.475
ʨ	t_ĭ	0.465
ɔ	o	0.431
ʐ	ʒ	0.424
ʐ	r	0.418
u	uː	0.409
j_a	ɛː	0.379
i	i	0.37
j_a	ɛː_ˀ	0.368
ʂ	ʃ	0.324
i	ŭ	0.32
j	ẽː_̂	0.3
ɛ	-	0.273
ɛ	e	0.27
j_a	ɛː_̌	0.253
u	-	0.222
i	ĭ	0.184
ʐ	rʲ	0.159
ɔ	-	0.158
ɨ	ɨ_ˀ	0.154
ɔ	e	0.137
u	o_̌	0.131
i	i_̌	0.126
n	-	0.122
u	e	0.118
l	ʎ	0.106
ɛ	ɨ	0.104
ɔ	̂_l	0.103
w	oː	0.102
a	-	0.102
ɛ	ɛː	0.098
r	o	0.091
ɨ	ɨː	0.087
ɛ	ẽ	0.081
u	o_̂	0.08
ɔ	õː_̌	0.077
a	aː_̌	0.06
ɔ	r	0.056
ɨ	iː	0.055
ɛ	ŭ_̌	0.053
a	ɛː_̂	0.052
ɛ	ĭ_̌	0.051
