Yiddish	Yiddish	probability
ˈʊ_m	ˈɔ_m	1.0
ˈɪ_ʀ	ˈiː_ɐ	1.0
ʧ	ʃ	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ʀ_ɛ	ɐ	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ɛ	-	1.0
ə_ʀ	ɐ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
v	v	1.0
s	s	1.0
j	j	1.0
h	h	1.0
f	f	1.0
b_#>	b̥_#>	1.0
b	b	1.0
a	a	1.0
<#_ʀ	<#_ʁ	1.0
n	n	0.931
m	m	0.923
#>	ə_#>	0.913
ˈa	ˈa	0.889
ɡ	ɡ	0.885
ˈɛɪ̯	ˈaɪ̯	0.867
z	z	0.75
ˈaɪ̯	ˈaɪ̯	0.667
t	t	0.661
d	d	0.633
ˈɔɪ̯	ˈaʊ̯	0.621
ˈɪ	ˈɪ	0.581
ʀ	ʁ	0.581
ˈɛ	ˈɛ	0.531
χ	ç	0.522
ɡ_#>	ɡ̊_#>	0.5
ɡ_#>	#>	0.5
ə_n	ə_n	0.5
ə_n	n	0.5
ə	-	0.5
p	p͡f	0.5
p	p	0.5
ˈɔ	ˈaː	0.485
ˈʊ	ˈʊ	0.481
χ	x	0.478
k	kʰ	0.464
ˈʊ	ˈuː	0.407
k	k	0.393
ˈɔ	ˈɔ	0.364
ʀ	ɐ	0.349
ˈaɪ̯	ˈɔʏ̯	0.333
ˈɔɪ̯	ˈoː	0.31
d	d̥	0.267
ə	ə	0.25
ə	ɐ	0.25
z	z̥	0.25
t	tʰ	0.242
ˈɛ	ˈeː	0.219
ˈɪ	ˈiː	0.186
k	ç	0.143
ˈɛɪ̯	ˈeː	0.133
ˈɛ	ˈɛː	0.125
ˈɪ	ˈʏ	0.116
ˈɪ	ˈyː	0.116
ɡ	ə	0.115
ˈʊ	ˈɔ	0.111
d	-	0.1
ˈɔ	ˈa	0.091
#>	ɐ_#>	0.087
m	-	0.077
ʀ	-	0.07
ˈɔɪ̯	-	0.069
t	d̥	0.065
ˈɛ	ˈœ	0.062
ˈɛ	ˈøː	0.062
ˈɔ	ˈoː	0.061
ˈa	ˈɛ	0.056
ˈa	ˈaː	0.056
