Swedish	Swedish	probability
ˈʊ	ˈu	1.0
ˈœː	-	1.0
ˈøː_#>	ˈeː_#>	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈeː_n	ˈæi̯	1.0
ʊ	-	1.0
ʈ	tː	1.0
ʂ	ʃː	1.0
ɳː	-	1.0
ɪ	i	1.0
ɡː	kː	1.0
ɛ_#>	#>	1.0
ɖ	r_tː	1.0
ɕ	-	1.0
ɔ	æ	1.0
ŋː	ŋ	1.0
ŋ	-	1.0
v_ɛ	b̥_ə	1.0
v_#>	b̥_#>	1.0
sː	-	1.0
rː	ə	1.0
r_j	r_ɡ̊	1.0
pː	fː	1.0
pʰ	p͡f	1.0
nː_#>	#>	1.0
n_d_#>	ŋ_#>	1.0
mː	m	1.0
m	m	1.0
lː_#>	l_#>	1.0
lː	l	1.0
l_d	l_d̥	1.0
l_#>	l_#>	1.0
kʰ	ɣ̊	1.0
jː	ɡ̊	1.0
j_ˈʉː	ˈyː	1.0
h	h	1.0
f	v̥	1.0
d_r	tː_r	1.0
d_a	tː_ə	1.0
b	b̥	1.0
a_#>	#>	1.0
a	ə	1.0
<#_tʰ	<#_d̥	1.0
<#_r	<#_r	1.0
<#_d	<#_tː	1.0
l	l	0.969
r	r	0.939
ɡ	ɡ̊	0.913
ˈɪ	ˈi	0.857
ˈa	ˈɒ	0.857
ˈiː	ˈiː	0.818
tʰ	ʦ	0.8
ˈœ	-	0.75
v	ʋ	0.739
n	n	0.732
s_#>	z̥_#>	0.714
p	fː	0.714
k	χː	0.688
nː	n	0.667
ɛ	ə	0.65
ˈuː	ˈuə̯	0.643
ˈɔ	-	0.6
s_k	ʃː	0.6
ˈɑː	ˈɒ	0.583
ˈɛː	-	0.556
ɧ	ʒ̊	0.556
d	d̥	0.524
t	sː	0.52
ˈɛ	ˈæ	0.5
ˈyː	ˈyː	0.5
ˈyː	-	0.5
ˈeː	ˈæi̯	0.5
ˈeː	-	0.5
ɳ	r_n	0.5
ɳ	r	0.5
kː	χː	0.5
kː	ŋ_kː	0.5
<#_ˈɛ	<#_ˈæi̯	0.5
<#_ˈɛ	<#_ˈe	0.5
d	tː	0.476
ˈʉː	ˈuː	0.474
s	z̥	0.471
ˈɛː	ˈæ	0.444
ɧ	z̥	0.444
ˈoː	ˈɒː	0.438
ˈʏ	-	0.429
ˈɑː	ˈɒː	0.417
tː	χː_tː	0.417
ˈɵ	ˈu	0.4
ˈɛ	-	0.4
ˈɔ	ˈo	0.4
t	tː	0.4
s_k	ʒ̊	0.4
<#	<#_ʋ	0.375
ɛ	-	0.35
tː	sː	0.333
nː	n_d̥	0.333
j	ɡ̊	0.308
s	ʒ̊	0.294
ˈʏ	ˈy	0.286
ˈʏ	ˈu	0.286
s_#>	#>	0.286
p	-	0.286
ˈɵ	ˈo	0.267
#>	r_#>	0.267
ˈʉː	-	0.263
ˈøː	ˈoː	0.263
ˈøː	-	0.263
ˈœ	ˈo	0.25
tː	ʦ	0.25
j	-	0.231
n	-	0.22
ˈuː	-	0.214
ˈøː	ˈau̯	0.211
ˈɵ	-	0.2
tʰ	tː	0.2
#>	ɡ̊_#>	0.2
ˈoː	ˈoː	0.188
ˈoː	ˈo	0.188
ˈoː	-	0.188
k	kː	0.188
<#	<#_ɡ̊	0.188
<#	<#_tː	0.188
ˈiː	-	0.182
v	fː	0.174
ˈʉː	ˈiə̯	0.158
ˈøː	ˈyə̯	0.158
j	ˈi	0.154
j	l	0.154
j	h	0.154
ˈɪ	ˈy	0.143
ˈuː	ˈo	0.143
ˈa	ˈɒː	0.143
ˈɵ	ˈuː	0.133
#>	ˈeː_#>	0.133
#>	z̥_#>	0.133
#>	i_#>	0.133
#>	d̥_#>	0.133
k	ʃː	0.125
<#	<#_j	0.125
<#	<#_d̥	0.125
s	ʃː	0.118
ˈʉː	ˈyː	0.105
ˈøː	ˈøː	0.105
ˈɛ	ˈæi̯	0.1
ɡ	χː	0.087
v	b̥	0.087
t	-	0.08
r	-	0.061
s	ʒ̊_ʋ	0.059
s	tː	0.059
