Brazilian Portuguese	Brazilian Portuguese	probability
ˈɔ_j	ˈoː	1.0
ˈo_ɡ	ˈuː_k	1.0
ˈo_j	ˈɔ	1.0
ˈo_h	ˈoː_r	1.0
ˈi_ʎ	ˈi	1.0
ˈi_h	ˈiː	1.0
ˈẽ_j̃	ˈɛ_ŋ	1.0
ˈe_j	ˈe	1.0
ˈa_h	ˈaː	1.0
ˈa_b	ˈa_v	1.0
ʤ_i	t	1.0
ʤ	d	1.0
ʎ_u	l_i	1.0
ʎ	-	1.0
ʃ_#>	#>	1.0
ɾ_ˈe	r_ˈɛ	1.0
ɾ	r	1.0
ɦ	r	1.0
ɡ_w	ɡ	1.0
ɐ_#>	#>	1.0
w̃_#>	#>	1.0
w̃	ŋ	1.0
v_ɐ	b_e	1.0
v_i_#>	f_#>	1.0
u_#>	#>	1.0
t_ˈo	d_ˈu	1.0
s_ˈe	s_ˈe	1.0
s_u	ʧ	1.0
p	p	1.0
õ	o	1.0
n_u	ŋ	1.0
m_e	m_i	1.0
m	m	1.0
k_ɾ	k_r	1.0
k_u	k	1.0
j_ʃ_#>	#>	1.0
j_ʃ	s	1.0
j_t	t	1.0
j	-	1.0
ĩ	i	1.0
i_#>	#>	1.0
h_u	r	1.0
h_#>	#>	1.0
f	f	1.0
e_ʃ	s	1.0
d_u	t	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_h	<#_r	1.0
<#_d	<#_d	1.0
ɐ	e	0.906
t	t	0.895
<#_l	<#_l	0.85
ˈĩ	ˈi	0.833
l	l	0.824
ʧ	t	0.818
ʒ	ʤ	0.8
ˈũ	ˈu	0.778
d	d	0.769
ʃ	s	0.762
v	v	0.724
h	r	0.714
<#	<#_v	0.714
w	l	0.706
ˈɐ̃	ˈa	0.692
a	a	0.684
s	s	0.682
ˈo_w	ˈa_w	0.667
ˈi	ˈi	0.667
t_u	n_t	0.667
ˈe_h	i	0.625
n	n	0.625
b	b	0.619
ˈa	ˈa	0.607
#>	e_#>	0.6
i	i	0.583
z	-	0.571
k	c	0.571
u	i	0.556
ˈɛ	j_ˈɛ	0.5
ˈõ	ˈo	0.5
e	-	0.5
ɡ	-	0.462
o	o	0.455
ˈo	ˈo	0.435
z	z	0.429
k	k	0.429
j̃	ɲ	0.409
ˈu	ˈuː	0.4
#>	l_#>	0.4
ˈa	ˈaː	0.393
ɡ	ɡ	0.385
ˈe_h	ˈiː	0.375
n	-	0.375
o	u	0.364
e	e	0.357
ˈɔ	ˈo	0.333
ˈo_w	ˈɔː	0.333
ˈẽ	ˈi_n	0.333
ˈe	ˈe	0.333
t_u	t	0.333
ẽ	i	0.333
ẽ	e_n	0.333
ẽ	-	0.333
w	w	0.294
h	i	0.286
<#	<#_j	0.286
s	ʧ	0.273
ˈu	ˈu	0.267
ˈõ	ˈu	0.25
ˈõ	ˈo_n	0.25
ˈẽ	ˈi	0.25
ˈẽ	ˈe	0.25
i	e	0.25
ˈe	ˈeː	0.238
b	-	0.238
d	t	0.231
j̃	ŋ	0.227
j̃	-	0.227
ˈũ	ˈo	0.222
ˈi	-	0.222
u	r	0.222
u	l	0.222
ˈo	ˈɔ	0.217
ˈɛ	ˈɛ	0.2
ˈɛ	ˈiː	0.2
ˈu	ˈo	0.2
ʒ	-	0.2
ˈɐ̃	ˈa_n	0.192
ˈe	-	0.19
ʧ	-	0.182
o	-	0.182
l	-	0.176
ˈo	w_ˈɛ	0.174
ˈo	w	0.174
ˈɔ	ˈuː	0.167
ˈɔ	w_ˈɛ	0.167
ˈɔ	w_ˈa	0.167
ˈɔ	w	0.167
ˈĩ	ˈi_ŋ	0.167
ˈẽ	ˈɛ	0.167
i	-	0.167
a	e	0.158
a	-	0.158
ɡ	ŋ_k	0.154
<#_l	<#_j	0.15
ˈe	ˈɛ	0.143
ʃ	p_l	0.143
e	i	0.143
b	v	0.143
j̃	n	0.136
ˈu	ˈoː	0.133
ˈɐ̃	ˈo	0.115
ˈi	ˈiː	0.111
t	n_t	0.105
ˈɛ	j	0.1
ˈe	ˈo_d	0.095
ʃ	f_l	0.095
v	z_v	0.069
v	v_j	0.069
v	b	0.069
v	-	0.069
ɐ	n_e	0.062
