Sicilian	Sicilian	probability
ˈɛ_n	ˈẽ	1.0
ˈɔ_n	ˈõ	1.0
ˈɔ_k	ˈo_ɡ	1.0
ˈu_tː	ˈo_d	1.0
ˈu_p	ˈo_b	1.0
ˈo	ˈõ	1.0
ˈi_ɾ	ˈe	1.0
ˈi_ŋ	ˈĩ	1.0
ˈe	-	1.0
ˈa_t	ˈa_d	1.0
ˈa_n	ˈɐ̃	1.0
ʧː	t	1.0
ʦː	s	1.0
ʦ	s	1.0
ʤː	-	1.0
ʐː	h	1.0
ʊ_#>	#>	1.0
ʈː	-	1.0
ʃ	e_ʃ	1.0
ɾ_ʊ	ɾ_i	1.0
ɾ_ɪ	h	1.0
ɾ_n	ɦ_n	1.0
ɾ_a	ɾ_ɐ	1.0
ɲː	j̃	1.0
ɲ	j̃	1.0
ɪ_#>	#>	1.0
ɡ	ɡ	1.0
ɟː	ʎ	1.0
ɖː	l	1.0
ɕ_ɪ	j_ʃ	1.0
ç	ʃ	1.0
z	-	1.0
sː	-	1.0
s_t	ʃ_t	1.0
s	s	1.0
r_ɪ	h	1.0
r_k	h_k	1.0
o	o	1.0
n_ʊ	w̃	1.0
n_ɪ	w̃	1.0
n_a	ɐ	1.0
mː	m	1.0
m_ɪ	m_i	1.0
m	m	1.0
l_ˈa	ˈa	1.0
l_ʊ_#>	#>	1.0
l_ɪ	w	1.0
l_i	l_e	1.0
kː	k	1.0
i_ɾ	ˈe	1.0
fː	f	1.0
f	f	1.0
dː	-	1.0
cː	ʎ	1.0
bː	v	1.0
a_t	a_d	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ʐ	<#_h	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
<#_c	<#_ʃ	1.0
<#_a	<#	1.0
ʊ	u	0.929
v	v	0.879
a	ɐ	0.868
p	p	0.854
b	b	0.846
r	ɾ	0.818
w	w	0.8
k	k	0.784
ɕ	s	0.769
n	-	0.714
<#_ˈa	<#_ˈa	0.714
l	l	0.7
ˈɛ	ˈɛ	0.667
ʤ	ʒ	0.667
#>	ʃ_#>	0.667
ɪ_ɾ	h	0.625
nː	n	0.625
ɽ	-	0.6
ˈa	ˈa	0.541
j	j	0.538
ˈɔ	ˈo	0.5
ˈi_n	ˈĩ_j̃	0.5
ʈ	t	0.5
ʈ	-	0.5
ʃː	s	0.5
ʃː	j_ʃ	0.5
t	t	0.484
j	ʒ	0.462
i	e	0.438
ɾ	ɾ	0.429
ˈi	ˈe	0.419
ɽ	ɾ	0.4
u	o	0.4
tː	j_t	0.4
ɪ	i	0.388
ɪ_ɾ	ˈe	0.375
nː	-	0.375
ʤ	-	0.333
#>	ʤ_i_#>	0.333
ˈi	ˈi	0.326
i	-	0.312
u	u	0.3
u	-	0.3
tː	ʧ	0.3
tː	t	0.3
t	d	0.29
n	j̃	0.286
<#_ˈa	<#_ˈo	0.286
ˈu	ˈu	0.277
ˈɔ	ˈɔ	0.269
ˈɛ	ˈe	0.267
ˈi_n	ˈĩ	0.25
ˈi_n	ˈe_j	0.25
i	i	0.25
ˈa	ˈɐ̃	0.246
ɕ	-	0.231
t	ʧ	0.226
k	ɡ	0.216
w	-	0.2
ˈu	ˈũ	0.191
ˈu	ˈo	0.191
r	h	0.182
ɾ	-	0.179
ˈu	ˈɔ	0.17
l	-	0.167
b	-	0.154
p	b	0.146
ɾ	ɦ	0.143
l	w	0.133
a	a	0.132
v	b	0.121
ˈɔ	ˈõ	0.115
ˈɔ	-	0.115
ɾ	z	0.107
ɪ	h	0.102
ɪ	-	0.102
ˈa	-	0.098
ˈi	ˈẽ	0.093
ˈu	ˈõ	0.085
ˈa	a	0.082
ɪ	ʃ	0.082
ɾ	ˈa	0.071
ɾ	h	0.071
ˈi	ˈĩ	0.07
ˈɛ	ˈẽ	0.067
ɪ	j	0.061
ɪ	e	0.061
