Alsatian	Yiddish	probability
ˈɛ	ˈɛ	1.0
ˈəi̯	ˈɛɪ̯	1.0
ˈɔi̯	-	1.0
ˈœ	ˈɔɪ̯	1.0
ˈøi̯	ˈɔɪ̯	1.0
ˈø	ˈɔɪ̯	1.0
ˈæː	ˈɛ	1.0
ˈæ	ˈɛ	1.0
ˈyː	ˈɔɪ̯	1.0
ˈaː_ʋ	ˈɔ_ɡ	1.0
ˈai̯	ˈɔɪ̯	1.0
ʦ	ʦ	1.0
ʁ_ˈu	ʀ_ˈɪ	1.0
ʁ_t	ʀ_t	1.0
ɡ̊	ɡ	1.0
ŋ	ŋ	1.0
x	χ	1.0
w	v	1.0
t_ʁ	t_ʀ	1.0
t	t	1.0
s_ə	s_n	1.0
p͡f	p	1.0
p	p	1.0
n_t	n_t	1.0
n	n	1.0
m	m	1.0
l	ɫ	1.0
kʰ	k	1.0
k	k	1.0
j_ə	ɡ_n	1.0
j	j	1.0
i_ʃ	χ	1.0
h	h	1.0
f_ə	f_n	1.0
f	f	1.0
eː	-	1.0
e	-	1.0
b̥	b	1.0
ʁ	ʀ	0.923
ʋ	v	0.874
ˈɒ	ˈa	0.845
ˈi	ˈɪ	0.827
ˈe	ˈɛ	0.826
ˈo	ˈɔ	0.75
ˈu	ˈʊ	0.743
ˈɒː	ˈɔ	0.706
s	z	0.678
ˈʊː	ˈʊ	0.654
ʃ	ʃ	0.633
ˈei̯	ˈaɪ̯	0.631
i	ɪ_k	0.587
ˈiː	ˈɪ	0.584
d̥	d	0.562
ə	ə	0.504
ˈoː	ˈɔ	0.491
d̥	t	0.438
i	-	0.413
ˈei̯	ˈɛɪ̯	0.369
ˈoː	ˈɔɪ̯	0.366
ˈeː	ˈɛɪ̯	0.358
ˈeː	ˈɛ	0.349
ˈʊː	ˈɔɪ̯	0.346
s	s	0.322
ˈɒː	ˈa	0.294
ˈeː	ˈɪ	0.293
ˈiː	ˈaɪ̯	0.287
ˈu	ˈɔ	0.257
ˈo	ˈʊ	0.25
ə	n	0.239
ə	ə_n	0.205
ʃ	χ	0.204
ˈe	-	0.174
ˈi	ˈaɪ̯	0.173
ˈɒ	ˈɔ	0.155
ˈoː	-	0.144
ˈiː	ˈaɪ̯_ə	0.128
ʋ	b	0.126
ʃ	-	0.12
ə	ɡ_ə	0.051
