West Flemish	Bavarian	probability
ˈɔ_w	j	1.0
ˈɑ_n	n	1.0
ˈøː	-	1.0
ˈyː	ˈau̯	1.0
ˈuə̯_l	ˈu_j	1.0
ˈi	ˈai̯	1.0
ʋ	ʋ	1.0
ʃ_h	ʃ	1.0
ɾ_n	ɐ_n	1.0
ɾ_d̥	ɐ_d̥	1.0
ɦ_ɾ	ɡ̊_r	1.0
ɦ_n	ŋ	1.0
ə_ɾ	ɐ	1.0
ŋ	ŋ	1.0
z̥	s	1.0
w	j	1.0
v̥	β	1.0
s_t	ʃ_d̥	1.0
m	m	1.0
k_ə	x	1.0
k_n	ɡ̊_a	1.0
iə̯	eː	1.0
h_t	x_d̥	1.0
d̥	d̥	1.0
d_ˈyː	d̥	1.0
d_ə	d̥_n	1.0
d	d̥	1.0
b	b̥	1.0
ˈɪ	ˈi	0.873
v	f	0.862
z	s	0.842
l	l	0.76
n	n	0.756
ɦ_ə	ɡ̊	0.673
s	ʃ	0.662
ˈu	ˈu	0.659
ˈuə̯	ˈuɐ̯	0.657
ˈɛː	ˈoɐ̯	0.653
ɾ	ɐ	0.632
ˈɛ	-	0.568
p	b̥͡v̥	0.561
ˈiə̯	ˈiɐ̯	0.491
ə	-	0.475
p	fː	0.439
ˈœ	ˈo	0.435
k	kʰ	0.433
ˈɛ	ˈe	0.432
t	ʦ	0.421
ˈɑ	ˈɑ	0.412
ˈeː	ˈe	0.402
ˈɔ	ˈu	0.394
ˈæ	-	0.389
ˈɔ	ˈo	0.356
ˈiə̯	ˈai̯	0.356
ˈɛː	-	0.347
ˈu	ˈo_j	0.341
ˈɒː	ˈoː	0.339
ˈœ	ˈu	0.339
k	x	0.337
ɾ	r	0.333
ə	ə	0.328
ɦ_ə	ɡ̊_a	0.327
ˈoː	ˈo	0.312
t	s	0.311
ˈɑ	ˈɒː	0.27
ˈæ	ˈe	0.265
ˈeː	ˈoɐ̯	0.263
ˈɔ	-	0.249
ˈɑ	ˈo	0.245
ˈɒː	-	0.244
l	j	0.24
ˈœ	-	0.226
ˈuə̯	ˈeɐ̯	0.222
ˈæ	ˈi	0.219
ˈoː	ˈaː	0.201
ˈeː	-	0.196
s	s	0.185
n	a	0.178
ə	a	0.164
t	sː	0.16
z	ʃ	0.158
ˈiə̯	ˈeː	0.153
s	ɡ̊_s	0.153
ˈɒː	ˈɒː	0.15
ˈoː	ˈou̯	0.146
ˈeː	ˈai̯	0.139
v	β	0.138
ˈoː	-	0.136
k	ɡ̊	0.13
ˈɪ	-	0.127
ˈæ	h_ˈe	0.127
ˈuə̯	ˈiɐ̯	0.122
ˈoː	ˈu	0.107
t	d̥	0.107
ˈɒː	ˈɑː	0.103
k	ç	0.1
ˈɒː	ˈɒ	0.095
ˈɑ	-	0.073
ˈɒː	ˈɑ	0.068
