Romagnol	Brazilian Portuguese	probability
ˈʌ̃	ˈɐ̃	1.0
ˈɛ̃	ˈẽ	1.0
ˈɛə̯_s	ˈɛ_ʃ	1.0
ˈɛ_n	ˈẽ	1.0
ˈõũ̯	ˈõ	1.0
ˈou̯_n	ˈõ	1.0
ˈeː_r	ˈɛ_ɦ	1.0
ˈe	ˈe	1.0
ʧ	ʎ	1.0
ɲ	j̃	1.0
ɡ	ɡ	1.0
ɐ_v	a_b	1.0
ɐ_n	n_u	1.0
ŋ_k	k_u	1.0
ŋ	-	1.0
w	o_w	1.0
t_r	ʃ	1.0
r_t	h_ʧ	1.0
p_j	ʃ	1.0
p	p	1.0
o	-	1.0
m	m	1.0
l_ɐ	ɐ	1.0
k_v	w	1.0
k	k	1.0
j̃	j̃	1.0
j_ˈeə̯	j	1.0
f_j	ʃ	1.0
f	f	1.0
e	a	1.0
d_ˈɛ	ʤ_ˈi	1.0
b_ɐ	v_ɐ	1.0
b_l	ũ	1.0
a	-	1.0
ˈeə̯	ˈa	0.857
ˈa	ˈa	0.854
θ	s	0.831
v	v	0.747
b	b	0.747
ˈu	ˈu	0.721
s	s	0.673
n_t	ʧ	0.669
t	t	0.645
ˈɛə̯	ˈɛ	0.609
ˈẽ	ˈĩ	0.6
ð	ʒ	0.586
ʤ	-	0.582
ˈeː	ˈe	0.571
n	-	0.569
z	j_ʃ	0.564
ˈou̯	ˈo	0.558
ɐ	ɐ	0.547
r	ɾ	0.531
j	-	0.522
u	o	0.501
l	l	0.481
j	ʎ	0.478
z	s	0.436
ˈeː	ˈɛ	0.429
ˈɔ	ˈo	0.423
d	d	0.419
ʤ	ʒ	0.418
ð	-	0.414
ˈẽ	ˈẽ	0.4
ɐ_r	ɾ_u	0.375
ɐ_r	ɾ_i	0.375
l	w	0.368
ˈi	ˈi	0.36
i	ĩ	0.346
ˈɔə̯	ˈɔ	0.331
n_t	t	0.331
ˈɔə̯	ˈo	0.324
d	-	0.319
r	h	0.299
u	-	0.295
ˈi	ˈe	0.292
ˈo	ˈũ	0.28
ˈo	ˈõ	0.28
ˈu	ˈo	0.279
i	-	0.276
ˈo	ˈo	0.265
b	v	0.253
ɐ_r	ˈe_h	0.25
ˈɛ	ˈi	0.244
ˈɛ	ˈe	0.244
ˈou̯	ˈɔ	0.23
s	ʃ	0.223
ˈɔ	ˈɔ	0.219
n	j̃	0.216
ˈɔ	ˈo_j	0.213
ˈou̯	ˈu	0.212
u	ˈɔ	0.204
ˈɛə̯	ˈe_j	0.196
ˈɛə̯	ˈe	0.196
ˈɛ	ˈẽ	0.194
i	i	0.192
i	ʃ	0.186
ˈɔə̯	-	0.183
ˈo	-	0.174
r	ɦ	0.17
θ	-	0.169
ˈɔə̯	ˈo_w	0.162
n	n	0.159
ˈi	ˈĩ	0.157
v	b	0.156
ˈɔ	-	0.146
ˈa	ˈe_j	0.146
d	ʤ	0.135
t	d	0.132
ɐ	i	0.13
d	u	0.127
l	-	0.125
ɐ	a	0.123
ˈɛ	ˈe_j	0.116
ˈɛ	ˈɛ	0.112
s	e_ʃ	0.104
ˈi	-	0.098
v	w	0.097
ˈi	ˈe_j	0.093
t	ʧ	0.092
ˈɛ	-	0.09
t	d_u	0.076
ɐ	-	0.073
ˈeə̯	ˈe_h	0.072
ˈeə̯	ˈa_ʤ	0.072
ɐ	e	0.07
n	u	0.056
t	-	0.054
