American English	American English	probability
ˈʌɪ̯_ʔ	ʰt	1.0
ˈɝ	r	1.0
ˈoʊ̯_ɫ	l	1.0
ʧ	ʰc	1.0
ʤ	ɡ̊ː	1.0
ɾ_ɚ	ʰt͡n̥	1.0
ɹ_ʔ	r̥_t	1.0
ɫ_#>	l_#>	1.0
ɪ	-	1.0
ə	-	1.0
ŋ_k	ʰk	1.0
ŋ	ŋ	1.0
ð	ð	1.0
z	-	1.0
w_ˈɔ	v_ˈa	1.0
v_#>	#>	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
oʊ̯	-	1.0
m	m	1.0
j	ɡ̊	1.0
f_#>	v_ʏ_r̥_#>	1.0
f	f	1.0
d_#>	#>	1.0
b	b̥	1.0
<#_ˈʌ	<#_ˈɔ	1.0
<#_w	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_d	<#_d̥	1.0
s	s	0.917
t	t	0.857
h	h	0.826
ʔ	t	0.818
ɹ	r	0.81
s_#>	s_#>	0.8
kʰ	kʰ	0.8
v	v	0.778
ˈɔ	ˈɔ	0.714
p	p	0.667
k	k	0.667
ˈu	-	0.636
θ	θ	0.632
ˈʌɪ̯	ˈiː	0.6
ˈʊ	ˈoːu̯	0.6
ˈɛə̯	ˈa	0.6
l	l	0.6
i	-	0.6
ˈaʊ̯	ˈuː	0.538
#>	ʏ_r̥_#>	0.538
ˈɑ	ˈa	0.533
d	ð	0.529
ɚ	r̥	0.517
ˈi_#>	j_ˈɛː_r̥_#>	0.5
ˈi_#>	j_ˈɛː_#>	0.5
ˈeɪ̯	ˈaː	0.5
ˈeɪ̯	-	0.5
ʃ	s_k	0.5
ʃ	s_c	0.5
ɡ	ɡ̊	0.5
n	n	0.489
w	v	0.476
ˈɑ	-	0.467
#>	a_#>	0.462
ˈoʊ̯	-	0.429
ɫ	l	0.429
ˈaɪ̯	ˈiː	0.412
ˈʌɪ̯	j_ˈɛ	0.4
ˈʊ	ˈʏ	0.4
ˈɛə̯	-	0.4
d	d̥	0.382
ˈæ	ˈaː	0.375
ˈæ	-	0.375
ˈu	ˈoːu̯	0.364
ɫ	t͡l̥	0.333
ɡ	ɟ̊	0.333
p	ʰp	0.333
ˈaɪ̯	ˈɪ	0.294
ˈɔ	r	0.286
ˈoʊ̯	ˈɛːi̯	0.286
ˈɛ	-	0.267
θ	ð	0.263
ˈɪ	ˈɪ	0.25
ˈæ	ˈɛ	0.25
ɚ	ɪ_r̥	0.241
ɫ	l̥	0.238
v	-	0.222
ˈɛ	ˈɛ	0.2
s_#>	#>	0.2
l	t͡l̥	0.2
l	l_j	0.2
kʰ	-	0.2
i	ɑu̯	0.2
i	aːu̯	0.2
ˈʌ	ˈʏ	0.19
w	ˈɔ	0.19
ˈi	-	0.182
ʔ	ʰt	0.182
ˈaɪ̯	ˈuː	0.176
h	ç	0.174
n	t͡n̥	0.17
ˈɛ	ˈœːy̯	0.167
ɡ	ɡ̊_ʏ	0.167
k	ʰk	0.167
k	c	0.167
ˈaʊ̯	ˈʏ_ɡ̊	0.154
ˈaʊ̯	ˈʏ	0.154
ˈaʊ̯	ˈiː_r̥	0.154
ˈi	ˈɑːu̯	0.152
ˈʌ	ˈɔː	0.143
ˈʌ	ˈuː	0.143
ˈʌ	ˈu	0.143
ˈʌ	ˈoːu̯	0.143
ˈʌ	-	0.143
ˈɪ	ˈɪː	0.143
ˈɪ	ˈi	0.143
ˈoʊ̯	ˈɛi̯	0.143
ˈoʊ̯	ˈaːu̯	0.143
ɹ	r̥	0.143
w	kʰ_v	0.143
t	-	0.143
ɚ	r	0.138
ˈɛ	ˈɛː	0.133
ˈi	ˈɛːi̯	0.121
ˈi	ˈiː	0.121
ˈi	ˈaːi̯	0.121
ˈaɪ̯	ˈʏː	0.118
ˈɪ	ˈiː	0.107
ˈɪ	j	0.107
ˈɪ	-	0.107
n	n̥	0.106
n	nː	0.106
θ	nː	0.105
ɚ	ɪ	0.103
ˈɛ	j	0.1
ˈʌ	ˈʏː	0.095
w	v_ˈɪː	0.095
w	-	0.095
ˈi	ˈœːy̯	0.091
ˈi	j_ˈoːu̯	0.091
d	-	0.088
s	s_j	0.083
ˈɪ	ˈɛː	0.071
ˈɪ	ˈɛ	0.071
ˈɛ	ˈau̯	0.067
ˈɛ	j_ˈœː	0.067
n	ʏ	0.064
n	-	0.064
ˈi	ˈɛː	0.061
ˈi	j	0.061
