Emilian	Neapolitan	probability
θ_a	ʦ_ə	1.0
ˈɛ_d	ˈa_t	1.0
ˈuː_z	ʧ	1.0
ˈi	ˈi	1.0
ˈaː_t	ˈa_tː	1.0
ˈaː	ˈa	1.0
ˈa_ŋ	ˈa_n	1.0
ʤ	j	1.0
ŋ_d	nː	1.0
w	w	1.0
s_p	ʃ_p	1.0
s_e	ʃː	1.0
r_t	ɾ_t	1.0
r_e	ɾ	1.0
p_j	k_j	1.0
o	ə	1.0
i	i	1.0
f_j	ʃ	1.0
e_r	ə	1.0
d_e	ə_ɾ	1.0
p	p	0.959
f	f	0.954
s	s	0.91
ˈɔː	ˈɔ	0.89
k	k	0.86
ˈɛː	ˈɛ	0.815
ˈe	ˈi	0.8
m	m	0.796
v	v	0.784
ˈiː	ˈi	0.77
ˈa_j	ˈe	0.749
t	t	0.739
ɲ	ɲː	0.732
r	ɾ	0.727
ʧ	kː_j	0.721
a	ə	0.715
ˈuː	ˈu	0.705
n	n	0.701
ˈʌ	ˈu	0.677
u	u	0.673
θ	ʃ	0.669
ˈæ	ˈɛ	0.667
ˈo	ˈu	0.63
ŋ	n	0.624
ˈɛ	ˈa	0.557
z	ʃ	0.516
ˈʌu̯	ˈu	0.507
d	t	0.503
l	l	0.498
ˈʌu̯	ˈo	0.493
z	s	0.484
j	ʎː	0.443
ˈa	ˈa	0.426
j	-	0.421
ð	ʤ	0.405
ˈɔ	ˈɔ	0.392
ˈɔ	w_ˈɔ	0.38
ɡ	ɡ	0.376
l	lː	0.349
b	v	0.349
e	ɾ	0.346
ˈa	ˈe	0.342
ˈæ	-	0.333
θ	ʃː	0.331
ˈʌ	ˈɔ	0.323
d	d	0.302
ˈuː	w	0.295
ɡ	k	0.286
ʧ	k_j	0.279
e	ə_ɾ	0.277
ɲ	-	0.268
t	tː	0.261
ˈo	ˈɔ	0.257
ˈa_j	ˈi	0.251
ŋ	ŋ	0.246
b	-	0.246
a	a	0.246
ð	ʤː	0.245
ˈɛ	j_ˈɛ	0.228
ˈɔ	ˈu	0.228
b	bː	0.225
r	r	0.217
v	p	0.216
ˈɛ	ˈɛ	0.215
u	o	0.211
e	ə	0.207
m	mː	0.204
ˈe	-	0.2
ɡ	-	0.197
ˈɛː	-	0.185
b	b	0.18
ð	ɲː	0.176
ð	-	0.174
e	-	0.17
d	ɾ	0.168
n	-	0.16
ɡ	ˈɔ_k	0.141
n	nː	0.139
j	j	0.136
ˈa	ˈi	0.134
ŋ	-	0.129
ˈiː	-	0.124
u	a	0.117
ˈo	ˈo	0.112
l	ə	0.111
ˈɔː	-	0.11
ˈiː	ˈɛ	0.106
ˈa	-	0.098
k	kː	0.096
s	ʃ	0.09
r	-	0.056
