Afrikaans	Afrikaans	probability
ˈɪø̯	ˈøː	1.0
ˈɛ	-	1.0
ˈɔː	-	1.0
ˈœɪ̯	ˈyː	1.0
ˈœ	ˈœ	1.0
ˈæː	ˈæ	1.0
ˈæ	ˈæ	1.0
ˈyː	ˈiə̯	1.0
ˈu	ˈuə̯	1.0
ˈoː	-	1.0
ˈi	ˈiə̯	1.0
ə_ŋ	n	1.0
ə_#>	n_#>	1.0
ŋ	ŋ	1.0
w	ˈɛː_w	1.0
t	t	1.0
s_k	ʃ_h	1.0
r_t	ɾ_t	1.0
r	ɾ	1.0
p	p	1.0
n	n	1.0
m	m	1.0
k	k	1.0
i	iə̯	1.0
d	d	1.0
b	b	1.0
<#_ɦ	<#	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
d̥	d̥	0.926
#>	n_#>	0.923
ˈʊə̯	ˈoː	0.92
v	ʋ	0.913
ˈɑː	ˈɒː	0.9
ˈa	ˈɑ	0.893
ə	ə	0.833
v̥	v	0.781
ɫ	l	0.769
ˈɪə̯	ˈeː	0.667
ˈœu̯	ˈu	0.667
ˈə	ˈɪ	0.632
ə_r	ɾ	0.615
j	-	0.6
χ	ɦ	0.568
ˈəɪ̯	ˈi	0.529
ˈɔ	ˈɔ	0.5
s	z	0.418
s	s	0.418
j	j	0.4
ə_r	ə_ɾ	0.385
ˈəɪ̯	-	0.353
ˈɪə̯	ˈɛː	0.333
ˈœu̯	ˈu_ʋ	0.333
ˈɔ	ˈu	0.25
χ	ɦ̥	0.216
ˈə	ˈɛ	0.211
ɫ	w	0.179
ə	ɪ	0.167
ˈə	-	0.158
v̥	v̥	0.156
ˈɔ	ˈœ	0.15
s	z̥	0.127
ˈəɪ̯	ˈeː	0.118
χ	h_t	0.108
ˈa	-	0.107
ˈɔ	-	0.1
ˈɑː	-	0.1
v	v	0.087
χ	h	0.081
ˈʊə̯	-	0.08
#>	d̥_#>	0.077
d̥	d_n	0.074
v̥	v_ˈøː	0.062
ɫ	ˈɔ_w	0.051
