American English	American English	probability
θ_ˈɝ	d	1.0
ˈʌɪ̯_ʔ	ɕ	1.0
ˈɝ	-	1.0
ˈɛə̯	ˈa	1.0
ˈɑ_ɹ	ˈɛ_ɐ	1.0
ˈoʊ̯_#>	ˈiː_#>	1.0
ˈi_d	ˈoː_d	1.0
ˈi_#>	ˈeɪ̯_#>	1.0
ʤ	k	1.0
ʔ_#>	ʦ_#>	1.0
ʃ	ʃ	1.0
ɾ	s	1.0
ɹ_ˈɛ	ʀ	1.0
ɹ_n	n	1.0
ɡ_ɚ	ɐ	1.0
ɡ	j	1.0
ə_n	ə	1.0
ə	-	1.0
ŋ	ŋ	1.0
ð	d	1.0
tʰ	ʦ	1.0
t_i	e	1.0
s_#>	z̥_#>	1.0
pʰ	p	1.0
oʊ̯	-	1.0
n_d	ŋ	1.0
m	m	1.0
kʰ	k	1.0
k_s	k_s	1.0
j	j	1.0
i	ə_ɕ	1.0
h	h	1.0
f_#>	v̥_#>	1.0
f	f	1.0
b	b	1.0
<#_ˈʌ	<#_ˈʊ	1.0
l	l	0.913
w	ʋ	0.897
ɚ	ɐ	0.893
ɫ	ɫ	0.846
ɹ	ʀ	0.742
ʔ	s	0.722
n	n	0.721
ˈu	-	0.7
θ	d	0.688
ʧ	k	0.6
t	t	0.583
s	z	0.568
ˈæ	ˈa	0.556
ˈoʊ̯	-	0.545
v	v	0.545
ˈʌɪ̯	ˈiː	0.5
ˈʊ	ˈɔ	0.5
ˈʊ	ˈoː	0.5
ˈɔ	ˈɔː	0.5
ˈɔ	-	0.5
z	z̥	0.5
z	-	0.5
p	p	0.5
ˈaʊ̯	ˈuː	0.429
k	ɕ	0.429
t	-	0.417
#>	ɕ_#>	0.412
ʧ	-	0.4
ˈʌ	ˈo	0.391
ˈɛ	-	0.385
ˈɪ	ˈe	0.379
s	ʃ	0.378
ˈaɪ̯	-	0.364
d	d̥	0.362
ˈeɪ̯	ˈaː	0.357
ˈɛ	ˈɛ	0.346
θ	d̥	0.312
p	f	0.3
d	d	0.298
ˈeɪ̯	ˈa	0.286
n	ŋ	0.279
ˈoʊ̯	ˈeː	0.273
v	-	0.273
ˈʌ	-	0.261
ˈʌɪ̯	ˈeː	0.25
ˈʌɪ̯	ˈaː	0.25
ˈɑ	ˈɔ	0.25
ˈɑ	ˈaː	0.25
ˈɑ	ˈa	0.25
ˈɑ	-	0.25
ˈi	ˈøː	0.242
#>	ɡ̊_#>	0.235
ˈaɪ̯	ˈɪ	0.227
ˈæ	ˈɛ	0.222
ˈæ	ˈa_ɫ	0.222
ˈeɪ̯	ˈɛː	0.214
ˈaʊ̯	ˈoː	0.214
ˈaʊ̯	-	0.214
k	k_ə	0.214
k	k	0.214
ˈi	ˈeː	0.212
ˈu	ˈoː	0.2
p	f_ə	0.2
ˈoʊ̯	ˈa	0.182
ˈi	ˈoː	0.182
ˈaɪ̯	ˈe	0.182
v	ə_f	0.182
#>	ɣ̊_#>	0.176
#>	n_#>	0.176
ˈʌ	ˈoː	0.174
ˈɪ	ˈœ	0.172
d	ɡ̊	0.17
ʔ	x	0.167
ɹ	ɐ	0.161
ˈɛ	ˈuː	0.154
ɫ	l	0.154
ˈeɪ̯	-	0.143
ˈaʊ̯	ˈɔʊ̯	0.143
k	x	0.143
ˈaɪ̯	ˈyː	0.136
ˈɛ	ˈeː	0.115
ʔ	ɕ	0.111
ɚ	-	0.107
ˈɪ	ˈɪ	0.103
ˈɪ	ˈɛ	0.103
ˈɪ	ˈeː	0.103
w	-	0.103
ˈu	ˈøʏ̯	0.1
ɹ	-	0.097
ˈi	ˈiː	0.091
ˈi	-	0.091
ˈaɪ̯	j	0.091
ˈʌ	ˈɔ	0.087
ˈʌ	ˈu	0.087
l	l_ˈeː	0.087
d	-	0.085
ˈɪ	ˈʏ_n	0.069
ˈɪ	-	0.069
ˈi	ˈɛː	0.061
ˈi	ˈɔʊ̯	0.061
ˈi	ˈyː	0.061
s	s	0.054
