West Flemish	West Flemish	probability
ˈɛː	ˈəʊ̯	1.0
ˈɔ_ɾ	ˈɔː	1.0
ˈɑ_ɾ	ˈɔː	1.0
ˈɑ_n	ˈuː	1.0
ˈɑ_h	ˈaɪ̯	1.0
ˈøː	ˈɐ	1.0
ˈoː_ɾ	ˈɔː	1.0
ˈiə̯_ɦ	ˈaɪ̯	1.0
ˈiə̯_n	ˈe_n	1.0
ʃ_h	ʃ	1.0
ɾ_ə	ə	1.0
ɾ_#>	ə_#>	1.0
ɪ	ˈɪ	1.0
ɦ̥_#>	#>	1.0
ɦ_ə	ʤ	1.0
ə_ɾ	ə	1.0
ə_l	ɫ	1.0
ə	-	1.0
ç	ɪ	1.0
z̥	s	1.0
z	s	1.0
v̥_#>	f_#>	1.0
v_ˈøː	f	1.0
v_ə	v	1.0
t_n	t	1.0
t	t	1.0
s_#>	ʃ_#>	1.0
p_n	p	1.0
n_ə	n	1.0
m	m	1.0
l_ə	ˈəʊ̯_l	1.0
l_#>	ɫ_#>	1.0
k_n	k	1.0
j	j	1.0
iə̯	ˈiː	1.0
h_t	t	1.0
d̥_#>	θ_#>	1.0
d̥	d	1.0
d_ˈoː	d_ˈe	1.0
d_n	d	1.0
b	b	1.0
<#_ˈɔ	<#_ˈɐ	1.0
<#_ˈoː	<#	1.0
<#_ɾ	<#_ɹ	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#	<#_h	1.0
l	l	0.909
ʋ	w	0.905
s	s	0.875
v	f	0.808
ŋ	ŋ	0.8
ˈyː	ˈaʊ̯	0.778
ˈi	ˈaɪ̯	0.778
p	p	0.778
ˈɪ	ˈɪ	0.769
ˈæ_ɾ	ˈɑː	0.75
ˈæ	-	0.75
ɾ	ɹ	0.72
w	-	0.625
ɦ	ɡ	0.611
ˈɔ	-	0.6
n	n	0.596
ˈiə̯	ˈiː	0.5
d	d	0.5
ˈɛ	ˈɪ	0.429
ˈɑ	ˈæ	0.412
ˈɔ	ˈɒ	0.4
d	θ	0.385
w	ɫ	0.375
n	-	0.362
ˈɒː	ˈeɪ̯	0.333
ˈɒː	-	0.333
ˈœ	ˈɪ	0.333
ˈu	ˈəʊ̯_ɫ	0.333
ˈu	ˈɐ	0.333
ˈu	-	0.333
ˈeː	ˈe	0.333
ˈuə̯	ˈiː	0.312
ˈɑ	ˈɑː	0.294
k	k	0.29
ˈɛ	ˈaɪ̯	0.286
ˈɛ	-	0.286
ˈiə̯	ˈɪ	0.286
ˈoː	ˈiː	0.278
ɦ	-	0.278
ˈeː	ˈəʊ̯	0.267
k	ʧ	0.258
k	kʰ	0.258
ˈæ_ɾ	ɜː	0.25
ˈæ	ˈɪ	0.25
ˈɪ	ˈaɪ̯	0.231
ˈɒː	ˈiː	0.222
ˈœ	ˈʊ	0.222
ˈœ	ˈɐ	0.222
ˈœ	ˈaɪ̯	0.222
ˈyː	ˈɐ	0.222
ˈoː	ˈɐ	0.222
ˈoː	-	0.222
ˈi	-	0.222
p	pʰ	0.222
ˈiə̯	-	0.214
ŋ	ŋ_ɡ	0.2
k	-	0.194
v	v	0.192
ˈuə̯	ˈʊ	0.188
ˈuə̯	ˈɐ	0.188
ˈuə̯	ˈuː	0.188
ˈɑ	ˈeɪ̯	0.176
ˈoː	ˈe	0.167
ɾ	-	0.16
ˈeː	ˈɪ	0.133
ˈeː	ˈiː	0.133
ˈeː	-	0.133
ˈuə̯	-	0.125
s	k_s	0.125
ɾ	ˈɔː	0.12
ˈɑ	ˈɒ	0.118
d	ð	0.115
ˈɒː	ˈɑː	0.111
ˈoː	h	0.111
ɦ	ˈaɪ̯	0.111
ʋ	-	0.095
l	ɫ	0.091
