Bulgarian	Bulgarian	probability
ˈ_#>	#>	1.0
ˈ	-	1.0
ʧ	ʧ	1.0
ʦʲ	ʦ	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ɫ_ɐ	o_l	1.0
ɫ_#>	l_ŭ_#>	1.0
ɡ̊	ɡ_ŭ	1.0
ɡ	ɡ	1.0
ɛ_m	m_ĭ	1.0
ɛ_#>	ĭ_j_e_#>	1.0
ɐ_#>	a_#>	1.0
x_#>	x_ŭ_#>	1.0
x	x	1.0
vʲ	v	1.0
v	v	1.0
u_ˈ	uː_̂	1.0
tʲ	-	1.0
t	t	1.0
s_#>	s_ŭ_#>	1.0
rʲ	k	1.0
r_ɛ	r	1.0
r_#>	r_ŭ_#>	1.0
pʲ	-	1.0
p	p	1.0
o	o	1.0
nʲ	n	1.0
mʲ	-	1.0
lʲ	l	1.0
l	l	1.0
k_#>	k_ŭ_#>	1.0
k	k	1.0
j	̌_t	1.0
i_ˈ	ɨ_ˀ	1.0
f	v_ŭ	1.0
dʲ	d_ɛː	1.0
d	d	1.0
b̥	b_ŭ	1.0
bʲ	-	1.0
b	b	1.0
<#_x	<#_x	1.0
<#_v	<#_v	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
<#	<#_b	1.0
s	s	0.914
n	n	0.889
m	m	0.889
z	z	0.857
d̥	d_ŭ	0.833
r	r	0.792
ʃ	-	0.75
ʦ	ʦ	0.714
ɤ_ˈ	̂	0.667
ɔ	o	0.667
u	uː	0.667
a_ˈ	a_̌	0.654
t_#>	t_ĭ_#>	0.588
ɫ	l	0.579
ɔ_ˈ	o_̌	0.533
ɛ_ˈ	e_̂	0.467
ɔ_ˈ	o_̂	0.467
#>	ŭ_#>	0.458
#>	ĭ_#>	0.458
t_#>	t_ŭ_#>	0.412
ɛ_ˈ	e	0.4
ɤ_ˈ	õː_̌	0.333
ɔ	oː_̂	0.333
u	u	0.333
i	i	0.316
ɐ	-	0.31
a	a_ˀ	0.308
ʦ	k	0.286
ɛ	e	0.286
ʃ	ʃ	0.25
ɫ	ŭ	0.211
a_ˈ	ɛː_̌	0.192
ɛ	ɛː	0.19
ɤ	õː_̂	0.188
ɤ	ĭ_̂	0.188
ɐ	ŭ	0.172
ɛ	ẽ	0.167
d̥	ʤ	0.167
i	i_̌	0.158
a	ɛː_̂	0.154
z	-	0.143
ɐ	t_i	0.138
ɐ	ĭ	0.138
ɛ_ˈ	̂	0.133
ɤ	ŭ_̌	0.125
ɤ	r	0.125
ɤ	õː	0.125
ɤ	ĭ_ˀ	0.125
ɤ	ĭ	0.125
a	̂_l	0.115
a	ɛː_ˀ	0.115
a	a	0.115
a	-	0.115
n	ɲ	0.111
m	-	0.111
ɫ	oː	0.105
ɫ	d_l	0.105
i	ɨː_̂	0.105
i	ɨ_̌	0.105
i	iː_̂	0.105
i	i_ˀ	0.105
i	-	0.105
ɐ	l	0.103
ɛ	-	0.095
s	s_ŭ	0.086
r	o_ˀ	0.083
r	o	0.083
#>	̌_#>	0.083
a_ˈ	̂	0.077
a_ˈ	ɛː	0.077
a	r	0.077
ɛ	ĭ	0.071
ɐ	õː	0.069
ɐ	i	0.069
