Swiss German	Afrikaans	probability
fː	p	1.0
j	j	1.0
k	k	1.0
kː	k	1.0
lː	ɫ	1.0
m	m	1.0
mː	m	1.0
nː	n	1.0
rː	r	1.0
w	ɫ	1.0
æ	i	1.0
ʃ	s	1.0
ʃː	s	1.0
ˈei̯	ˈəɪ̯	1.0
ˈyə̯	ˈu	1.0
ˈøː	ˈʊə̯	1.0
s	s	0.961
sː	t	0.971
ˈi	ˈəɪ̯	0.1
ˈoː	ˈɪø̯	0.091
ˈoː	ˈʊə̯	0.561
χ	-	0.091
χ	χ	0.231
b̥	v̥	0.172
d̥	d̥	0.312
f	p	0.142
h	k	0.062
i	ə	0.772
r	r	0.902
ˈe	ˈɪ	0.112
ˈeː	w	0.182
ˈi	ˈə	0.712
ˈiə̯	ˈə	0.342
ˈiː	ˈə	0.132
ˈiː	ˈi	0.132
ˈuə̯	ˈɔ	0.082
ˈy	ˈɪə̯	0.072
ˈyː	ˈœɪ̯	0.112
ˈyː	ˈyː	0.222
ˈæː	ˈɪə̯	0.492
ˈø	ˈœ	0.262
ˈøi̯	ˈɪə̯	0.102
ˈɒː	ˈa	0.312
p͡f	p	0.973
ˈe	ˈæ	0.773
ˈeː	ˈi	0.163
ˈuː	ˈyː	0.213
ˈuː	ˈœɪ̯	0.693
ˈy	-	0.053
ˈæ	ˈæ	0.063
ˈæ	ˈɑː	0.103
ˈæi̯	ˈɪə̯	0.583
ˈæː	ˈɑː	0.13
ˈø	ˈa	0.243
ˈɒː	ˈɛː	0.083
d̥	-	0.184
d̥	d	0.504
t	t	0.224
ŋ	ŋ	0.864
ɡ̊ː	χ	0.754
ʦ	t	0.964
ˈau̯	ˈɔ	0.054
ˈi	ˈæ	0.134
ˈu	ˈœ	0.114
ˈuː	ˈɔ	0.094
ˈyː	ˈi	0.444
ˈæː	ˈi	0.14
ˈøi̯	ˈi	0.394
ˈɒ	ˈɑː	0.124
b̥	v	0.075
p	f	0.05
p	p	0.95
t	d̥	0.325
ˈe	ˈɪə̯	0.115
ˈo	ˈʊə̯	0.435
ˈu	ˈʊə̯	0.055
ˈæ	ˈa	0.175
ˈø	ˈɑː	0.495
ˈøi̯	ˈʊə̯	0.335
ˈɒː	ˈɑː	0.605
f	f	0.796
ŋ	n	0.136
ɡ̊	ŋ	0.066
ɡ̊	-	0.166
ɡ̊ː	-	0.246
ˈau̯	ˈœu̯	0.116
ˈo	ˈɪø̯	0.06
ˈy	ˈi	0.156
ˈy	ˈə	0.176
ˈy	ˈɛ	0.286
ˈyː	ˈəɪ̯	0.056
ˈyː	ˈu	0.056
ˈæ	ˈɛ	0.26
ˈɒ	ˈa	0.706
b̥	b	0.657
tː	-	0.277
tː	d̥	0.677
ə	ə	0.497
ʋ	w	0.137
ʋ	v	0.827
ˈiː	ˈəɪ̯	0.637
ˈoː	ˈoːɪ̯	0.07
ˈu	ˈɔ	0.747
ˈy	ˈœ	0.257
ˈæ	ˈɪə̯	0.177
ˈæ	ˈæː	0.187
ˈæi̯	ˈəɪ̯	0.417
χ	k	0.677
i	i	0.228
l	ɫ	0.978
r	-	0.098
t	-	0.078
ə	-	0.488
ˈeː	ˈɪə̯	0.168
ˈeː	ˈʊə̯	0.168
ˈiə̯	ˈi	0.658
ˈo	ˈɔ	0.38
ˈoː	ˈɑː	0.258
ˈuə̯	ˈu	0.918
ˈyː	ə	0.078
ˈæː	ˈa	0.238
h	ɦ	0.889
n	n	0.929
t	d	0.349
ɡ̊	χ	0.709
ˈau̯	ˈʊə̯	0.829
ˈeː	ˈɛ	0.319
ˈiː	ˈæː	0.099
ˈo	ˈɑː	0.09
ˈøi̯	ˈɔ	0.169
ˈɒ	ˈœu̯	0.079
