German	Scots	probability
<#	<#_j	1.0
<#_b	<#_b	1.0
<#_d	<#_θ	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_j	<#_j	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p͡f	<#_pʰ	1.0
<#_tʰ	<#_d	1.0
<#_z	<#_s	1.0
<#_ʁ	<#_r	1.0
<#_ʦ	<#_tʰ	1.0
<#_ˈaɪ̯	<#_ˈe	1.0
<#_ˈʊ	<#_ˈʌ	1.0
b̥	f_#>	1.0
d_n	d	1.0
d̥	θ_#>	1.0
d̥_#>	d_#>	1.0
f_#>	p_#>	1.0
f_n	p	1.0
l_#>	l_#>	1.0
m_#>	m_#>	1.0
m_ə	m_#>	1.0
s_n	t	1.0
s_t	s_t	1.0
s_ɐ	t_ə	1.0
s_ə	t	1.0
t_n	d	1.0
ç	k	1.0
ç_#>	k_#>	1.0
ç_t	ç_t	1.0
ŋ_#>	ŋ_#>	1.0
ŋ_ə	ŋ_#>	1.0
ɐ	r	1.0
ɐ_n	r_n	1.0
ɐ_ʦ	r_t	1.0
ə	-	1.0
ɡ	-	1.0
ɡ̊	x_#>	1.0
ɪ	-	1.0
ɪ_ç	i_#>	1.0
ʁ	r	1.0
ʁ_ˈaɪ̯	r_ˈiː	1.0
ʃ	s	1.0
ʃ_#>	ʃ_#>	1.0
ʦ	t	1.0
ˈa_l	ˈɑː	1.0
ˈa_n	ˈɑː_n	1.0
ˈa_s	ˈɛ_s	1.0
ˈa_x	ˈɑː_x	1.0
ˈa_ɐ	ˈeː_r	1.0
ˈaɪ̯_n	ˈəi̯_n	1.0
ˈiː_ɡ	ˈiː	1.0
ˈoː	ˈi	1.0
ˈoː_n	ˈɪ_n	1.0
ˈoː_t	ˈe_d	1.0
ˈyː	ˈi	1.0
ˈøː	ˈi	1.0
ˈœ	ˈa	1.0
ˈɛ_n_ə	ˈɛ_n	1.0
ˈɛː	ˈiː	1.0
ˈɪ	ˈɪ	1.0
ˈɪ_n	ˈɪ_n	1.0
ˈʏ	ˈɪ	1.0
ˈʏ_k	ˈɪ_ɡ	1.0
b	-	0.571
x	k	0.571
ˈa	ˈa	0.471
ˈeː	ˈɛ	0.231
k	-	0.2
v	-	0.2
ɐ_#>	#>	0.152
ˈuː	ˈi	0.222
ˈuː	ˈɪ	0.222
ˈɛ	ˈa	0.2
ˈɛ	ˈɪ	0.2
ˈʊ	ˈu	0.2
<#_kʰ	<#_k	0.143
<#_kʰ	<#_ʧ	0.143
<#_v	<#_ʍ	0.143
<#_ɡ	<#_j	0.143
d	ð_ə	0.333
t	t	0.583
ˈaɪ̯	ˈɪ	0.143
ˈaɪ̯	ˈəi̯	0.333
ˈaː	ˈɛ	0.133
ˈaː	ˈe	0.133
ˈɛ	ˈʌ	0.133
ˈʊ	ˈɪ	0.3
<#_kʰ	<#_kʰ	0.714
<#_ʃ	<#_ʃ	0.364
l	l_#>	0.154
n	n	0.194
n	n_#>	0.274
z	-	0.4
ˈeː	ˈɑː	0.154
ˈeː	-	0.154
ˈeː	ˈeː	0.154
ˈɔʏ̯	ˈiː	0.4
<#_ˈa	<#_ˈe	0.5
<#_ˈa	<#_ˈɛ	0.5
n	-	0.5
s_#>	t_#>	0.5
s_#>	s_#>	0.5
t	ð_ə	0.25
t_#>	t_#>	0.35
t_#>	d_#>	0.65
ŋ	ŋ	0.5
ŋ	ŋ_ə	0.5
ˈa	ˈɪ	0.235
ˈaɪ̯	ˈɛ	0.095
ˈaʊ̯	ˈuː	0.25
ˈaʊ̯	ˈi	0.25
ˈaʊ̯	ˈu	0.5
ˈɔ_l	ˈʌu̯	0.5
ˈɔ_l	ˈuː_#>	0.5
ˈʊ	ˈʌ	0.5
<#_ʃ	<#_s	0.636
l	l	0.846
z	z	0.6
ˈa	ˈe	0.176
ˈuː	ˈø	0.556
ˈɔʏ̯	ˈəi̯	0.6
<#_v	<#_w	0.857
<#_ɡ	<#_ɡ	0.857
d	d	0.667
t	-	0.167
ˈaː	ˈi	0.267
ˈaː	ˈeː	0.467
ˈiː	ˈiː_#>	0.167
ˈiː	ˈiː	0.417
ˈiː	ˈi	0.417
ˈɔ	ˈʌ	0.167
ˈɔ	ˈɪ	0.167
ˈɔ	ˈo	0.667
ˈɛ	ˈɛ	0.467
k	k	0.8
v	w	0.8
ɐ_#>	r_#>	0.848
ˈa	ˈɑː	0.118
ˈeː	ˈiː	0.308
b	ə	0.429
x	ç	0.429
ˈaɪ̯	ˈe	0.429
